provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
V,2020-08-01,198,valencia,28.2,2.5,0.0,12
V,2020-08-02,138,valencia,26.2,2.5,0.0,12
V,2020-08-03,217,valencia,26.6,1.9,0.0,12
V,2020-08-04,274,valencia,26.3,2.8,0.0,12
V,2020-08-05,260,valencia,26.8,2.5,0.0,12
V,2020-08-06,234,valencia,26.4,2.5,0.0,12
V,2020-08-07,258,valencia,26.2,3.3,0.0,12
V,2020-08-08,224,valencia,27.8,2.8,0.0,12
V,2020-08-09,204,valencia,26.8,2.5,0.0,12
V,2020-08-10,292,valencia,26.4,2.8,0.0,12
V,2020-08-11,276,valencia,27.2,2.2,0.0,12
V,2020-08-12,307,valencia,27.9,1.4,0.0,12
V,2020-08-13,306,valencia,28.2,2.5,0.0,12
V,2020-08-14,355,valencia,26.6,2.5,0.0,12
V,2020-08-15,263,valencia,27.0,2.5,0.0,12
V,2020-08-16,206,valencia,28.8,1.9,0.0,12
V,2020-08-17,357,valencia,26.8,3.3,0.0,12
V,2020-08-18,355,valencia,25.3,2.5,0.0,12
V,2020-08-19,357,valencia,26.2,3.6,0.0,12
V,2020-08-20,391,valencia,26.5,3.1,0.0,12
V,2020-08-21,393,valencia,27.5,2.2,0.0,12
V,2020-08-22,353,valencia,27.7,1.9,0.0,12
V,2020-08-23,267,valencia,26.2,2.5,0.1,12
V,2020-08-24,419,valencia,26.8,2.2,0.0,12
V,2020-08-25,323,valencia,27.7,2.2,0.0,12
V,2020-08-26,421,valencia,26.2,2.2,0.0,12
V,2020-08-27,336,valencia,26.2,1.7,0.0,12
V,2020-08-28,421,valencia,26.6,1.7,0.6,12
V,2020-08-29,404,valencia,22.0,2.5,0.8,12
V,2020-08-30,218,valencia,20.3,2.2,0.0,12
V,2020-08-31,279,valencia,20.8,1.9,0.0,12
V,2020-09-01,323,valencia,22.4,3.1,0.0,12
V,2020-09-02,315,valencia,23.3,1.9,0.0,12
V,2020-09-03,257,valencia,23.6,2.5,0.0,12
V,2020-09-04,319,valencia,23.4,2.5,0.0,12
V,2020-09-05,302,valencia,23.1,2.5,0.0,12
V,2020-09-06,197,valencia,24.3,3.1,0.0,12
V,2020-09-07,271,valencia,20.8,3.3,12.2,12
V,2020-09-08,270,valencia,21.5,1.7,4.6,12
V,2020-09-09,280,valencia,21.3,1.1,0.0,12
V,2020-09-10,303,valencia,23.2,1.4,0.0,12
V,2020-09-11,277,valencia,24.0,2.8,0.0,12
V,2020-09-12,241,valencia,24.8,3.1,0.0,12
V,2020-09-13,197,valencia,25.0,1.9,0.0,12
V,2020-09-14,240,valencia,23.6,1.7,0.0,12
V,2020-09-15,253,valencia,25.1,2.5,0.0,12
V,2020-09-16,272,valencia,24.3,2.5,0.0,12
V,2020-09-17,230,valencia,24.8,1.7,0.1,12
V,2020-09-18,238,valencia,22.4,1.4,0.8,12
V,2020-09-19,205,valencia,24.0,0.6,0.0,12
V,2020-09-20,165,valencia,24.8,1.7,0.0,12
V,2020-09-21,207,valencia,23.9,1.9,0.0,12
V,2020-09-22,250,valencia,23.9,1.7,0.0,12
V,2020-09-23,223,valencia,24.9,0.0,0.0,12
V,2020-09-24,209,valencia,24.6,1.4,0.0,12
V,2020-09-25,186,valencia,21.6,1.1,0.0,12
V,2020-09-26,194,valencia,19.9,2.5,0.0,12
V,2020-09-27,138,valencia,18.6,1.9,0.0,12
V,2020-09-28,211,valencia,18.2,2.5,0.0,12
V,2020-09-29,203,valencia,18.6,1.1,0.0,12
V,2020-09-30,247,valencia,20.0,2.2,0.0,12
V,2020-10-01,255,valencia,24.2,0.8,0.0,12
V,2020-10-02,234,valencia,20.2,3.9,1.8,12
V,2020-10-03,228,valencia,17.2,1.7,0.0,12
V,2020-10-04,207,valencia,18.0,0.6,0.0,12
V,2020-10-05,305,valencia,19.3,1.4,0.0,12
V,2020-10-06,355,valencia,20.8,1.9,0.0,12
V,2020-10-07,320,valencia,22.3,1.7,0.0,12
V,2020-10-08,361,valencia,20.2,2.2,0.0,12
V,2020-10-09,335,valencia,21.4,2.2,0.0,12
V,2020-10-10,294,valencia,20.9,1.7,0.1,12
V,2020-10-11,294,valencia,17.2,0.6,0.0,12
V,2020-10-12,337,valencia,17.0,1.7,0.0,12
V,2020-10-13,468,valencia,21.2,1.9,0.0,12
V,2020-10-14,567,valencia,16.0,0.8,0.0,12
V,2020-10-15,573,valencia,15.3,1.1,0.0,12
V,2020-10-16,593,valencia,13.0,1.7,0.0,12
V,2020-10-20,820,valencia,17.0,0.8,0.0,12
V,2020-10-22,748,valencia,17.7,0.6,1.5,12
V,2020-10-23,838,valencia,18.8,1.1,0.0,12
V,2020-10-24,793,valencia,18.2,2.2,0.0,12
V,2020-10-25,623,valencia,18.9,1.7,0.0,12
V,2020-10-26,906,valencia,16.6,1.1,0.0,12
V,2020-10-27,929,valencia,16.0,2.2,0.0,12
V,2020-10-28,998,valencia,18.6,1.4,0.0,12
V,2020-10-30,1085,valencia,16.6,1.7,0.0,12
