provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
VA,2020-07-11,6,valladolid,23.8,1.9,0.2,735
VA,2020-07-12,3,valladolid,24.7,1.7,5.4,735
VA,2020-07-13,7,valladolid,22.8,1.9,0.0,735
VA,2020-07-14,4,valladolid,21.7,1.9,0.0,735
VA,2020-07-15,3,valladolid,20.4,1.7,0.0,735
VA,2020-07-16,4,valladolid,22.5,1.9,0.0,735
VA,2020-07-17,2,valladolid,22.1,1.7,0.0,735
VA,2020-07-18,6,valladolid,23.2,1.7,0.0,735
VA,2020-07-19,7,valladolid,26.6,2.5,0.0,735
VA,2020-07-20,11,valladolid,26.6,1.7,0.0,735
VA,2020-07-21,6,valladolid,25.7,1.9,0.8,735
VA,2020-07-22,7,valladolid,26.3,1.4,0.0,735
VA,2020-07-23,9,valladolid,27.2,1.9,0.0,735
VA,2020-07-24,11,valladolid,24.4,1.7,0.0,735
VA,2020-07-25,4,valladolid,25.6,2.2,0.0,735
VA,2020-07-26,8,valladolid,25.7,1.7,0.0,735
VA,2020-07-27,21,valladolid,28.5,1.7,0.0,735
VA,2020-07-28,37,valladolid,26.2,1.7,0.0,735
VA,2020-07-29,31,valladolid,27.1,1.7,0.0,735
VA,2020-07-30,12,valladolid,29.7,2.2,0.0,735
VA,2020-07-31,29,valladolid,28.3,1.7,0.0,735
VA,2020-08-01,22,valladolid,25.9,1.9,0.0,735
VA,2020-08-02,13,valladolid,22.4,1.9,0.0,735
VA,2020-08-03,23,valladolid,21.4,1.7,0.0,735
VA,2020-08-04,28,valladolid,21.7,1.7,0.0,735
VA,2020-08-05,42,valladolid,24.4,1.4,0.0,735
VA,2020-08-06,30,valladolid,28.2,1.4,0.0,735
VA,2020-08-07,54,valladolid,29.4,3.1,0.0,735
VA,2020-08-08,50,valladolid,28.6,1.4,4.6,735
VA,2020-08-09,37,valladolid,27.6,1.4,0.0,735
VA,2020-08-10,76,valladolid,26.8,2.8,0.0,735
VA,2020-08-11,56,valladolid,21.4,1.7,4.4,735
VA,2020-08-12,71,valladolid,21.0,2.2,0.0,735
VA,2020-08-13,71,valladolid,21.3,1.7,0.0,735
VA,2020-08-14,88,valladolid,22.6,1.9,0.0,735
VA,2020-08-15,70,valladolid,21.2,3.1,0.0,735
VA,2020-08-16,66,valladolid,19.2,2.5,0.0,735
VA,2020-08-17,93,valladolid,20.7,2.5,0.0,735
VA,2020-08-18,107,valladolid,22.0,1.7,0.0,735
VA,2020-08-19,125,valladolid,24.2,3.6,0.0,735
VA,2020-08-20,125,valladolid,24.8,2.8,0.0,735
VA,2020-08-21,107,valladolid,21.4,2.5,1.6,735
VA,2020-08-22,96,valladolid,21.0,1.4,0.0,735
VA,2020-08-23,83,valladolid,21.2,1.4,0.0,735
VA,2020-08-24,167,valladolid,21.9,1.7,0.0,735
VA,2020-08-25,169,valladolid,24.5,1.9,0.0,735
VA,2020-08-26,123,valladolid,25.3,1.7,0.0,735
VA,2020-08-27,236,valladolid,25.8,1.7,0.0,735
VA,2020-08-28,142,valladolid,21.4,3.1,0.0,735
VA,2020-08-29,154,valladolid,16.2,2.8,0.0,735
VA,2020-08-30,86,valladolid,14.2,1.1,0.0,735
VA,2020-08-31,107,valladolid,15.8,1.4,0.0,735
VA,2020-09-01,160,valladolid,21.0,1.1,0.0,735
VA,2020-09-02,151,valladolid,19.8,1.4,0.0,735
VA,2020-09-03,129,valladolid,21.6,0.8,0.0,735
VA,2020-09-04,128,valladolid,23.4,1.4,0.0,735
VA,2020-09-05,168,valladolid,23.8,1.7,0.0,735
VA,2020-09-06,130,valladolid,20.2,1.9,0.0,735
VA,2020-09-07,204,valladolid,17.0,1.9,0.0,735
VA,2020-09-08,134,valladolid,18.7,1.9,0.0,735
VA,2020-09-09,187,valladolid,20.2,1.1,0.0,735
VA,2020-09-10,229,valladolid,21.4,1.4,0.0,735
VA,2020-09-11,223,valladolid,22.1,1.1,0.0,735
VA,2020-09-12,193,valladolid,23.0,1.4,0.0,735
VA,2020-09-13,132,valladolid,23.9,1.4,0.0,735
VA,2020-09-14,204,valladolid,23.4,1.1,5.8,735
