provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
ZA,2020-07-11,0,zaragoza,22.8,3.9,0.0,582
ZA,2020-07-12,0,zaragoza,23.4,2.2,1.4,582
ZA,2020-07-13,0,zaragoza,23.7,4.2,0.0,582
ZA,2020-07-14,0,zaragoza,21.2,4.2,0.0,582
ZA,2020-07-15,0,zaragoza,20.6,3.3,0.0,582
ZA,2020-07-16,0,zaragoza,21.9,3.9,0.0,582
ZA,2020-07-17,1,zaragoza,22.3,3.3,0.0,582
ZA,2020-07-18,1,zaragoza,22.8,2.5,0.0,582
ZA,2020-07-19,0,zaragoza,25.8,2.8,0.0,582
ZA,2020-07-20,1,zaragoza,29.4,4.4,0.0,582
ZA,2020-07-21,1,zaragoza,27.6,3.1,6.6,582
ZA,2020-07-22,0,zaragoza,27.2,2.5,0.0,582
ZA,2020-07-23,0,zaragoza,26.2,3.1,0.0,582
ZA,2020-07-24,0,zaragoza,25.2,3.9,0.0,582
ZA,2020-07-25,0,zaragoza,25.4,2.5,0.0,582
ZA,2020-07-26,0,zaragoza,27.4,3.6,0.0,582
ZA,2020-07-27,3,zaragoza,29.9,1.9,0.0,582
ZA,2020-07-28,3,zaragoza,28.2,4.7,0.0,582
ZA,2020-07-29,3,zaragoza,27.0,3.1,1.0,582
ZA,2020-07-30,7,zaragoza,27.6,3.1,4.2,582
ZA,2020-07-31,4,zaragoza,27.8,1.9,0.0,582
ZA,2020-08-01,2,zaragoza,26.2,4.7,0.0,582
ZA,2020-08-02,5,zaragoza,22.7,4.7,0.0,582
ZA,2020-08-03,4,zaragoza,22.6,3.1,0.0,582
ZA,2020-08-04,2,zaragoza,21.4,2.8,0.0,582
ZA,2020-08-05,4,zaragoza,23.8,2.8,0.0,582
ZA,2020-08-06,2,zaragoza,26.8,3.3,0.0,582
ZA,2020-08-07,5,zaragoza,29.6,2.2,0.0,582
ZA,2020-08-08,9,zaragoza,30.5,2.5,0.0,582
ZA,2020-08-09,6,zaragoza,29.3,1.9,1.8,582
ZA,2020-08-10,5,zaragoza,26.0,2.2,0.0,582
ZA,2020-08-11,4,zaragoza,24.6,1.4,6.2,582
ZA,2020-08-12,14,zaragoza,23.0,2.5,0.0,582
ZA,2020-08-13,6,zaragoza,23.8,1.1,0.0,582
ZA,2020-08-14,19,zaragoza,25.3,2.8,0.0,582
ZA,2020-08-15,12,zaragoza,25.2,3.3,0.0,582
ZA,2020-08-16,13,zaragoza,22.4,2.5,0.0,582
ZA,2020-08-17,6,zaragoza,22.6,2.8,0.0,582
ZA,2020-08-18,13,zaragoza,23.5,2.8,0.0,582
ZA,2020-08-19,9,zaragoza,26.0,2.8,0.0,582
ZA,2020-08-20,19,zaragoza,27.4,3.1,0.0,582
ZA,2020-08-21,13,zaragoza,26.9,3.9,0.0,582
ZA,2020-08-22,18,zaragoza,25.9,3.3,0.0,582
ZA,2020-08-23,17,zaragoza,22.0,3.1,0.0,582
ZA,2020-08-24,26,zaragoza,21.8,3.6,0.0,582
