provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
VI,2020-12-02,88,alava,6.4,2.2,1.7,513
VI,2020-12-03,70,alava,5.7,6.7,10.7,513
VI,2020-12-04,67,alava,4.1,4.4,0.0,513
VI,2020-12-05,70,alava,2.1,4.4,6.1,513
VI,2020-12-06,81,alava,3.6,4.2,29.0,513
VI,2020-12-07,88,alava,5.8,3.3,22.6,513
VI,2020-12-08,102,alava,4.1,2.2,19.6,513
VI,2020-12-09,103,alava,5.1,1.7,5.3,513
VI,2020-12-10,93,alava,8.4,2.5,18.5,513
VI,2020-12-11,95,alava,11.7,2.2,8.8,513
VI,2020-12-12,107,alava,6.4,3.3,6.0,513
VI,2020-12-13,65,alava,8.8,3.9,0.0,513
VI,2020-12-14,101,alava,10.3,3.9,4.2,513
VI,2020-12-15,77,alava,9.4,5.0,0.0,513
VI,2020-12-16,84,alava,8.3,2.2,0.2,513
VI,2020-12-17,75,alava,6.0,2.2,0.0,513
VI,2020-12-18,70,alava,5.6,3.1,0.4,513
VI,2020-12-19,70,alava,6.2,4.2,0.0,513
VI,2020-12-20,70,alava,6.8,3.3,0.9,513
VI,2020-12-21,55,alava,11.4,4.2,0.1,513
VI,2020-12-22,53,alava,10.8,5.3,0.0,513
VI,2020-12-23,56,alava,9.8,4.2,3.3,513
VI,2020-12-24,48,alava,6.2,2.8,3.9,513
VI,2020-12-25,54,alava,3.8,2.8,4.2,513
VI,2020-12-26,64,alava,4.0,2.2,0.2,513
VI,2020-12-27,55,alava,4.2,8.3,11.6,513
VI,2020-12-28,78,alava,5.4,5.3,2.6,513
VI,2020-12-29,77,alava,4.6,5.0,10.1,513
VI,2020-12-30,55,alava,2.9,3.6,1.1,513
VI,2020-12-31,50,alava,5.2,4.7,1.3,513
VI,2021-01-01,83,alava,3.4,2.8,26.5,513
VI,2021-01-02,58,alava,1.2,5.0,3.6,513
VI,2021-01-03,49,alava,1.8,2.8,0.9,513
VI,2021-01-04,62,alava,1.5,3.6,7.0,513
VI,2021-01-05,84,alava,0.8,1.7,0.0,513
VI,2021-01-06,72,alava,-1.6,1.7,0.0,513
VI,2021-01-07,77,alava,-3.6,0.6,0.0,513
VI,2021-01-08,87,alava,-2.2,3.3,0.0,513
VI,2021-01-09,102,alava,0.0,2.8,2.8,513
VI,2021-01-10,101,alava,0.9,4.2,0.0,513
VI,2021-01-11,102,alava,1.6,3.9,0.0,513
VI,2021-01-12,109,alava,2.8,1.9,0.0,513
VI,2021-01-13,121,alava,2.9,1.7,0.0,513
VI,2021-01-14,96,alava,3.1,2.2,1.2,513
VI,2021-01-15,95,alava,7.0,3.1,0.0,513
VI,2021-01-16,92,alava,6.7,2.2,0.0,513
VI,2021-01-17,130,alava,4.0,1.1,3.1,513
VI,2021-01-18,130,alava,6.0,0.3,0.0,513
VI,2021-01-19,156,alava,3.6,4.2,0.0,513
VI,2021-01-20,117,alava,7.6,5.0,0.0,513
VI,2021-01-21,153,alava,11.3,8.1,4.0,513
VI,2021-01-22,130,alava,6.6,4.2,2.8,513
VI,2021-01-23,123,alava,5.2,6.9,4.9,513
VI,2021-01-24,142,alava,8.0,5.6,7.4,513
VI,2021-01-25,170,alava,7.8,1.9,5.5,513
VI,2021-01-26,160,alava,6.3,1.4,3.4,513
VI,2021-01-27,145,alava,12.4,1.1,1.1,513
VI,2021-01-28,147,alava,12.9,5.6,0.0,513
VI,2021-01-29,109,alava,13.6,3.9,0.0,513
VI,2021-01-30,119,alava,10.6,6.1,2.7,513
VI,2021-01-31,129,alava,10.4,5.0,1.2,513
VI,2021-02-01,136,alava,11.4,2.8,2.3,513
VI,2021-02-02,125,alava,11.6,7.2,0.0,513
VI,2021-02-03,123,alava,12.5,6.4,1.4,513
VI,2021-02-04,83,alava,9.4,0.8,0.0,513
VI,2021-02-05,89,alava,8.5,2.5,3.8,513
VI,2021-02-06,111,alava,6.8,3.1,4.3,513
VI,2021-02-07,94,alava,5.9,4.2,2.2,513
VI,2021-02-08,97,alava,9.0,4.4,2.2,513
VI,2021-02-09,80,alava,8.4,4.7,4.7,513
VI,2021-02-10,75,alava,7.0,2.8,0.0,513
VI,2021-02-11,63,alava,8.4,3.6,0.2,513
VI,2021-02-12,43,alava,9.4,2.8,10.0,513
VI,2021-02-13,40,alava,7.4,1.4,0.0,513
VI,2021-02-14,64,alava,7.8,3.3,0.0,513
VI,2021-02-15,57,alava,7.9,4.7,0.0,513
VI,2021-02-16,54,alava,10.0,3.6,0.1,513
VI,2021-02-17,49,alava,10.3,2.8,0.0,513
VI,2021-02-18,56,alava,10.0,5.8,0.0,513
VI,2021-02-19,56,alava,14.4,5.0,0.0,513
VI,2021-02-20,59,alava,14.6,6.4,0.0,513
VI,2021-02-21,71,alava,8.6,6.7,12.6,513
VI,2021-02-22,48,alava,5.4,1.9,3.5,513
VI,2021-02-23,55,alava,8.2,4.2,0.0,513
VI,2021-02-24,58,alava,11.3,6.4,0.0,513
VI,2021-02-25,42,alava,9.4,1.1,0.0,513
VI,2021-02-26,59,alava,9.6,3.3,0.0,513
VI,2021-02-27,46,alava,8.8,4.4,0.0,513
VI,2021-02-28,35,alava,6.6,2.5,0.5,513
