provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AB,2020-12-02,80,albacete,6.9,0.8,0.0,676
AB,2020-12-03,76,albacete,4.6,0.8,0.0,676
AB,2020-12-04,101,albacete,5.2,2.2,2.9,676
AB,2020-12-05,61,albacete,3.6,2.5,0.0,676
AB,2020-12-06,59,albacete,4.4,1.9,0.0,676
AB,2020-12-07,86,albacete,8.4,4.4,6.1,676
AB,2020-12-09,103,albacete,5.1,1.7,0.0,676
AB,2020-12-10,114,albacete,9.1,3.3,0.6,676
AB,2020-12-11,123,albacete,13.8,4.4,0.1,676
AB,2020-12-12,99,albacete,11.5,1.9,0.0,676
AB,2020-12-13,83,albacete,10.0,0.3,0.0,676
AB,2020-12-14,115,albacete,10.7,0.6,0.3,676
AB,2020-12-15,125,albacete,9.6,1.1,0.0,676
AB,2020-12-16,115,albacete,8.1,0.0,0.0,676
AB,2020-12-17,108,albacete,7.8,0.0,0.0,676
AB,2020-12-18,115,albacete,8.8,0.0,0.0,676
AB,2020-12-19,101,albacete,8.1,0.8,1.7,676
AB,2020-12-20,88,albacete,9.3,1.1,0.0,676
AB,2020-12-21,130,albacete,8.0,0.3,0.1,676
AB,2020-12-22,116,albacete,6.5,0.3,0.1,676
AB,2020-12-23,120,albacete,9.3,0.3,0.0,676
AB,2020-12-24,118,albacete,11.4,0.3,0.0,676
AB,2020-12-25,100,albacete,5.1,0.3,0.0,676
AB,2020-12-26,118,albacete,3.4,1.4,0.0,676
AB,2020-12-27,180,albacete,5.2,1.9,0.0,676
AB,2020-12-28,177,albacete,6.4,4.2,1.4,676
AB,2020-12-29,191,albacete,4.8,1.9,0.8,676
AB,2020-12-30,186,albacete,4.0,1.1,0.0,676
AB,2020-12-31,180,albacete,3.6,0.6,3.5,676
AB,2021-01-01,154,albacete,3.8,2.5,0.9,676
AB,2021-01-02,181,albacete,1.7,2.2,0.0,676
AB,2021-01-04,300,albacete,2.1,0.8,0.4,676
AB,2021-01-05,331,albacete,0.4,0.3,0.0,676
AB,2021-01-06,232,albacete,-0.7,0.3,3.4,676
AB,2021-01-07,282,albacete,0.4,0.8,14.9,676
AB,2021-01-08,290,albacete,0.7,0.8,22.8,676
AB,2021-01-09,283,albacete,0.2,0.3,0.4,676
AB,2021-01-10,315,albacete,-1.6,0.0,2.1,676
AB,2021-01-11,363,albacete,-3.0,0.3,0.0,676
AB,2021-01-12,379,albacete,-4.0,0.0,0.0,676
AB,2021-01-13,380,albacete,-0.8,0.3,0.0,676
AB,2021-01-14,377,albacete,0.6,0.6,0.0,676
AB,2021-01-15,335,albacete,1.1,1.7,0.0,676
AB,2021-01-16,306,albacete,2.7,1.4,0.0,676
AB,2021-01-17,255,albacete,1.6,0.6,0.0,676
AB,2021-01-18,328,albacete,2.6,0.6,0.0,676
AB,2021-01-19,323,albacete,0.6,0.3,0.0,676
AB,2021-01-20,327,albacete,1.8,0.3,2.3,676
AB,2021-01-21,328,albacete,8.2,1.9,0.1,676
AB,2021-01-22,297,albacete,8.6,4.2,1.7,676
AB,2021-01-23,208,albacete,7.6,4.7,0.0,676
AB,2021-01-24,196,albacete,10.2,3.1,0.0,676
AB,2021-01-25,270,albacete,11.1,3.1,0.0,676
AB,2021-01-26,259,albacete,12.7,0.8,0.5,676
AB,2021-01-27,212,albacete,13.2,2.2,0.1,676
AB,2021-01-28,189,albacete,12.4,0.3,0.1,676
AB,2021-01-29,143,albacete,12.2,0.6,0.0,676
AB,2021-01-30,121,albacete,11.2,4.7,0.0,676
AB,2021-01-31,94,albacete,9.0,5.0,0.0,676
AB,2021-02-01,122,albacete,12.6,4.4,0.0,676
AB,2021-02-02,126,albacete,11.4,1.1,0.0,676
AB,2021-02-03,103,albacete,11.6,0.8,0.0,676
AB,2021-02-04,90,albacete,12.2,1.1,0.0,676
AB,2021-02-05,72,albacete,11.4,1.9,3.6,676
AB,2021-02-06,63,albacete,8.6,1.7,0.0,676
AB,2021-02-07,40,albacete,7.8,3.1,0.1,676
AB,2021-02-08,49,albacete,8.7,3.9,0.9,676
AB,2021-02-09,55,albacete,9.6,3.3,0.0,676
AB,2021-02-10,42,albacete,11.2,1.9,0.0,676
AB,2021-02-11,48,albacete,10.5,0.6,0.0,676
AB,2021-02-12,32,albacete,11.2,1.4,0.0,676
AB,2021-02-13,53,albacete,10.0,0.6,0.0,676
AB,2021-02-14,24,albacete,9.3,0.3,0.0,676
AB,2021-02-15,31,albacete,10.0,2.2,0.0,676
AB,2021-02-16,29,albacete,11.7,0.8,0.0,676
AB,2021-02-17,29,albacete,11.8,0.6,0.0,676
AB,2021-02-18,22,albacete,11.8,0.3,0.0,676
AB,2021-02-19,20,albacete,12.2,1.1,0.0,676
AB,2021-02-20,22,albacete,14.2,1.9,0.0,676
AB,2021-02-21,17,albacete,9.2,1.7,11.3,676
AB,2021-02-22,14,albacete,7.0,2.2,0.0,676
AB,2021-02-23,21,albacete,10.2,0.3,0.0,676
AB,2021-02-24,15,albacete,9.5,0.8,0.0,676
AB,2021-02-25,13,albacete,11.4,1.7,0.0,676
AB,2021-02-26,15,albacete,9.8,1.1,0.0,676
AB,2021-02-27,15,albacete,8.9,0.0,0.0,676
AB,2021-02-28,12,albacete,7.4,1.4,0.0,676
