provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
A,2020-12-02,268,alicante,12.6,2.8,0.0,81
A,2020-12-03,267,alicante,10.4,2.2,0.0,81
A,2020-12-04,297,alicante,13.1,2.2,0.8,81
A,2020-12-05,258,alicante,10.2,3.6,0.0,81
A,2020-12-06,219,alicante,11.2,3.6,0.0,81
A,2020-12-07,304,alicante,14.2,3.6,0.0,81
A,2020-12-08,306,alicante,13.8,5.0,0.0,81
A,2020-12-09,396,alicante,13.0,3.6,0.0,81
A,2020-12-10,486,alicante,15.0,2.8,0.0,81
A,2020-12-11,522,alicante,19.8,2.8,0.0,81
A,2020-12-12,507,alicante,18.6,3.6,0.0,81
A,2020-12-13,476,alicante,17.6,1.7,0.0,81
A,2020-12-14,638,alicante,14.4,0.8,0.0,81
A,2020-12-15,619,alicante,15.7,1.9,0.0,81
A,2020-12-16,718,alicante,12.8,1.4,0.0,81
A,2020-12-17,650,alicante,14.0,1.1,0.0,81
A,2020-12-18,755,alicante,12.7,1.4,0.0,81
A,2020-12-19,646,alicante,12.6,1.4,0.2,81
A,2020-12-20,529,alicante,15.0,1.4,0.0,81
A,2020-12-21,818,alicante,12.6,1.4,0.0,81
A,2020-12-22,821,alicante,13.2,0.8,0.0,81
A,2020-12-23,936,alicante,14.0,1.9,0.0,81
A,2020-12-24,801,alicante,13.4,1.4,0.0,81
A,2020-12-25,657,alicante,11.4,1.9,0.0,81
A,2020-12-26,845,alicante,9.8,1.7,0.0,81
A,2020-12-27,837,alicante,8.6,2.5,0.0,81
A,2020-12-28,1406,alicante,12.3,2.8,0.6,81
A,2020-12-29,1165,alicante,12.0,3.3,0.0,81
A,2020-12-30,1309,alicante,11.2,2.5,0.0,81
A,2020-12-31,1349,alicante,9.6,2.2,0.0,81
A,2021-01-01,1377,alicante,10.6,2.8,0.0,81
A,2021-01-02,1515,alicante,8.5,4.2,0.0,81
A,2021-01-03,1675,alicante,8.9,3.6,0.0,81
A,2021-01-04,2327,alicante,8.7,2.8,0.0,81
A,2021-01-05,2399,alicante,9.3,1.4,0.0,81
A,2021-01-06,2209,alicante,7.6,1.4,3.0,81
A,2021-01-07,2579,alicante,7.8,1.4,5.8,81
A,2021-01-08,3150,alicante,7.6,3.9,11.4,81
A,2021-01-09,2946,alicante,8.7,1.1,1.2,81
A,2021-01-10,2517,alicante,8.4,1.4,3.6,81
A,2021-01-11,3503,alicante,7.6,1.4,0.0,81
A,2021-01-12,3239,alicante,7.6,1.4,0.0,81
A,2021-01-13,3113,alicante,7.8,1.4,0.0,81
A,2021-01-14,3189,alicante,8.6,1.4,0.0,81
A,2021-01-15,3686,alicante,9.8,1.4,0.0,81
A,2021-01-16,2823,alicante,9.6,1.4,0.0,81
A,2021-01-17,2341,alicante,11.4,1.4,0.0,81
A,2021-01-18,3250,alicante,11.7,1.4,0.0,81
A,2021-01-19,2931,alicante,10.4,1.7,0.0,81
A,2021-01-20,2891,alicante,8.4,0.8,0.6,81
A,2021-01-21,2806,alicante,13.8,2.5,0.0,81
A,2021-01-22,2830,alicante,14.8,3.3,0.0,81
A,2021-01-23,2165,alicante,13.2,2.8,0.0,81
A,2021-01-24,1743,alicante,15.6,2.2,0.0,81
A,2021-01-25,2412,alicante,18.2,3.6,0.0,81
A,2021-01-26,2190,alicante,15.7,1.4,0.0,81
A,2021-01-27,2141,alicante,19.0,1.7,0.0,81
A,2021-01-28,1867,alicante,22.0,1.4,0.0,81
A,2021-01-29,1577,alicante,23.0,2.8,0.0,81
A,2021-01-30,1234,alicante,19.4,3.3,0.0,81
A,2021-01-31,808,alicante,17.6,2.8,0.0,81
A,2021-02-01,1195,alicante,20.5,5.0,0.0,81
A,2021-02-02,1093,alicante,18.2,2.5,0.0,81
A,2021-02-03,974,alicante,13.6,1.1,0.0,81
A,2021-02-04,834,alicante,13.4,1.4,0.0,81
A,2021-02-05,783,alicante,13.7,2.2,0.0,81
A,2021-02-06,532,alicante,15.0,1.9,0.0,81
A,2021-02-07,302,alicante,15.7,2.5,0.0,81
A,2021-02-08,462,alicante,15.4,3.6,0.0,81
A,2021-02-09,439,alicante,12.4,1.7,0.0,81
A,2021-02-10,356,alicante,16.9,3.1,0.0,81
A,2021-02-11,348,alicante,18.2,2.2,0.0,81
A,2021-02-12,317,alicante,19.0,3.1,0.0,81
A,2021-02-13,226,alicante,16.9,2.8,0.0,81
A,2021-02-14,161,alicante,12.8,2.5,5.8,81
A,2021-02-15,233,alicante,12.1,1.7,0.4,81
A,2021-02-16,215,alicante,12.3,1.7,0.0,81
A,2021-02-17,182,alicante,12.0,1.4,0.0,81
A,2021-02-18,156,alicante,11.6,1.4,0.0,81
A,2021-02-19,151,alicante,13.4,1.7,0.0,81
A,2021-02-20,124,alicante,12.4,2.2,0.0,81
A,2021-02-21,92,alicante,14.7,2.8,0.0,81
A,2021-02-22,106,alicante,14.6,2.5,0.0,81
A,2021-02-23,146,alicante,13.2,1.7,0.0,81
A,2021-02-24,95,alicante,13.6,2.5,0.0,81
A,2021-02-25,116,alicante,13.3,2.5,0.0,81
A,2021-02-26,102,alicante,13.1,2.5,0.0,81
A,2021-02-27,77,alicante,12.0,2.2,0.0,81
A,2021-02-28,67,alicante,13.8,4.2,0.0,81
