provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
AL,2020-12-02,107,almeria,12.0,1.9,0.0,869
AL,2020-12-03,102,almeria,9.2,1.9,0.0,869
AL,2020-12-04,81,almeria,9.4,3.9,0.8,869
AL,2020-12-05,109,almeria,4.9,2.8,0.0,869
AL,2020-12-06,90,almeria,6.4,3.1,0.0,869
AL,2020-12-07,64,almeria,10.8,4.4,0.0,869
AL,2020-12-08,56,almeria,9.0,5.0,1.6,869
AL,2020-12-09,84,almeria,8.5,2.5,0.0,869
AL,2020-12-10,140,almeria,11.4,3.1,0.0,869
AL,2020-12-11,125,almeria,15.6,5.0,0.0,869
AL,2020-12-12,139,almeria,15.0,4.2,0.0,869
AL,2020-12-13,64,almeria,15.2,0.8,0.0,869
AL,2020-12-14,69,almeria,15.0,0.6,0.0,869
AL,2020-12-15,148,almeria,11.3,1.4,0.0,869
AL,2020-12-16,124,almeria,10.4,1.4,0.0,869
AL,2020-12-17,119,almeria,9.6,0.6,0.0,869
AL,2020-12-18,125,almeria,10.6,1.1,0.0,869
AL,2020-12-19,88,almeria,11.6,0.8,0.0,869
AL,2020-12-20,75,almeria,12.4,1.1,0.0,869
AL,2020-12-21,125,almeria,12.3,1.1,0.0,869
AL,2020-12-22,93,almeria,11.8,1.1,0.0,869
AL,2020-12-23,97,almeria,14.5,0.3,0.0,869
AL,2020-12-24,89,almeria,12.4,0.6,0.0,869
AL,2020-12-25,103,almeria,9.0,1.1,0.0,869
AL,2020-12-26,74,almeria,5.8,1.4,0.0,869
AL,2020-12-27,91,almeria,8.1,0.8,0.0,869
AL,2020-12-28,137,almeria,9.3,2.5,0.2,869
AL,2020-12-29,120,almeria,7.4,2.2,0.2,869
AL,2020-12-30,172,almeria,6.7,1.9,0.0,869
AL,2020-12-31,218,almeria,6.3,2.2,0.0,869
AL,2021-01-01,170,almeria,5.8,2.8,0.4,869
AL,2021-01-02,157,almeria,4.8,2.8,0.0,869
AL,2021-01-03,212,almeria,4.4,2.5,0.0,869
AL,2021-01-04,284,almeria,5.4,0.8,0.0,869
AL,2021-01-05,358,almeria,5.2,1.7,0.0,869
AL,2021-01-06,378,almeria,4.9,2.8,18.1,869
AL,2021-01-07,351,almeria,3.6,2.5,9.9,869
AL,2021-01-09,548,almeria,7.4,0.8,0.2,869
AL,2021-01-10,435,almeria,4.6,1.7,0.2,869
AL,2021-01-11,488,almeria,5.3,0.3,0.0,869
AL,2021-01-12,668,almeria,6.8,1.4,0.0,869
AL,2021-01-13,667,almeria,9.4,0.8,0.0,869
AL,2021-01-14,614,almeria,10.2,1.4,0.0,869
AL,2021-01-15,728,almeria,10.2,1.9,0.0,869
AL,2021-01-16,629,almeria,11.2,0.8,0.0,869
AL,2021-01-17,576,almeria,11.7,0.8,0.0,869
AL,2021-01-18,757,almeria,10.1,0.8,0.0,869
AL,2021-01-19,806,almeria,9.0,0.6,0.0,869
AL,2021-01-20,882,almeria,8.8,0.8,0.0,869
AL,2021-01-21,821,almeria,12.2,2.8,0.0,869
AL,2021-01-22,768,almeria,11.2,4.4,0.8,869
AL,2021-01-23,625,almeria,10.4,3.3,0.0,869
AL,2021-01-24,518,almeria,13.8,3.1,0.0,869
AL,2021-01-25,631,almeria,13.4,2.8,0.0,869
AL,2021-01-26,675,almeria,16.4,1.9,0.0,869
AL,2021-01-27,811,almeria,17.0,1.9,0.0,869
AL,2021-01-28,562,almeria,19.1,0.6,0.0,869
AL,2021-01-29,571,almeria,20.0,1.4,0.0,869
AL,2021-01-31,439,almeria,12.1,3.9,0.0,869
AL,2021-02-01,560,almeria,14.8,1.7,0.0,869
AL,2021-02-02,416,almeria,16.1,0.8,0.0,869
AL,2021-02-03,450,almeria,18.2,0.6,0.0,869
AL,2021-02-04,399,almeria,16.0,1.4,0.0,869
AL,2021-02-05,390,almeria,13.5,3.3,0.5,869
AL,2021-02-06,325,almeria,12.0,0.8,0.0,869
AL,2021-02-07,192,almeria,9.4,2.8,0.0,869
AL,2021-02-08,253,almeria,10.2,1.7,2.1,869
AL,2021-02-09,286,almeria,12.4,1.1,0.0,869
AL,2021-02-10,271,almeria,14.0,2.8,0.0,869
AL,2021-02-11,243,almeria,16.2,0.6,0.0,869
AL,2021-02-12,233,almeria,14.1,3.1,0.0,869
AL,2021-02-13,176,almeria,13.9,1.7,0.0,869
AL,2021-02-14,151,almeria,11.4,2.8,0.0,869
AL,2021-02-15,172,almeria,9.4,3.9,0.0,869
AL,2021-02-16,162,almeria,11.6,0.0,0.0,869
AL,2021-02-17,154,almeria,14.3,1.7,0.0,869
AL,2021-02-18,162,almeria,14.4,0.8,0.0,869
AL,2021-02-19,140,almeria,13.2,1.9,0.0,869
AL,2021-02-20,170,almeria,13.4,1.9,0.0,869
AL,2021-02-21,99,almeria,9.9,1.1,4.2,869
AL,2021-02-22,159,almeria,9.3,3.1,0.0,869
AL,2021-02-23,175,almeria,10.1,1.1,0.0,869
AL,2021-02-24,147,almeria,10.6,2.8,0.0,869
AL,2021-02-25,129,almeria,10.9,2.5,0.0,869
AL,2021-02-26,110,almeria,11.2,1.9,0.0,869
AL,2021-02-27,109,almeria,9.0,1.4,0.0,869
AL,2021-02-28,116,almeria,9.4,1.1,1.1,869
