provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
O,2020-12-02,229,asturias,9.5,2.2,0.0,127
O,2020-12-03,123,asturias,9.8,8.6,43.1,127
O,2020-12-04,113,asturias,5.2,6.1,15.3,127
O,2020-12-05,114,asturias,6.9,10.8,44.3,127
O,2020-12-06,128,asturias,8.2,6.4,37.4,127
O,2020-12-07,133,asturias,9.6,11.9,44.0,127
O,2020-12-08,168,asturias,8.0,5.8,24.2,127
O,2020-12-09,103,asturias,11.0,5.3,2.6,127
O,2020-12-10,139,asturias,13.9,6.1,16.0,127
O,2020-12-11,120,asturias,14.1,11.4,3.5,127
O,2020-12-12,118,asturias,11.8,4.2,0.3,127
O,2020-12-13,97,asturias,12.2,2.5,5.5,127
O,2020-12-14,98,asturias,12.8,3.3,1.6,127
O,2020-12-15,94,asturias,10.8,2.2,0.0,127
O,2020-12-16,60,asturias,10.2,2.8,2.8,127
O,2020-12-17,82,asturias,9.8,3.9,0.0,127
O,2020-12-18,72,asturias,13.6,2.5,4.4,127
O,2020-12-19,102,asturias,11.6,2.2,0.0,127
O,2020-12-20,95,asturias,12.4,2.5,3.1,127
O,2020-12-21,60,asturias,16.8,3.6,0.0,127
O,2020-12-22,60,asturias,16.0,1.9,0.0,127
O,2020-12-23,57,asturias,11.7,7.8,2.2,127
O,2020-12-24,80,asturias,8.4,3.3,14.4,127
O,2020-12-25,65,asturias,7.0,3.3,2.1,127
O,2020-12-26,131,asturias,6.8,2.2,0.0,127
O,2020-12-27,125,asturias,8.6,10.0,50.2,127
O,2020-12-29,90,asturias,6.2,7.8,20.7,127
O,2020-12-30,63,asturias,7.4,4.7,1.6,127
O,2020-12-31,130,asturias,7.2,4.2,29.6,127
O,2021-01-01,143,asturias,6.0,3.9,8.1,127
O,2021-01-02,156,asturias,4.6,3.9,16.7,127
O,2021-01-03,188,asturias,5.3,3.1,41.6,127
O,2021-01-04,153,asturias,3.6,4.4,11.5,127
O,2021-01-05,191,asturias,4.8,4.4,8.6,127
O,2021-01-06,158,asturias,5.3,2.2,0.1,127
O,2021-01-07,192,asturias,4.4,2.8,0.0,127
O,2021-01-08,236,asturias,3.5,3.3,0.9,127
O,2021-01-09,319,asturias,3.3,5.6,10.4,127
O,2021-01-10,287,asturias,6.1,4.7,0.0,127
O,2021-01-11,325,asturias,6.0,2.2,0.0,127
O,2021-01-12,344,asturias,5.6,3.1,0.0,127
O,2021-01-13,267,asturias,6.9,2.8,0.0,127
O,2021-01-14,281,asturias,5.8,3.9,3.2,127
O,2021-01-15,280,asturias,8.2,2.8,0.0,127
O,2021-01-16,348,asturias,6.9,3.1,0.0,127
O,2021-01-17,406,asturias,7.9,2.8,4.7,127
O,2021-01-18,507,asturias,10.3,2.5,0.1,127
O,2021-01-19,509,asturias,9.2,3.3,0.0,127
O,2021-01-20,401,asturias,12.5,6.4,0.4,127
O,2021-01-21,513,asturias,14.1,9.7,15.7,127
O,2021-01-22,435,asturias,9.3,6.1,2.6,127
O,2021-01-23,601,asturias,11.3,6.4,33.4,127
O,2021-01-24,555,asturias,10.8,5.6,28.1,127
O,2021-01-25,592,asturias,9.4,2.2,8.0,127
O,2021-01-26,540,asturias,12.1,1.9,0.8,127
O,2021-01-27,441,asturias,14.5,2.8,0.0,127
O,2021-01-28,344,asturias,13.5,2.2,0.0,127
O,2021-01-29,456,asturias,15.2,2.2,0.7,127
O,2021-01-30,445,asturias,11.6,10.0,2.5,127
O,2021-01-31,384,asturias,14.9,8.9,0.1,127
O,2021-02-01,444,asturias,16.2,6.9,0.0,127
O,2021-02-02,417,asturias,15.6,2.5,4.7,127
O,2021-02-03,282,asturias,13.8,6.7,0.0,127
O,2021-02-04,269,asturias,9.7,2.5,0.0,127
O,2021-02-05,229,asturias,8.3,3.9,41.7,127
O,2021-02-06,270,asturias,7.4,1.9,9.3,127
O,2021-02-07,278,asturias,8.1,4.4,3.9,127
O,2021-02-08,252,asturias,11.4,5.0,0.8,127
O,2021-02-09,214,asturias,11.0,6.9,4.0,127
O,2021-02-10,200,asturias,10.2,5.8,3.1,127
O,2021-02-11,145,asturias,11.4,1.9,17.7,127
O,2021-02-12,134,asturias,11.8,2.2,2.1,127
O,2021-02-13,163,asturias,12.3,3.3,3.9,127
O,2021-02-14,191,asturias,14.8,2.5,0.0,127
O,2021-02-15,192,asturias,14.6,2.8,0.0,127
O,2021-02-16,162,asturias,12.0,1.4,0.8,127
O,2021-02-17,142,asturias,11.6,3.6,2.6,127
O,2021-02-18,116,asturias,10.7,4.7,3.9,127
O,2021-02-19,122,asturias,11.2,3.1,0.0,127
O,2021-02-20,151,asturias,16.7,3.3,0.6,127
O,2021-02-21,151,asturias,9.2,1.9,11.4,127
O,2021-02-22,142,asturias,9.6,3.6,0.0,127
O,2021-02-23,165,asturias,13.6,4.4,0.0,127
O,2021-02-24,112,asturias,13.6,3.1,3.2,127
O,2021-02-25,103,asturias,10.2,1.7,11.8,127
O,2021-02-26,152,asturias,11.6,3.9,0.0,127
O,2021-02-27,147,asturias,9.4,4.4,0.0,127
O,2021-02-28,131,asturias,8.0,3.9,2.4,127
