provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BA,2020-12-02,101,badajoz,10.8,1.1,0.0,185
BA,2020-12-03,93,badajoz,8.6,1.4,1.6,185
BA,2020-12-04,75,badajoz,7.8,4.7,2.6,185
BA,2020-12-05,71,badajoz,7.4,2.8,0.0,185
BA,2020-12-06,53,badajoz,7.7,1.9,0.6,185
BA,2020-12-07,60,badajoz,12.3,4.2,1.2,185
BA,2020-12-08,80,badajoz,10.3,5.0,1.2,185
BA,2020-12-09,124,badajoz,8.2,1.1,0.8,185
BA,2020-12-10,124,badajoz,14.4,3.1,3.2,185
BA,2020-12-11,152,badajoz,16.0,4.2,1.8,185
BA,2020-12-12,139,badajoz,15.6,3.1,0.0,185
BA,2020-12-13,112,badajoz,14.8,1.4,0.4,185
BA,2020-12-14,168,badajoz,13.6,1.7,5.0,185
BA,2020-12-15,198,badajoz,12.2,1.4,0.0,185
BA,2020-12-16,177,badajoz,11.6,2.2,6.0,185
BA,2020-12-17,141,badajoz,10.0,1.1,0.2,185
BA,2020-12-18,212,badajoz,8.2,0.8,5.0,185
BA,2020-12-19,163,badajoz,11.0,1.4,14.4,185
BA,2020-12-20,175,badajoz,10.4,1.1,0.0,185
BA,2020-12-21,211,badajoz,10.0,1.4,0.2,185
BA,2020-12-22,213,badajoz,11.8,2.5,0.0,185
BA,2020-12-23,261,badajoz,9.9,0.8,0.0,185
BA,2020-12-24,236,badajoz,10.3,2.2,0.0,185
BA,2020-12-25,177,badajoz,8.4,3.6,0.0,185
BA,2020-12-26,319,badajoz,5.2,2.5,0.0,185
BA,2020-12-27,316,badajoz,4.9,1.4,1.2,185
BA,2020-12-28,438,badajoz,9.4,5.0,0.4,185
BA,2020-12-29,467,badajoz,8.0,3.6,0.0,185
BA,2020-12-30,417,badajoz,6.4,1.7,0.0,185
BA,2020-12-31,454,badajoz,7.4,1.9,0.6,185
BA,2021-01-01,433,badajoz,7.2,3.9,0.0,185
BA,2021-01-02,639,badajoz,5.8,1.9,0.0,185
BA,2021-01-03,553,badajoz,4.6,1.7,0.0,185
BA,2021-01-04,710,badajoz,5.6,1.7,0.0,185
BA,2021-01-05,708,badajoz,1.3,1.7,0.0,185
BA,2021-01-06,601,badajoz,3.1,3.1,0.0,185
BA,2021-01-07,835,badajoz,5.6,3.1,0.0,185
BA,2021-01-08,909,badajoz,4.0,5.3,6.8,185
BA,2021-01-09,809,badajoz,3.6,2.8,0.6,185
BA,2021-01-10,776,badajoz,5.1,3.1,0.0,185
BA,2021-01-11,997,badajoz,5.2,2.5,0.0,185
BA,2021-01-12,964,badajoz,3.1,1.1,0.0,185
BA,2021-01-13,904,badajoz,4.2,0.6,0.0,185
BA,2021-01-14,874,badajoz,4.0,1.4,0.0,185
BA,2021-01-15,910,badajoz,3.8,1.1,0.0,185
BA,2021-01-16,736,badajoz,5.4,0.8,0.0,185
BA,2021-01-17,674,badajoz,6.2,0.8,0.0,185
BA,2021-01-18,913,badajoz,6.9,1.1,0.0,185
BA,2021-01-19,712,badajoz,5.0,1.4,12.6,185
BA,2021-01-20,727,badajoz,12.6,2.8,10.0,185
BA,2021-01-21,644,badajoz,13.6,3.1,0.4,185
BA,2021-01-22,677,badajoz,11.4,4.4,0.6,185
BA,2021-01-23,472,badajoz,10.9,3.1,2.8,185
BA,2021-01-24,372,badajoz,13.0,2.2,0.0,185
BA,2021-01-25,505,badajoz,14.8,3.9,0.9,185
BA,2021-01-26,513,badajoz,15.7,1.4,0.2,185
BA,2021-01-27,396,badajoz,13.9,1.1,0.0,185
BA,2021-01-28,382,badajoz,12.4,2.2,0.2,185
BA,2021-01-29,331,badajoz,10.8,1.7,0.2,185
BA,2021-01-30,149,badajoz,13.2,3.6,0.0,185
BA,2021-01-31,148,badajoz,13.3,3.3,1.0,185
BA,2021-02-01,240,badajoz,14.0,1.9,0.0,185
BA,2021-02-02,171,badajoz,13.8,1.4,0.6,185
BA,2021-02-03,172,badajoz,14.1,4.2,5.4,185
BA,2021-02-04,126,badajoz,11.2,1.7,29.8,185
BA,2021-02-05,156,badajoz,10.6,4.2,17.8,185
BA,2021-02-06,95,badajoz,10.8,2.8,0.8,185
BA,2021-02-07,57,badajoz,8.7,3.6,4.2,185
BA,2021-02-08,133,badajoz,12.2,2.8,1.8,185
BA,2021-02-09,54,badajoz,11.8,3.9,16.2,185
BA,2021-02-10,87,badajoz,13.4,2.2,0.8,185
BA,2021-02-11,107,badajoz,15.2,1.7,0.8,185
BA,2021-02-12,47,badajoz,13.8,1.9,0.0,185
BA,2021-02-13,80,badajoz,12.2,1.4,0.0,185
BA,2021-02-14,22,badajoz,12.6,2.5,0.0,185
BA,2021-02-15,62,badajoz,14.3,3.9,0.0,185
BA,2021-02-16,39,badajoz,11.8,1.7,0.0,185
BA,2021-02-17,24,badajoz,12.8,1.4,0.0,185
BA,2021-02-18,20,badajoz,14.4,0.8,0.0,185
BA,2021-02-19,57,badajoz,11.8,1.7,0.0,185
BA,2021-02-20,35,badajoz,12.6,4.2,1.6,185
BA,2021-02-21,27,badajoz,11.0,3.9,2.2,185
BA,2021-02-22,19,badajoz,10.0,1.1,0.0,185
BA,2021-02-23,29,badajoz,11.6,3.3,0.0,185
BA,2021-02-24,28,badajoz,13.0,3.1,0.0,185
BA,2021-02-25,25,badajoz,13.1,3.9,0.4,185
BA,2021-02-26,20,badajoz,13.5,2.2,0.0,185
BA,2021-02-27,14,badajoz,11.8,2.2,0.0,185
BA,2021-02-28,16,badajoz,12.4,1.7,0.0,185
