provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PM,2020-12-02,342,baleares,12.6,11.4,12.7,57
PM,2020-12-03,309,baleares,13.6,1.9,0.0,57
PM,2020-12-04,288,baleares,15.4,2.8,2.0,57
PM,2020-12-05,251,baleares,10.7,4.4,0.4,57
PM,2020-12-06,217,baleares,12.8,2.8,0.1,57
PM,2020-12-07,276,baleares,13.9,3.1,0.6,57
PM,2020-12-08,303,baleares,14.6,3.1,0.2,57
PM,2020-12-09,393,baleares,13.2,2.8,0.0,57
PM,2020-12-10,348,baleares,14.8,2.5,0.6,57
PM,2020-12-11,361,baleares,16.2,2.5,5.3,57
PM,2020-12-12,332,baleares,15.8,7.5,0.9,57
PM,2020-12-13,329,baleares,15.8,1.4,0.0,57
PM,2020-12-14,492,baleares,16.6,5.0,0.0,57
PM,2020-12-15,540,baleares,18.1,1.9,0.0,57
PM,2020-12-16,531,baleares,16.5,3.3,0.0,57
PM,2020-12-17,520,baleares,17.2,4.7,0.0,57
PM,2020-12-18,512,baleares,17.2,4.2,0.0,57
PM,2020-12-19,490,baleares,16.6,0.6,0.0,57
PM,2020-12-20,423,baleares,16.0,3.3,8.3,57
PM,2020-12-21,507,baleares,15.7,2.5,0.0,57
PM,2020-12-22,480,baleares,16.6,1.1,0.0,57
PM,2020-12-23,416,baleares,15.8,2.5,0.0,57
PM,2020-12-24,415,baleares,16.0,2.8,0.0,57
PM,2020-12-25,362,baleares,10.5,9.2,5.8,57
PM,2020-12-26,355,baleares,10.2,15.8,0.0,57
PM,2020-12-27,391,baleares,11.7,2.8,0.0,57
PM,2020-12-28,472,baleares,13.6,3.3,0.4,57
PM,2020-12-29,363,baleares,13.6,2.2,0.3,57
PM,2020-12-30,263,baleares,12.2,3.1,0.0,57
PM,2020-12-31,189,baleares,13.4,1.1,0.0,57
PM,2021-01-01,681,baleares,10.6,5.6,10.3,57
PM,2021-01-02,736,baleares,9.8,2.2,6.0,57
PM,2021-01-03,686,baleares,7.4,2.8,8.8,57
PM,2021-01-04,799,baleares,10.8,3.6,2.3,57
PM,2021-01-05,641,baleares,8.6,3.3,0.0,57
PM,2021-01-06,488,baleares,10.2,1.9,0.9,57
PM,2021-01-07,707,baleares,9.3,9.4,6.5,57
PM,2021-01-08,712,baleares,8.7,12.2,5.1,57
PM,2021-01-09,690,baleares,12.2,4.7,1.1,57
PM,2021-01-10,598,baleares,11.9,1.9,12.0,57
PM,2021-01-11,664,baleares,8.9,10.8,0.7,57
PM,2021-01-12,706,baleares,10.8,4.4,0.0,57
PM,2021-01-13,682,baleares,12.0,2.2,0.0,57
PM,2021-01-14,677,baleares,12.6,3.1,0.0,57
PM,2021-01-15,663,baleares,12.6,1.7,0.2,57
PM,2021-01-16,599,baleares,12.1,8.9,0.0,57
PM,2021-01-17,521,baleares,15.4,3.3,0.0,57
PM,2021-01-18,633,baleares,11.6,3.9,0.0,57
PM,2021-01-19,607,baleares,13.2,2.5,0.0,57
PM,2021-01-20,517,baleares,14.6,3.9,0.0,57
PM,2021-01-21,554,baleares,16.6,1.4,0.0,57
PM,2021-01-22,442,baleares,15.5,3.9,4.3,57
PM,2021-01-23,397,baleares,14.8,3.1,0.0,57
PM,2021-01-24,316,baleares,15.3,4.4,0.0,57
PM,2021-01-25,345,baleares,14.0,2.2,1.2,57
PM,2021-01-26,330,baleares,11.9,3.1,0.0,57
PM,2021-01-27,312,baleares,15.1,1.9,0.0,57
PM,2021-01-28,271,baleares,18.9,1.7,0.0,57
PM,2021-01-29,210,baleares,20.7,3.1,0.0,57
PM,2021-01-30,176,baleares,17.4,2.5,0.6,57
PM,2021-01-31,87,baleares,15.4,3.3,0.0,57
PM,2021-02-01,348,baleares,17.6,4.2,0.0,57
PM,2021-02-02,322,baleares,17.5,1.4,0.0,57
PM,2021-02-03,254,baleares,16.6,2.2,0.0,57
PM,2021-02-04,165,baleares,14.0,3.1,0.0,57
PM,2021-02-05,137,baleares,15.6,2.8,0.0,57
PM,2021-02-06,115,baleares,18.0,1.4,0.0,57
PM,2021-02-07,87,baleares,12.7,4.2,0.0,57
PM,2021-02-08,149,baleares,13.8,3.3,0.0,57
PM,2021-02-09,145,baleares,15.0,3.1,0.0,57
PM,2021-02-10,126,baleares,15.8,5.3,0.0,57
PM,2021-02-11,98,baleares,17.2,1.9,0.0,57
PM,2021-02-12,108,baleares,15.3,1.9,5.5,57
PM,2021-02-13,73,baleares,14.0,5.3,0.0,57
PM,2021-02-14,107,baleares,10.8,5.8,0.0,57
PM,2021-02-15,96,baleares,11.2,4.4,0.0,57
PM,2021-02-16,77,baleares,12.6,3.6,0.0,57
PM,2021-02-18,69,baleares,15.4,4.2,0.0,57
PM,2021-02-19,55,baleares,13.5,2.8,0.0,57
PM,2021-02-20,51,baleares,14.8,4.4,0.0,57
PM,2021-02-21,42,baleares,15.6,9.7,0.0,57
PM,2021-02-22,58,baleares,15.2,4.7,0.2,57
PM,2021-02-23,54,baleares,15.3,3.9,0.0,57
PM,2021-02-24,40,baleares,16.0,4.2,0.0,57
PM,2021-02-25,48,baleares,14.7,2.5,0.0,57
PM,2021-02-26,32,baleares,14.5,3.9,0.0,57
PM,2021-02-27,26,baleares,13.8,5.6,0.0,57
PM,2021-02-28,15,baleares,14.4,5.6,0.0,57
