provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
B,2020-12-02,883,barcelona,11.2,0.8,0.0,74
B,2020-12-03,797,barcelona,9.4,1.7,0.0,74
B,2020-12-04,833,barcelona,9.2,1.7,0.0,74
B,2020-12-05,566,barcelona,7.6,1.7,0.0,74
B,2020-12-06,459,barcelona,8.6,1.7,0.0,74
B,2020-12-07,934,barcelona,8.0,1.7,0.0,74
B,2020-12-08,618,barcelona,9.6,0.8,0.0,74
B,2020-12-09,1123,barcelona,9.6,1.1,0.5,74
B,2020-12-10,1177,barcelona,10.8,0.6,1.0,74
B,2020-12-11,1247,barcelona,12.0,1.4,0.5,74
B,2020-12-12,822,barcelona,12.1,0.8,0.0,74
B,2020-12-13,722,barcelona,11.6,1.4,0.0,74
B,2020-12-14,1540,barcelona,12.8,0.3,0.0,74
B,2020-12-15,1512,barcelona,13.9,1.7,0.0,74
B,2020-12-16,1309,barcelona,12.0,1.1,0.0,74
B,2020-12-17,1361,barcelona,13.6,0.8,0.0,74
B,2020-12-18,1504,barcelona,14.7,0.0,6.2,74
B,2020-12-19,1120,barcelona,13.2,1.4,0.0,74
B,2020-12-20,1031,barcelona,13.1,0.8,0.0,74
B,2020-12-21,1781,barcelona,12.2,1.1,0.0,74
B,2020-12-22,1762,barcelona,11.8,1.4,0.0,74
B,2020-12-23,1643,barcelona,12.8,1.4,0.0,74
B,2020-12-24,1790,barcelona,10.8,1.7,0.0,74
B,2020-12-25,1051,barcelona,8.9,1.1,0.0,74
B,2020-12-26,1311,barcelona,7.5,0.8,0.0,74
B,2020-12-27,1361,barcelona,5.8,1.9,0.0,74
B,2020-12-28,2519,barcelona,8.8,3.1,0.0,74
B,2020-12-29,2267,barcelona,9.0,1.1,0.0,74
B,2020-12-30,2252,barcelona,8.6,1.1,0.0,74
B,2020-12-31,2266,barcelona,9.2,2.8,0.0,74
B,2021-01-01,1534,barcelona,7.6,0.8,0.0,74
B,2021-01-02,1657,barcelona,7.3,1.1,0.0,74
B,2021-01-03,1569,barcelona,6.3,1.9,0.0,74
B,2021-01-04,3042,barcelona,6.4,1.1,0.0,74
B,2021-01-05,3153,barcelona,6.6,1.4,0.3,74
B,2021-01-06,1717,barcelona,6.4,1.7,4.2,74
B,2021-01-07,2931,barcelona,5.8,0.6,0.0,74
B,2021-01-08,3404,barcelona,5.2,1.4,0.5,74
B,2021-01-09,2323,barcelona,4.4,4.2,4.1,74
B,2021-01-10,1920,barcelona,7.0,3.6,0.0,74
B,2021-01-11,3679,barcelona,6.9,1.4,0.0,74
B,2021-01-12,3265,barcelona,6.7,1.1,0.0,74
B,2021-01-13,3085,barcelona,8.6,0.8,0.0,74
B,2021-01-14,2884,barcelona,9.3,1.4,0.0,74
B,2021-01-15,3161,barcelona,8.6,0.8,0.0,74
B,2021-01-16,2058,barcelona,9.8,1.4,0.0,74
B,2021-01-17,1689,barcelona,10.2,1.1,0.0,74
B,2021-01-18,3273,barcelona,9.4,1.1,0.0,74
B,2021-01-19,3084,barcelona,10.6,1.4,0.0,74
B,2021-01-20,2909,barcelona,11.7,1.9,0.0,74
B,2021-01-21,2652,barcelona,11.8,2.2,0.2,74
B,2021-01-22,2679,barcelona,12.2,2.5,4.0,74
B,2021-01-23,1734,barcelona,11.0,2.8,0.0,74
B,2021-01-24,1451,barcelona,11.0,1.4,0.0,74
B,2021-01-25,2829,barcelona,12.2,0.8,0.0,74
B,2021-01-26,2432,barcelona,9.8,1.4,0.0,74
B,2021-01-27,2369,barcelona,10.4,0.8,0.0,74
B,2021-01-28,2350,barcelona,13.2,0.3,0.0,74
B,2021-01-29,2179,barcelona,14.2,0.3,0.0,74
B,2021-01-30,1356,barcelona,14.0,1.7,0.9,74
B,2021-01-31,1130,barcelona,12.2,1.4,0.0,74
B,2021-02-01,2289,barcelona,13.6,0.6,0.0,74
B,2021-02-02,1998,barcelona,13.5,0.6,0.0,74
B,2021-02-03,1771,barcelona,14.5,1.7,0.0,74
B,2021-02-04,1736,barcelona,12.8,0.8,0.0,74
B,2021-02-05,1645,barcelona,14.7,1.1,0.0,74
B,2021-02-06,1004,barcelona,13.8,1.9,10.4,74
B,2021-02-07,871,barcelona,9.9,0.6,4.3,74
B,2021-02-08,1596,barcelona,10.2,0.8,1.5,74
B,2021-02-09,1455,barcelona,10.6,1.4,0.0,74
B,2021-02-10,1296,barcelona,11.5,1.4,0.0,74
B,2021-02-11,1218,barcelona,11.6,0.8,0.0,74
B,2021-02-12,1321,barcelona,11.4,0.3,0.0,74
B,2021-02-13,903,barcelona,13.2,1.4,1.5,74
B,2021-02-14,810,barcelona,8.6,1.4,1.1,74
B,2021-02-15,1400,barcelona,9.2,0.8,0.1,74
B,2021-02-16,1308,barcelona,12.6,2.2,0.0,74
B,2021-02-17,1241,barcelona,12.8,1.7,0.0,74
B,2021-02-18,1263,barcelona,11.1,1.4,0.0,74
B,2021-02-19,1073,barcelona,10.8,1.4,0.0,74
B,2021-02-20,849,barcelona,11.6,1.4,0.0,74
B,2021-02-21,716,barcelona,12.3,1.4,0.3,74
B,2021-02-22,1306,barcelona,13.8,0.3,7.7,74
B,2021-02-23,1253,barcelona,14.8,0.6,0.0,74
B,2021-02-24,1106,barcelona,13.2,0.6,0.0,74
B,2021-02-25,952,barcelona,12.6,1.4,0.0,74
B,2021-02-26,970,barcelona,12.6,0.8,0.0,74
B,2021-02-27,703,barcelona,12.0,1.4,0.0,74
B,2021-02-28,610,barcelona,12.2,0.8,0.0,74
