provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BI,2020-12-02,233,bizkaia,8.6,1.7,1.8,42
BI,2020-12-03,165,bizkaia,9.6,3.3,5.9,42
BI,2020-12-04,164,bizkaia,6.4,4.4,4.5,42
BI,2020-12-05,233,bizkaia,5.4,4.2,24.1,42
BI,2020-12-06,160,bizkaia,7.4,3.6,31.3,42
BI,2020-12-07,197,bizkaia,9.6,6.9,22.7,42
BI,2020-12-08,223,bizkaia,8.3,3.3,29.8,42
BI,2020-12-09,215,bizkaia,8.0,1.1,8.1,42
BI,2020-12-10,212,bizkaia,11.9,5.3,14.6,42
BI,2020-12-11,183,bizkaia,14.6,6.4,6.2,42
BI,2020-12-12,217,bizkaia,10.8,6.4,7.7,42
BI,2020-12-13,150,bizkaia,14.0,2.2,0.0,42
BI,2020-12-14,195,bizkaia,15.2,3.9,12.5,42
BI,2020-12-15,205,bizkaia,11.4,3.3,0.0,42
BI,2020-12-16,137,bizkaia,13.3,4.4,3.5,42
BI,2020-12-17,132,bizkaia,11.1,2.5,0.0,42
BI,2020-12-18,160,bizkaia,11.8,4.7,0.1,42
BI,2020-12-19,148,bizkaia,11.8,3.3,0.8,42
BI,2020-12-20,146,bizkaia,10.4,1.9,1.6,42
BI,2020-12-21,197,bizkaia,16.0,3.9,0.9,42
BI,2020-12-22,177,bizkaia,18.4,4.4,0.0,42
BI,2020-12-23,113,bizkaia,14.5,5.8,2.8,42
BI,2020-12-24,177,bizkaia,9.6,4.2,11.7,42
BI,2020-12-25,123,bizkaia,7.8,3.1,4.1,42
BI,2020-12-26,199,bizkaia,7.6,1.7,1.4,42
BI,2020-12-27,200,bizkaia,7.7,7.5,24.0,42
BI,2020-12-28,212,bizkaia,8.1,4.2,12.8,42
BI,2020-12-29,155,bizkaia,6.2,3.6,29.5,42
BI,2020-12-30,161,bizkaia,7.0,3.3,8.0,42
BI,2020-12-31,208,bizkaia,8.2,4.2,13.6,42
BI,2021-01-01,164,bizkaia,6.0,2.8,16.4,42
BI,2021-01-02,205,bizkaia,5.2,3.1,7.7,42
BI,2021-01-03,249,bizkaia,4.6,1.9,22.1,42
BI,2021-01-04,276,bizkaia,3.7,3.3,28.0,42
BI,2021-01-05,341,bizkaia,4.4,2.8,0.4,42
BI,2021-01-06,248,bizkaia,5.4,0.8,0.2,42
BI,2021-01-07,359,bizkaia,3.3,1.4,0.0,42
BI,2021-01-08,434,bizkaia,3.0,1.9,0.0,42
BI,2021-01-09,326,bizkaia,2.8,1.4,3.5,42
BI,2021-01-10,418,bizkaia,4.0,2.2,0.0,42
BI,2021-01-11,363,bizkaia,5.7,2.2,0.0,42
BI,2021-01-12,446,bizkaia,6.6,1.7,0.0,42
BI,2021-01-13,362,bizkaia,8.1,1.4,0.0,42
BI,2021-01-14,373,bizkaia,8.2,2.2,2.6,42
BI,2021-01-15,441,bizkaia,9.6,2.8,0.7,42
BI,2021-01-16,461,bizkaia,8.9,1.9,0.0,42
BI,2021-01-17,478,bizkaia,7.0,1.7,9.0,42
BI,2021-01-18,566,bizkaia,9.2,1.1,0.0,42
BI,2021-01-19,564,bizkaia,10.6,5.0,0.0,42
BI,2021-01-20,613,bizkaia,14.2,5.3,0.2,42
BI,2021-01-21,434,bizkaia,16.7,7.2,5.3,42
BI,2021-01-22,558,bizkaia,11.6,3.6,9.6,42
BI,2021-01-23,499,bizkaia,10.4,3.9,5.7,42
BI,2021-01-24,592,bizkaia,10.9,2.8,5.7,42
BI,2021-01-25,641,bizkaia,8.7,1.9,3.0,42
BI,2021-01-26,539,bizkaia,10.2,2.2,10.2,42
BI,2021-01-27,521,bizkaia,15.0,2.5,1.0,42
BI,2021-01-28,535,bizkaia,14.6,1.9,3.9,42
BI,2021-01-29,462,bizkaia,15.2,1.9,2.5,42
BI,2021-01-30,465,bizkaia,15.2,3.1,5.9,42
BI,2021-01-31,482,bizkaia,12.8,4.2,3.2,42
BI,2021-02-01,467,bizkaia,14.5,6.9,1.5,42
BI,2021-02-02,491,bizkaia,15.4,4.7,0.3,42
BI,2021-02-03,378,bizkaia,16.8,3.3,0.0,42
BI,2021-02-04,389,bizkaia,13.1,2.5,11.4,42
BI,2021-02-05,384,bizkaia,11.0,1.7,7.5,42
BI,2021-02-06,354,bizkaia,9.1,3.6,29.1,42
BI,2021-02-07,369,bizkaia,8.6,1.7,0.3,42
BI,2021-02-08,369,bizkaia,11.8,3.1,0.4,42
BI,2021-02-09,345,bizkaia,12.4,3.3,0.1,42
BI,2021-02-10,274,bizkaia,10.2,3.9,0.0,42
BI,2021-02-11,322,bizkaia,12.6,2.8,0.8,42
BI,2021-02-12,277,bizkaia,13.9,5.0,7.6,42
BI,2021-02-13,270,bizkaia,11.6,1.7,0.0,42
BI,2021-02-14,296,bizkaia,12.6,5.6,0.0,42
BI,2021-02-15,278,bizkaia,15.6,6.4,0.0,42
BI,2021-02-16,294,bizkaia,13.8,4.4,0.1,42
BI,2021-02-17,235,bizkaia,13.5,4.7,0.0,42
BI,2021-02-18,201,bizkaia,13.8,2.8,0.4,42
BI,2021-02-19,245,bizkaia,14.9,4.7,0.0,42
BI,2021-02-20,220,bizkaia,19.4,6.4,0.0,42
BI,2021-02-21,173,bizkaia,13.0,7.8,26.4,42
BI,2021-02-22,231,bizkaia,10.0,2.8,3.2,42
BI,2021-02-23,177,bizkaia,13.6,5.3,0.0,42
BI,2021-02-24,192,bizkaia,17.6,5.6,0.0,42
BI,2021-02-25,152,bizkaia,14.2,3.3,0.0,42
BI,2021-02-26,213,bizkaia,12.5,2.2,0.0,42
BI,2021-02-27,140,bizkaia,10.6,2.5,0.0,42
BI,2021-02-28,160,bizkaia,9.2,1.7,8.1,42
