provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
BU,2020-12-02,83,burgos,3.0,3.1,0.0,790
BU,2020-12-03,103,burgos,2.2,2.2,2.2,790
BU,2020-12-04,127,burgos,2.4,3.1,0.0,790
BU,2020-12-05,59,burgos,2.0,3.6,0.0,790
BU,2020-12-06,55,burgos,2.5,2.8,0.0,790
BU,2020-12-07,60,burgos,7.0,5.0,0.0,790
BU,2020-12-08,64,burgos,4.2,2.8,0.0,790
BU,2020-12-09,89,burgos,1.0,1.7,1.4,790
BU,2020-12-10,69,burgos,8.1,3.9,6.2,790
BU,2020-12-11,74,burgos,11.1,3.9,1.8,790
BU,2020-12-12,62,burgos,7.8,3.3,0.0,790
BU,2020-12-13,43,burgos,8.4,0.3,0.0,790
BU,2020-12-14,68,burgos,10.9,1.1,3.8,790
BU,2020-12-15,73,burgos,4.7,1.4,0.0,790
BU,2020-12-16,70,burgos,5.2,1.7,0.0,790
BU,2020-12-17,43,burgos,5.8,0.8,0.0,790
BU,2020-12-18,53,burgos,5.8,1.1,1.4,790
BU,2020-12-19,36,burgos,4.7,0.8,4.6,790
BU,2020-12-20,27,burgos,5.2,1.1,0.6,790
BU,2020-12-21,42,burgos,7.5,1.1,0.0,790
BU,2020-12-22,49,burgos,10.5,0.8,0.0,790
BU,2020-12-23,38,burgos,7.2,2.5,1.8,790
BU,2020-12-24,33,burgos,3.3,1.4,0.0,790
BU,2020-12-25,32,burgos,1.1,2.8,0.0,790
BU,2020-12-26,39,burgos,0.6,1.9,0.0,790
BU,2020-12-27,46,burgos,1.0,3.9,1.4,790
BU,2020-12-28,46,burgos,3.8,4.4,0.0,790
BU,2020-12-29,46,burgos,2.6,3.6,0.0,790
BU,2020-12-30,48,burgos,1.0,2.2,0.0,790
BU,2020-12-31,45,burgos,3.2,4.2,2.2,790
BU,2021-01-01,42,burgos,1.0,2.8,0.2,790
BU,2021-01-02,54,burgos,-0.6,2.2,0.0,790
BU,2021-01-03,66,burgos,-0.6,4.2,0.2,790
BU,2021-01-04,104,burgos,-0.8,1.9,0.0,790
BU,2021-01-05,118,burgos,-1.2,0.8,0.0,790
BU,2021-01-06,78,burgos,-2.4,0.6,0.0,790
BU,2021-01-07,118,burgos,-3.1,1.7,0.0,790
BU,2021-01-08,130,burgos,-5.0,2.2,3.6,790
BU,2021-01-09,119,burgos,-1.4,1.9,5.6,790
BU,2021-01-10,101,burgos,-0.2,1.7,0.0,790
BU,2021-01-11,181,burgos,-4.0,1.7,0.0,790
BU,2021-01-12,192,burgos,-7.2,0.6,0.0,790
BU,2021-01-13,161,burgos,-5.6,1.1,0.0,790
BU,2021-01-14,154,burgos,-5.2,0.3,0.0,790
BU,2021-01-15,186,burgos,-1.0,1.4,0.0,790
BU,2021-01-16,119,burgos,-3.4,1.1,0.0,790
BU,2021-01-17,147,burgos,-3.4,0.8,0.0,790
BU,2021-01-18,187,burgos,-0.2,0.6,0.0,790
BU,2021-01-19,210,burgos,-0.2,0.8,0.0,790
BU,2021-01-20,188,burgos,2.3,4.4,0.4,790
BU,2021-01-21,168,burgos,8.5,4.2,2.0,790
BU,2021-01-22,197,burgos,7.1,4.2,0.2,790
BU,2021-01-23,123,burgos,6.8,5.8,0.0,790
BU,2021-01-24,124,burgos,7.4,3.6,1.0,790
BU,2021-01-25,185,burgos,5.8,4.2,7.2,790
BU,2021-01-26,118,burgos,6.0,0.6,0.8,790
BU,2021-01-27,164,burgos,9.6,1.9,0.0,790
BU,2021-01-28,128,burgos,11.4,1.4,0.0,790
BU,2021-01-29,136,burgos,10.0,1.9,2.8,790
BU,2021-01-30,94,burgos,7.5,4.2,0.2,790
BU,2021-01-31,66,burgos,9.1,3.9,0.2,790
BU,2021-02-01,118,burgos,9.8,5.6,0.0,790
BU,2021-02-02,108,burgos,10.2,2.2,0.0,790
BU,2021-02-03,105,burgos,7.9,1.9,10.4,790
BU,2021-02-04,92,burgos,9.8,1.1,0.2,790
BU,2021-02-05,110,burgos,9.2,1.9,0.6,790
BU,2021-02-06,66,burgos,6.0,2.2,0.0,790
BU,2021-02-07,65,burgos,3.6,2.5,2.6,790
BU,2021-02-08,95,burgos,6.5,3.9,2.6,790
BU,2021-02-09,82,burgos,5.4,3.9,8.8,790
BU,2021-02-10,76,burgos,6.1,2.2,0.2,790
BU,2021-02-11,82,burgos,8.9,1.7,2.4,790
BU,2021-02-12,59,burgos,7.7,2.5,0.4,790
BU,2021-02-13,51,burgos,5.6,1.7,0.0,790
BU,2021-02-14,33,burgos,6.8,1.1,0.0,790
BU,2021-02-15,55,burgos,8.8,1.9,0.0,790
BU,2021-02-16,68,burgos,8.7,2.5,0.0,790
BU,2021-02-17,76,burgos,9.4,1.1,0.0,790
BU,2021-02-18,47,burgos,9.0,3.3,0.0,790
BU,2021-02-19,59,burgos,10.4,2.8,0.0,790
BU,2021-02-23,49,burgos,6.5,1.4,0.0,790
BU,2021-02-24,43,burgos,7.7,1.9,0.0,790
BU,2021-02-25,41,burgos,8.8,2.2,0.0,790
BU,2021-02-26,63,burgos,10.6,3.1,0.0,790
BU,2021-02-27,39,burgos,7.4,0.8,0.0,790
BU,2021-02-28,44,burgos,6.2,1.7,1.2,790
