provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CC,2020-12-02,50,caceres,9.4,1.9,0.0,394
CC,2020-12-03,49,caceres,6.8,2.8,1.8,394
CC,2020-12-04,35,caceres,6.1,5.6,0.0,394
CC,2020-12-05,54,caceres,6.1,3.9,0.0,394
CC,2020-12-06,38,caceres,5.6,4.2,0.2,394
CC,2020-12-07,41,caceres,11.0,6.1,0.2,394
CC,2020-12-08,37,caceres,8.9,3.6,0.0,394
CC,2020-12-09,69,caceres,7.4,2.5,0.2,394
CC,2020-12-10,95,caceres,12.6,5.6,1.2,394
CC,2020-12-11,110,caceres,15.0,7.2,0.2,394
CC,2020-12-12,78,caceres,14.0,4.2,0.0,394
CC,2020-12-13,88,caceres,13.0,3.9,0.2,394
CC,2020-12-14,146,caceres,12.2,3.6,3.4,394
CC,2020-12-15,108,caceres,10.8,3.3,0.0,394
CC,2020-12-16,139,caceres,10.0,3.9,4.8,394
CC,2020-12-17,128,caceres,9.4,1.4,0.0,394
CC,2020-12-18,145,caceres,8.0,1.4,6.0,394
CC,2020-12-19,141,caceres,9.5,6.1,10.4,394
CC,2020-12-20,93,caceres,9.0,1.1,0.0,394
CC,2020-12-21,142,caceres,10.4,1.4,0.0,394
CC,2020-12-22,161,caceres,11.6,2.5,0.0,394
CC,2020-12-23,247,caceres,9.8,0.6,0.6,394
CC,2020-12-24,120,caceres,7.9,1.4,0.0,394
CC,2020-12-25,75,caceres,7.4,2.8,0.0,394
CC,2020-12-26,117,caceres,4.4,1.7,0.0,394
CC,2020-12-27,143,caceres,4.2,3.9,2.0,394
CC,2020-12-28,226,caceres,8.0,4.2,0.0,394
CC,2020-12-29,297,caceres,7.2,4.7,0.0,394
CC,2020-12-30,294,caceres,5.9,3.3,0.0,394
CC,2020-12-31,195,caceres,5.7,4.4,1.0,394
CC,2021-01-01,145,caceres,6.2,4.2,0.0,394
CC,2021-01-02,177,caceres,4.4,2.5,0.0,394
CC,2021-01-03,199,caceres,4.6,3.3,0.0,394
CC,2021-01-04,273,caceres,4.5,3.3,0.0,394
CC,2021-01-05,352,caceres,2.6,1.1,0.0,394
CC,2021-01-06,301,caceres,1.4,1.4,0.0,394
CC,2021-01-07,283,caceres,3.7,3.1,0.0,394
CC,2021-01-08,275,caceres,2.4,5.0,4.0,394
CC,2021-01-09,355,caceres,1.9,2.8,0.8,394
CC,2021-01-10,196,caceres,3.6,2.2,0.0,394
CC,2021-01-11,269,caceres,3.0,1.7,0.0,394
CC,2021-01-12,340,caceres,2.6,1.1,0.0,394
CC,2021-01-13,357,caceres,3.7,1.1,0.0,394
CC,2021-01-14,247,caceres,4.6,1.7,0.0,394
CC,2021-01-15,349,caceres,4.7,1.4,0.0,394
CC,2021-01-16,273,caceres,5.4,1.4,0.0,394
CC,2021-01-17,199,caceres,5.8,1.4,0.0,394
CC,2021-01-18,236,caceres,7.2,1.4,0.0,394
CC,2021-01-19,314,caceres,5.7,1.7,12.0,394
CC,2021-01-20,269,caceres,10.8,6.7,2.4,394
CC,2021-01-21,299,caceres,11.6,2.8,11.4,394
CC,2021-01-22,238,caceres,10.2,6.1,1.0,394
CC,2021-01-23,221,caceres,10.1,5.0,7.0,394
CC,2021-01-24,136,caceres,11.0,4.2,0.0,394
CC,2021-01-25,246,caceres,13.4,5.3,0.4,394
CC,2021-01-26,216,caceres,14.4,3.3,0.0,394
CC,2021-01-27,185,caceres,14.8,1.7,0.0,394
CC,2021-01-28,144,caceres,12.4,0.6,0.4,394
CC,2021-01-29,184,caceres,12.2,1.7,1.2,394
CC,2021-01-30,139,caceres,11.4,6.7,0.0,394
CC,2021-01-31,62,caceres,11.5,6.4,1.0,394
CC,2021-02-01,81,caceres,12.4,4.2,0.6,394
CC,2021-02-02,108,caceres,12.2,1.9,1.8,394
CC,2021-02-03,72,caceres,11.6,5.0,5.4,394
CC,2021-02-04,85,caceres,9.8,2.5,35.4,394
CC,2021-02-05,42,caceres,10.1,2.5,10.8,394
CC,2021-02-06,46,caceres,9.2,3.3,0.2,394
CC,2021-02-07,24,caceres,7.6,3.6,16.6,394
CC,2021-02-08,31,caceres,10.6,5.3,2.8,394
CC,2021-02-09,32,caceres,10.6,5.3,10.8,394
CC,2021-02-10,30,caceres,12.2,4.4,0.2,394
CC,2021-02-11,16,caceres,13.2,4.4,6.8,394
CC,2021-02-12,20,caceres,12.8,3.6,0.0,394
CC,2021-02-13,15,caceres,11.6,1.9,0.0,394
CC,2021-02-14,12,caceres,12.0,2.8,0.0,394
CC,2021-02-15,17,caceres,12.4,3.6,0.0,394
CC,2021-02-16,11,caceres,11.0,2.5,0.0,394
CC,2021-02-17,10,caceres,12.6,2.2,0.0,394
CC,2021-02-18,29,caceres,12.2,1.9,0.0,394
CC,2021-02-19,7,caceres,11.3,2.5,0.0,394
CC,2021-02-20,8,caceres,12.6,5.6,2.0,394
CC,2021-02-21,8,caceres,10.4,2.5,5.0,394
CC,2021-02-22,9,caceres,9.5,2.8,0.0,394
CC,2021-02-23,12,caceres,9.4,2.8,0.0,394
CC,2021-02-24,14,caceres,13.4,3.9,0.0,394
CC,2021-02-25,11,caceres,12.2,2.2,0.0,394
CC,2021-02-26,13,caceres,11.7,1.9,0.0,394
CC,2021-02-27,10,caceres,11.9,1.4,0.0,394
CC,2021-02-28,3,caceres,10.4,1.9,0.8,394
