provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CA,2020-12-02,243,cadiz,15.1,1.7,0.0,2
CA,2020-12-03,191,cadiz,15.6,2.8,0.3,2
CA,2020-12-04,226,cadiz,14.8,7.8,3.9,2
CA,2020-12-05,153,cadiz,11.6,5.3,0.0,2
CA,2020-12-06,115,cadiz,12.8,3.6,0.9,2
CA,2020-12-07,120,cadiz,15.8,4.7,5.3,2
CA,2020-12-08,130,cadiz,16.4,5.8,0.5,2
CA,2020-12-09,157,cadiz,14.9,2.2,0.6,2
CA,2020-12-10,194,cadiz,16.8,3.6,0.6,2
CA,2020-12-11,190,cadiz,17.6,5.3,0.0,2
CA,2020-12-12,185,cadiz,18.0,3.9,0.0,2
CA,2020-12-13,103,cadiz,16.9,3.6,0.0,2
CA,2020-12-14,142,cadiz,17.0,1.9,2.3,2
CA,2020-12-15,157,cadiz,16.1,0.6,0.0,2
CA,2020-12-16,146,cadiz,15.3,5.0,26.8,2
CA,2020-12-17,159,cadiz,14.0,2.5,0.0,2
CA,2020-12-18,198,cadiz,14.8,1.4,0.0,2
CA,2020-12-19,153,cadiz,14.7,3.3,3.4,2
CA,2020-12-20,142,cadiz,15.2,2.2,0.0,2
CA,2020-12-21,175,cadiz,14.2,2.5,0.0,2
CA,2020-12-22,183,cadiz,15.7,5.0,0.0,2
CA,2020-12-23,223,cadiz,16.8,3.1,0.0,2
CA,2020-12-24,192,cadiz,15.2,2.8,0.0,2
CA,2020-12-25,183,cadiz,13.8,3.6,0.0,2
CA,2020-12-26,217,cadiz,11.1,5.0,0.0,2
CA,2020-12-27,268,cadiz,10.3,2.8,0.0,2
CA,2020-12-28,355,cadiz,14.9,5.3,2.6,2
CA,2020-12-29,326,cadiz,12.2,3.3,0.2,2
CA,2020-12-30,309,cadiz,9.6,3.1,0.0,2
CA,2020-12-31,330,cadiz,10.4,3.1,1.9,2
CA,2021-01-01,292,cadiz,12.6,5.0,0.6,2
CA,2021-01-02,395,cadiz,9.5,3.3,0.0,2
CA,2021-01-03,444,cadiz,9.0,1.1,0.0,2
CA,2021-01-04,561,cadiz,9.5,0.8,1.8,2
CA,2021-01-05,646,cadiz,10.4,1.7,0.0,2
