provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
S,2020-12-02,127,cantabria,10.6,3.1,0.1,45
S,2020-12-03,109,cantabria,10.7,3.9,21.5,45
S,2020-12-04,89,cantabria,7.0,7.5,17.5,45
S,2020-12-05,92,cantabria,7.2,7.5,44.9,45
S,2020-12-06,67,cantabria,7.6,7.5,40.6,45
S,2020-12-07,87,cantabria,9.8,8.6,34.6,45
S,2020-12-08,87,cantabria,8.6,6.9,23.2,45
S,2020-12-09,69,cantabria,9.7,5.0,12.7,45
S,2020-12-10,76,cantabria,12.2,6.1,11.8,45
S,2020-12-11,59,cantabria,14.4,8.1,14.4,45
S,2020-12-12,76,cantabria,11.0,5.3,3.8,45
S,2020-12-13,82,cantabria,14.4,3.6,0.0,45
S,2020-12-14,72,cantabria,14.4,2.8,6.0,45
S,2020-12-15,74,cantabria,12.2,3.6,0.0,45
S,2020-12-16,68,cantabria,14.0,4.4,2.2,45
S,2020-12-17,72,cantabria,11.6,1.9,0.0,45
S,2020-12-18,65,cantabria,11.4,7.5,1.1,45
S,2020-12-19,39,cantabria,12.8,2.8,4.3,45
S,2020-12-20,56,cantabria,12.0,2.2,1.1,45
S,2020-12-21,67,cantabria,16.6,2.5,0.3,45
S,2020-12-22,69,cantabria,17.2,4.7,0.0,45
S,2020-12-23,83,cantabria,14.8,6.4,3.3,45
S,2020-12-24,60,cantabria,10.8,4.4,10.2,45
S,2020-12-25,69,cantabria,8.8,4.4,3.4,45
S,2020-12-26,75,cantabria,8.4,3.1,3.1,45
S,2020-12-27,86,cantabria,9.2,4.4,40.1,45
S,2020-12-28,116,cantabria,7.7,9.4,30.9,45
S,2020-12-29,101,cantabria,6.3,7.2,46.3,45
S,2020-12-30,110,cantabria,8.4,6.7,5.9,45
S,2020-12-31,80,cantabria,8.7,4.2,16.1,45
S,2021-01-01,180,cantabria,6.0,6.7,24.3,45
S,2021-01-02,94,cantabria,6.2,6.7,9.0,45
S,2021-01-03,127,cantabria,5.7,5.6,33.6,45
S,2021-01-04,128,cantabria,4.9,5.3,19.3,45
S,2021-01-05,146,cantabria,5.0,2.2,0.2,45
S,2021-01-06,144,cantabria,5.4,1.4,0.0,45
S,2021-01-07,157,cantabria,4.8,2.2,0.0,45
S,2021-01-08,164,cantabria,5.0,2.2,0.0,45
S,2021-01-09,137,cantabria,4.1,2.2,5.5,45
S,2021-01-10,134,cantabria,5.8,5.3,0.0,45
S,2021-01-11,193,cantabria,7.3,3.3,0.0,45
S,2021-01-12,161,cantabria,8.6,2.5,0.0,45
S,2021-01-13,171,cantabria,9.8,2.8,0.0,45
S,2021-01-14,148,cantabria,9.8,3.3,3.0,45
S,2021-01-15,166,cantabria,10.2,3.3,0.0,45
S,2021-01-16,147,cantabria,7.8,1.7,0.0,45
S,2021-01-17,153,cantabria,10.4,4.7,9.0,45
S,2021-01-18,184,cantabria,8.8,1.1,0.2,45
S,2021-01-19,172,cantabria,12.0,5.6,0.0,45
S,2021-01-20,175,cantabria,14.0,6.7,0.0,45
S,2021-01-21,165,cantabria,14.2,5.3,4.6,45
S,2021-01-22,200,cantabria,11.6,5.8,12.0,45
S,2021-01-23,181,cantabria,10.8,3.9,9.2,45
S,2021-01-24,114,cantabria,10.7,4.4,10.9,45
S,2021-01-25,165,cantabria,8.8,1.1,7.3,45
S,2021-01-29,138,cantabria,15.8,1.1,6.5,45
S,2021-01-30,110,cantabria,14.8,6.1,1.1,45
S,2021-01-31,85,cantabria,13.6,5.0,0.4,45
S,2021-02-01,111,cantabria,15.0,6.7,0.5,45
S,2021-02-02,123,cantabria,16.4,6.4,0.7,45
S,2021-02-03,80,cantabria,14.6,1.9,0.0,45
S,2021-02-04,120,cantabria,12.8,2.2,7.8,45
S,2021-02-05,88,cantabria,11.1,2.2,16.0,45
S,2021-02-06,84,cantabria,9.6,8.1,24.0,45
S,2021-02-07,60,cantabria,9.5,3.1,0.7,45
S,2021-02-08,105,cantabria,12.0,4.2,0.3,45
S,2021-02-09,86,cantabria,11.9,4.2,2.5,45
S,2021-02-10,73,cantabria,10.8,5.6,0.1,45
S,2021-02-11,80,cantabria,12.5,0.8,2.0,45
S,2021-02-12,78,cantabria,13.8,5.0,8.0,45
S,2021-02-13,47,cantabria,11.2,1.1,0.0,45
S,2021-02-14,60,cantabria,14.0,6.7,0.0,45
S,2021-02-15,96,cantabria,16.8,7.8,0.0,45
S,2021-02-16,59,cantabria,15.2,3.9,0.1,45
S,2021-02-17,50,cantabria,14.3,2.8,0.0,45
S,2021-02-18,78,cantabria,13.8,2.5,0.2,45
S,2021-02-19,55,cantabria,15.6,6.1,0.0,45
S,2021-02-20,52,cantabria,18.5,5.6,0.0,45
S,2021-02-21,40,cantabria,12.6,4.7,29.3,45
S,2021-02-22,52,cantabria,10.8,3.6,1.4,45
S,2021-02-23,46,cantabria,15.3,5.0,0.0,45
S,2021-02-24,52,cantabria,18.4,4.7,0.0,45
S,2021-02-25,45,cantabria,14.4,1.9,0.0,45
S,2021-02-26,47,cantabria,12.4,1.4,0.1,45
S,2021-02-27,29,cantabria,9.8,3.1,0.0,45
S,2021-02-28,42,cantabria,9.1,2.5,3.3,45
