provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CS,2020-12-02,87,castellon,11.0,2.5,0.0,43
CS,2020-12-03,89,castellon,9.2,1.9,0.0,43
CS,2020-12-04,108,castellon,10.7,2.5,0.4,43
CS,2020-12-05,83,castellon,8.9,3.6,0.0,43
CS,2020-12-06,81,castellon,12.3,3.6,0.0,43
CS,2020-12-07,94,castellon,12.8,2.8,0.0,43
CS,2020-12-08,121,castellon,11.8,3.9,0.0,43
CS,2020-12-09,165,castellon,11.8,2.2,0.0,43
CS,2020-12-10,175,castellon,14.8,2.2,0.6,43
CS,2020-12-11,189,castellon,15.2,1.9,1.8,43
CS,2020-12-12,190,castellon,15.8,3.1,0.0,43
CS,2020-12-13,126,castellon,13.6,1.4,0.0,43
CS,2020-12-14,190,castellon,12.2,1.1,0.0,43
CS,2020-12-15,222,castellon,15.0,2.5,0.0,43
CS,2020-12-16,229,castellon,12.2,1.9,0.0,43
CS,2020-12-17,213,castellon,13.0,1.7,0.0,43
CS,2020-12-18,239,castellon,13.4,1.7,0.0,43
CS,2020-12-19,185,castellon,12.4,1.4,0.0,43
CS,2020-12-20,146,castellon,13.7,1.4,0.0,43
CS,2020-12-21,216,castellon,12.2,1.7,0.0,43
CS,2020-12-22,242,castellon,13.2,1.4,0.0,43
CS,2020-12-23,233,castellon,12.6,1.1,0.0,43
CS,2020-12-24,257,castellon,12.6,1.4,0.0,43
CS,2020-12-25,175,castellon,10.3,3.1,0.0,43
CS,2020-12-26,184,castellon,9.1,1.9,0.0,43
CS,2020-12-27,201,castellon,8.0,1.9,0.0,43
CS,2020-12-28,393,castellon,12.6,4.7,0.0,43
CS,2020-12-29,341,castellon,10.5,3.1,0.0,43
CS,2020-12-30,310,castellon,10.6,2.2,0.0,43
CS,2020-12-31,324,castellon,10.7,2.2,0.8,43
CS,2021-01-01,335,castellon,9.0,1.4,0.2,43
CS,2021-01-02,416,castellon,8.0,3.1,0.0,43
CS,2021-01-03,384,castellon,9.0,1.4,0.0,43
CS,2021-01-04,487,castellon,8.2,1.4,0.0,43
CS,2021-01-05,537,castellon,6.6,1.7,0.0,43
CS,2021-01-06,452,castellon,6.8,1.9,0.0,43
CS,2021-01-07,526,castellon,7.2,1.7,7.0,43
CS,2021-01-08,682,castellon,6.0,2.2,5.0,43
CS,2021-01-09,622,castellon,5.1,2.5,22.0,43
CS,2021-01-10,523,castellon,7.1,1.7,0.0,43
CS,2021-01-11,710,castellon,7.2,2.5,0.0,43
CS,2021-01-12,736,castellon,7.4,1.9,0.0,43
CS,2021-01-13,758,castellon,9.1,1.7,0.0,43
CS,2021-01-14,733,castellon,9.4,1.4,0.0,43
CS,2021-01-15,855,castellon,10.1,2.5,0.0,43
CS,2021-01-16,658,castellon,9.8,1.9,0.0,43
CS,2021-01-17,518,castellon,14.5,2.8,0.0,43
CS,2021-01-18,760,castellon,11.6,1.7,0.0,43
CS,2021-01-19,672,castellon,9.6,1.4,0.0,43
CS,2021-01-20,870,castellon,9.0,2.2,0.0,43
CS,2021-01-21,685,castellon,13.8,4.7,0.0,43
CS,2021-01-22,704,castellon,15.2,4.4,1.0,43
CS,2021-01-23,506,castellon,14.2,3.3,0.0,43
CS,2021-01-24,391,castellon,15.8,4.4,0.0,43
CS,2021-01-25,580,castellon,16.9,2.2,0.0,43
CS,2021-01-26,584,castellon,12.0,1.4,0.0,43
CS,2021-01-27,495,castellon,17.8,2.5,0.0,43
CS,2021-01-28,413,castellon,19.6,2.5,0.0,43
CS,2021-01-29,421,castellon,21.4,2.5,0.0,43
CS,2021-01-30,338,castellon,17.2,3.9,0.0,43
CS,2021-01-31,198,castellon,18.4,3.1,0.0,43
CS,2021-02-01,346,castellon,20.2,5.8,0.0,43
CS,2021-02-02,328,castellon,16.6,1.4,0.0,43
CS,2021-02-03,305,castellon,13.8,1.4,0.0,43
CS,2021-02-04,240,castellon,13.4,1.7,0.0,43
CS,2021-02-05,229,castellon,13.6,1.4,0.0,43
CS,2021-02-06,181,castellon,15.7,2.2,0.0,43
CS,2021-02-07,91,castellon,14.1,1.4,0.0,43
CS,2021-02-08,157,castellon,16.0,2.8,0.0,43
CS,2021-02-09,140,castellon,14.1,3.1,0.0,43
CS,2021-02-10,130,castellon,15.0,4.4,0.0,43
CS,2021-02-11,128,castellon,14.8,1.7,0.0,43
CS,2021-02-12,109,castellon,17.8,3.3,0.0,43
CS,2021-02-13,101,castellon,15.0,1.9,0.0,43
CS,2021-02-14,48,castellon,12.0,2.5,3.0,43
CS,2021-02-15,71,castellon,12.2,1.9,0.6,43
CS,2021-02-16,73,castellon,12.4,1.4,0.0,43
CS,2021-02-17,73,castellon,11.4,1.4,0.0,43
CS,2021-02-18,67,castellon,12.8,1.4,0.0,43
CS,2021-02-19,56,castellon,10.8,1.7,0.0,43
CS,2021-02-20,49,castellon,12.4,2.2,0.0,43
CS,2021-02-21,27,castellon,13.0,4.4,5.6,43
CS,2021-02-22,38,castellon,12.4,2.5,0.0,43
CS,2021-02-23,34,castellon,12.7,1.9,0.0,43
CS,2021-02-24,36,castellon,13.7,1.1,0.0,43
CS,2021-02-25,37,castellon,14.1,1.7,0.0,43
CS,2021-02-26,26,castellon,12.5,1.4,0.0,43
CS,2021-02-27,20,castellon,12.8,1.9,0.0,43
CS,2021-02-28,19,castellon,12.0,1.4,5.0,43
