provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CE,2020-12-02,11,ceuta,17.1,2.5,0.0,87
CE,2020-12-03,9,ceuta,16.2,2.8,0.0,87
CE,2020-12-04,6,ceuta,13.6,5.8,25.4,87
CE,2020-12-05,7,ceuta,10.8,4.7,0.0,87
CE,2020-12-06,11,ceuta,13.0,2.5,0.6,87
CE,2020-12-07,8,ceuta,15.4,4.2,12.6,87
CE,2020-12-08,4,ceuta,16.0,5.0,8.6,87
CE,2020-12-09,10,ceuta,14.0,2.5,7.8,87
CE,2020-12-10,9,ceuta,16.2,3.1,25.0,87
CE,2020-12-11,9,ceuta,16.8,5.3,22.0,87
CE,2020-12-12,7,ceuta,17.4,3.6,0.2,87
CE,2020-12-13,2,ceuta,17.6,1.4,0.0,87
CE,2020-12-14,6,ceuta,18.0,2.2,1.2,87
CE,2020-12-15,7,ceuta,16.1,3.1,0.0,87
CE,2020-12-16,5,ceuta,14.4,3.1,7.6,87
CE,2020-12-17,3,ceuta,14.4,1.9,0.0,87
CE,2020-12-18,1,ceuta,14.6,1.4,0.0,87
CE,2020-12-19,6,ceuta,14.6,1.4,0.0,87
CE,2020-12-20,4,ceuta,15.8,2.5,0.0,87
CE,2020-12-21,4,ceuta,15.0,1.9,0.0,87
CE,2020-12-22,7,ceuta,16.4,3.3,0.0,87
CE,2020-12-23,5,ceuta,15.8,1.7,0.0,87
CE,2020-12-24,8,ceuta,16.6,1.4,0.0,87
CE,2020-12-25,12,ceuta,15.0,1.9,0.0,87
CE,2020-12-26,18,ceuta,14.2,5.3,0.0,87
CE,2020-12-27,12,ceuta,13.9,2.5,0.0,87
CE,2020-12-28,22,ceuta,13.6,5.0,10.4,87
CE,2020-12-29,22,ceuta,12.5,2.5,2.6,87
CE,2020-12-30,14,ceuta,11.4,2.2,0.0,87
CE,2020-12-31,15,ceuta,11.4,2.8,12.0,87
CE,2021-01-01,25,ceuta,10.7,5.8,3.0,87
CE,2021-01-02,24,ceuta,10.0,3.6,0.0,87
CE,2021-01-03,20,ceuta,10.1,3.1,0.0,87
CE,2021-01-04,27,ceuta,10.8,1.7,0.0,87
CE,2021-01-05,26,ceuta,11.0,2.2,1.2,87
CE,2021-01-06,18,ceuta,11.1,3.9,94.4,87
CE,2021-01-07,25,ceuta,12.5,3.1,91.4,87
CE,2021-01-08,38,ceuta,13.4,3.3,20.8,87
CE,2021-01-09,27,ceuta,9.6,2.5,28.2,87
CE,2021-01-10,25,ceuta,7.4,1.7,7.2,87
CE,2021-01-11,25,ceuta,8.8,1.4,0.0,87
CE,2021-01-12,29,ceuta,11.0,1.4,0.0,87
CE,2021-01-13,31,ceuta,11.9,1.9,0.0,87
CE,2021-01-14,23,ceuta,12.8,3.1,0.0,87
CE,2021-01-15,29,ceuta,13.8,3.6,0.0,87
CE,2021-01-16,31,ceuta,15.0,2.5,0.0,87
CE,2021-01-17,26,ceuta,13.1,2.5,0.0,87
CE,2021-01-18,49,ceuta,13.4,1.4,0.0,87
CE,2021-01-19,43,ceuta,13.4,1.7,0.0,87
CE,2021-01-20,58,ceuta,13.5,3.9,5.2,87
CE,2021-01-21,39,ceuta,16.2,3.1,1.8,87
CE,2021-01-22,31,ceuta,16.0,5.6,1.4,87
CE,2021-01-23,22,ceuta,15.6,3.3,1.0,87
CE,2021-01-24,38,ceuta,15.4,3.1,9.4,87
CE,2021-01-25,28,ceuta,16.9,3.1,3.4,87
CE,2021-01-26,35,ceuta,17.4,2.8,0.0,87
CE,2021-01-27,33,ceuta,19.1,2.5,0.0,87
CE,2021-01-28,28,ceuta,16.0,1.7,0.0,87
CE,2021-01-29,29,ceuta,16.3,3.1,0.0,87
CE,2021-01-30,27,ceuta,16.4,3.6,0.6,87
CE,2021-01-31,36,ceuta,15.6,4.4,1.4,87
CE,2021-02-01,40,ceuta,16.6,3.3,0.4,87
CE,2021-02-02,32,ceuta,16.4,1.9,0.0,87
CE,2021-02-03,29,ceuta,16.1,3.6,0.0,87
CE,2021-02-04,21,ceuta,14.4,2.2,0.0,87
CE,2021-02-05,46,ceuta,15.0,1.9,1.4,87
CE,2021-02-06,31,ceuta,13.0,2.8,20.2,87
CE,2021-02-07,23,ceuta,12.4,4.4,1.2,87
CE,2021-02-08,22,ceuta,14.8,3.9,26.2,87
CE,2021-02-09,32,ceuta,15.0,3.3,10.8,87
CE,2021-02-10,27,ceuta,16.9,5.3,0.0,87
CE,2021-02-11,19,ceuta,16.9,1.4,0.0,87
CE,2021-02-12,17,ceuta,16.5,2.8,0.2,87
CE,2021-02-13,21,ceuta,15.8,1.4,0.0,87
CE,2021-02-14,12,ceuta,15.0,3.6,0.0,87
CE,2021-02-15,23,ceuta,15.3,6.4,0.0,87
CE,2021-02-16,23,ceuta,15.0,3.9,0.0,87
CE,2021-02-17,17,ceuta,13.3,2.2,0.0,87
CE,2021-02-18,8,ceuta,14.6,1.4,0.0,87
CE,2021-02-19,13,ceuta,14.3,1.7,0.0,87
CE,2021-02-20,6,ceuta,14.9,2.8,0.0,87
CE,2021-02-21,13,ceuta,13.0,2.2,11.2,87
CE,2021-02-22,7,ceuta,13.2,2.5,2.0,87
CE,2021-02-23,21,ceuta,13.4,4.2,0.0,87
CE,2021-02-24,12,ceuta,15.4,6.1,0.0,87
CE,2021-02-25,13,ceuta,15.3,3.9,1.2,87
CE,2021-02-26,30,ceuta,14.7,6.1,0.0,87
CE,2021-02-27,11,ceuta,14.8,5.6,0.0,87
CE,2021-02-28,11,ceuta,14.0,6.7,22.8,87
