provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CR,2020-12-02,103,ciudadReal,7.7,1.4,0.0,628
CR,2020-12-03,95,ciudadReal,5.1,1.9,2.6,628
CR,2020-12-07,87,ciudadReal,8.5,6.9,2.6,628
CR,2020-12-08,117,ciudadReal,7.4,6.7,2.0,628
CR,2020-12-09,113,ciudadReal,6.2,3.9,0.1,628
CR,2020-12-10,139,ciudadReal,10.5,3.3,1.2,628
CR,2020-12-11,121,ciudadReal,13.6,4.2,0.1,628
CR,2020-12-12,140,ciudadReal,11.4,2.5,0.0,628
CR,2020-12-13,102,ciudadReal,9.8,1.1,0.0,628
CR,2020-12-14,131,ciudadReal,11.4,1.9,1.4,628
CR,2020-12-15,203,ciudadReal,9.0,1.9,0.0,628
CR,2020-12-16,149,ciudadReal,7.5,0.8,1.0,628
CR,2020-12-17,201,ciudadReal,10.1,1.4,0.4,628
CR,2020-12-18,196,ciudadReal,7.6,1.1,0.0,628
CR,2020-12-19,140,ciudadReal,7.6,1.1,8.8,628
CR,2020-12-20,126,ciudadReal,9.6,1.1,0.0,628
CR,2020-12-21,191,ciudadReal,8.4,0.8,0.1,628
CR,2020-12-22,228,ciudadReal,7.3,1.4,0.3,628
CR,2020-12-23,237,ciudadReal,9.8,1.7,0.0,628
CR,2020-12-24,187,ciudadReal,10.8,1.4,0.4,628
CR,2020-12-25,135,ciudadReal,4.3,3.1,0.0,628
CR,2020-12-26,175,ciudadReal,3.0,0.8,0.0,628
CR,2020-12-27,198,ciudadReal,3.4,2.5,1.8,628
CR,2020-12-28,278,ciudadReal,7.1,3.6,0.6,628
CR,2020-12-29,329,ciudadReal,5.4,3.1,0.0,628
CR,2020-12-30,368,ciudadReal,4.6,1.7,0.0,628
CR,2020-12-31,312,ciudadReal,2.8,2.2,2.4,628
CR,2021-01-01,278,ciudadReal,4.8,2.8,0.0,628
CR,2021-01-02,297,ciudadReal,2.8,2.5,0.0,628
CR,2021-01-03,362,ciudadReal,2.5,2.2,0.0,628
CR,2021-01-04,432,ciudadReal,1.3,1.7,0.0,628
CR,2021-01-05,605,ciudadReal,0.6,1.1,0.0,628
CR,2021-01-06,457,ciudadReal,-1.2,1.4,5.0,628
CR,2021-01-07,558,ciudadReal,0.8,3.3,7.8,628
CR,2021-01-08,550,ciudadReal,1.0,4.7,26.6,628
CR,2021-01-09,654,ciudadReal,1.4,1.4,4.0,628
CR,2021-01-10,439,ciudadReal,2.0,2.5,0.0,628
CR,2021-01-11,630,ciudadReal,0.6,1.7,0.0,628
CR,2021-01-12,777,ciudadReal,0.6,0.6,0.0,628
CR,2021-01-13,772,ciudadReal,2.2,0.3,0.0,628
CR,2021-01-14,718,ciudadReal,4.0,0.8,0.0,628
CR,2021-01-15,714,ciudadReal,3.0,0.8,0.0,628
CR,2021-01-16,600,ciudadReal,4.4,0.8,0.0,628
CR,2021-01-17,451,ciudadReal,5.4,0.6,0.0,628
CR,2021-01-18,592,ciudadReal,4.0,1.1,0.0,628
CR,2021-01-19,611,ciudadReal,4.6,1.1,0.0,628
CR,2021-01-20,661,ciudadReal,5.8,1.7,9.4,628
CR,2021-01-21,532,ciudadReal,10.2,4.2,3.6,628
CR,2021-01-22,601,ciudadReal,8.9,3.6,2.8,628
CR,2021-01-23,283,ciudadReal,8.4,3.3,4.4,628
CR,2021-01-24,211,ciudadReal,10.3,2.8,0.0,628
CR,2021-01-25,360,ciudadReal,11.2,4.2,2.0,628
CR,2021-01-26,397,ciudadReal,13.2,2.2,0.6,628
CR,2021-01-27,382,ciudadReal,14.8,1.4,0.2,628
CR,2021-01-28,279,ciudadReal,13.0,0.8,0.0,628
CR,2021-01-29,308,ciudadReal,12.8,1.7,0.2,628
CR,2021-01-30,122,ciudadReal,11.0,4.2,0.6,628
CR,2021-01-31,127,ciudadReal,9.7,4.2,0.6,628
CR,2021-02-01,179,ciudadReal,10.6,3.3,0.0,628
CR,2021-02-02,172,ciudadReal,11.0,1.9,0.0,628
CR,2021-02-03,189,ciudadReal,12.9,1.9,0.0,628
CR,2021-02-04,161,ciudadReal,11.8,1.7,0.0,628
CR,2021-02-05,90,ciudadReal,11.6,1.7,3.0,628
CR,2021-02-06,85,ciudadReal,9.2,2.2,1.0,628
CR,2021-02-07,75,ciudadReal,9.0,2.5,4.4,628
CR,2021-02-08,102,ciudadReal,9.2,3.1,2.2,628
CR,2021-02-09,68,ciudadReal,9.7,3.6,7.6,628
CR,2021-02-10,70,ciudadReal,11.5,2.8,0.8,628
CR,2021-02-11,49,ciudadReal,12.8,1.4,0.6,628
CR,2021-02-12,55,ciudadReal,11.4,2.8,0.0,628
CR,2021-02-13,25,ciudadReal,10.1,1.9,0.0,628
CR,2021-02-14,26,ciudadReal,9.4,1.1,0.0,628
CR,2021-02-15,35,ciudadReal,9.8,1.9,0.0,628
CR,2021-02-16,31,ciudadReal,10.2,1.1,0.0,628
CR,2021-02-17,34,ciudadReal,11.6,0.8,0.0,628
CR,2021-02-18,31,ciudadReal,10.8,1.7,0.0,628
CR,2021-02-19,26,ciudadReal,11.7,1.4,0.0,628
CR,2021-02-20,16,ciudadReal,11.7,1.1,0.0,628
CR,2021-02-21,15,ciudadReal,9.4,1.9,6.4,628
CR,2021-02-22,17,ciudadReal,8.3,2.5,0.0,628
CR,2021-02-23,18,ciudadReal,7.8,2.2,0.0,628
CR,2021-02-24,22,ciudadReal,11.0,1.7,0.0,628
CR,2021-02-25,25,ciudadReal,9.8,1.7,0.0,628
CR,2021-02-26,23,ciudadReal,12.2,3.1,0.0,628
CR,2021-02-27,12,ciudadReal,10.6,3.3,0.0,628
CR,2021-02-28,12,ciudadReal,9.2,2.2,1.6,628
