provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CO,2020-12-02,104,cordoba,10.6,0.8,0.0,90
CO,2020-12-03,95,cordoba,9.2,1.7,0.0,90
CO,2020-12-04,93,cordoba,9.2,5.0,5.8,90
CO,2020-12-05,77,cordoba,7.3,3.3,0.0,90
CO,2020-12-06,54,cordoba,6.3,3.1,0.4,90
CO,2020-12-07,68,cordoba,11.0,3.3,2.6,90
CO,2020-12-08,78,cordoba,11.8,5.3,3.2,90
CO,2020-12-09,93,cordoba,7.4,1.9,0.6,90
CO,2020-12-10,81,cordoba,12.4,3.6,2.1,90
CO,2020-12-11,134,cordoba,17.0,5.8,0.2,90
CO,2020-12-12,100,cordoba,14.8,3.3,0.0,90
CO,2020-12-13,48,cordoba,12.2,1.7,0.0,90
CO,2020-12-14,114,cordoba,11.8,1.4,3.5,90
CO,2020-12-15,92,cordoba,11.5,1.7,0.1,90
CO,2020-12-16,61,cordoba,9.0,2.8,3.6,90
CO,2020-12-17,83,cordoba,12.2,1.1,0.1,90
CO,2020-12-18,76,cordoba,10.9,1.7,0.0,90
CO,2020-12-19,48,cordoba,9.8,2.2,8.5,90
CO,2020-12-20,47,cordoba,12.2,1.1,0.0,90
CO,2020-12-21,103,cordoba,11.1,2.2,0.0,90
CO,2020-12-22,97,cordoba,13.6,1.9,0.0,90
CO,2020-12-23,100,cordoba,10.5,0.8,0.0,90
CO,2020-12-24,89,cordoba,13.2,0.6,0.0,90
CO,2020-12-25,63,cordoba,9.8,5.0,0.0,90
CO,2020-12-26,57,cordoba,6.2,3.6,0.0,90
CO,2020-12-27,63,cordoba,5.4,1.7,0.0,90
CO,2020-12-28,122,cordoba,8.4,3.3,1.9,90
CO,2020-12-29,112,cordoba,6.8,2.5,0.0,90
CO,2020-12-30,116,cordoba,5.6,0.3,0.0,90
CO,2020-12-31,160,cordoba,4.3,0.8,3.7,90
CO,2021-01-01,146,cordoba,7.0,4.2,0.0,90
CO,2021-01-02,136,cordoba,5.3,2.2,0.0,90
CO,2021-01-03,170,cordoba,3.5,1.7,0.0,90
CO,2021-01-04,244,cordoba,3.4,0.8,0.2,90
CO,2021-01-05,280,cordoba,6.6,3.3,0.0,90
CO,2021-01-06,226,cordoba,6.8,3.1,4.7,90
CO,2021-01-07,289,cordoba,6.8,3.9,12.6,90
CO,2021-01-08,418,cordoba,7.2,4.2,21.1,90
CO,2021-01-09,348,cordoba,6.0,4.2,1.1,90
CO,2021-01-10,314,cordoba,6.0,2.5,0.0,90
CO,2021-01-11,469,cordoba,6.1,0.6,0.0,90
CO,2021-01-12,527,cordoba,5.0,2.2,0.0,90
CO,2021-01-13,566,cordoba,5.8,1.1,0.0,90
CO,2021-01-14,613,cordoba,5.5,1.4,0.0,90
CO,2021-01-15,638,cordoba,6.8,1.1,0.0,90
CO,2021-01-16,442,cordoba,7.7,2.5,0.0,90
CO,2021-01-17,442,cordoba,8.5,1.1,0.0,90
CO,2021-01-18,622,cordoba,8.6,1.9,0.0,90
CO,2021-01-19,707,cordoba,7.8,1.4,0.0,90
CO,2021-01-20,621,cordoba,9.1,3.9,11.0,90
CO,2021-01-21,643,cordoba,12.9,3.6,2.0,90
CO,2021-01-22,714,cordoba,11.6,5.6,0.5,90
CO,2021-01-23,449,cordoba,8.7,3.3,3.0,90
CO,2021-01-24,391,cordoba,13.4,3.3,0.8,90
CO,2021-01-25,494,cordoba,13.2,2.8,0.2,90
CO,2021-01-26,526,cordoba,14.6,2.8,0.3,90
CO,2021-01-27,570,cordoba,14.4,1.1,0.0,90
CO,2021-01-28,482,cordoba,14.1,3.1,0.0,90
CO,2021-01-29,383,cordoba,9.7,2.5,0.5,90
CO,2021-01-30,363,cordoba,14.1,4.7,0.5,90
CO,2021-01-31,289,cordoba,12.4,3.9,1.1,90
CO,2021-02-01,305,cordoba,14.8,3.1,0.0,90
CO,2021-02-02,241,cordoba,13.8,0.3,0.0,90
CO,2021-02-03,301,cordoba,13.4,1.7,0.0,90
CO,2021-02-04,243,cordoba,14.0,2.5,0.0,90
CO,2021-02-05,207,cordoba,11.6,1.9,3.5,90
CO,2021-02-06,151,cordoba,12.6,5.3,0.2,90
CO,2021-02-07,94,cordoba,12.6,3.6,10.9,90
CO,2021-02-08,141,cordoba,12.6,5.8,0.7,90
CO,2021-02-09,133,cordoba,12.6,6.9,12.7,90
CO,2021-02-10,143,cordoba,14.4,4.7,5.3,90
CO,2021-02-11,104,cordoba,14.6,1.4,0.4,90
CO,2021-02-12,119,cordoba,13.4,3.6,1.2,90
CO,2021-02-13,93,cordoba,12.6,0.8,0.0,90
CO,2021-02-14,83,cordoba,13.6,3.9,0.0,90
CO,2021-02-15,71,cordoba,13.8,3.1,0.0,90
CO,2021-02-16,98,cordoba,12.2,1.1,0.0,90
CO,2021-02-17,84,cordoba,14.0,1.9,0.0,90
CO,2021-02-18,87,cordoba,10.7,2.8,0.0,90
CO,2021-02-19,96,cordoba,13.6,2.8,0.0,90
CO,2021-02-20,74,cordoba,13.2,2.8,0.0,90
CO,2021-02-21,27,cordoba,10.5,3.3,7.5,90
CO,2021-02-22,55,cordoba,10.1,3.1,0.0,90
CO,2021-02-23,84,cordoba,11.2,2.8,0.0,90
CO,2021-02-24,91,cordoba,12.2,1.4,0.0,90
CO,2021-02-25,51,cordoba,12.0,1.1,0.0,90
CO,2021-02-26,52,cordoba,14.7,2.2,0.0,90
CO,2021-02-27,71,cordoba,11.5,1.4,0.0,90
CO,2021-02-28,46,cordoba,13.0,1.7,0.8,90
