provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
C,2020-12-02,134,coruña,12.0,4.2,0.0,58
C,2020-12-03,150,coruña,10.6,6.1,14.6,58
C,2020-12-04,129,coruña,7.9,5.8,9.8,58
C,2020-12-05,138,coruña,9.6,6.1,7.6,58
C,2020-12-06,116,coruña,11.0,4.4,7.8,58
C,2020-12-07,140,coruña,10.6,8.6,8.2,58
C,2020-12-08,160,coruña,10.4,5.8,3.2,58
C,2020-12-09,154,coruña,11.0,3.6,10.4,58
C,2020-12-10,137,coruña,14.7,4.4,20.8,58
C,2020-12-11,151,coruña,14.0,6.1,3.8,58
C,2020-12-12,160,coruña,13.5,3.3,0.2,58
C,2020-12-13,168,coruña,15.7,5.0,1.2,58
C,2020-12-14,177,coruña,11.6,3.6,8.8,58
C,2020-12-15,205,coruña,11.1,5.3,39.8,58
C,2020-12-16,175,coruña,12.4,2.8,2.6,58
C,2020-12-17,161,coruña,11.6,3.9,0.0,58
C,2020-12-18,153,coruña,14.0,6.1,9.4,58
C,2020-12-19,147,coruña,13.4,2.8,1.2,58
C,2020-12-20,119,coruña,13.8,3.3,6.8,58
C,2020-12-21,146,coruña,17.2,4.7,0.0,58
C,2020-12-22,158,coruña,15.4,5.8,3.6,58
C,2020-12-23,169,coruña,12.0,4.7,4.0,58
C,2020-12-24,167,coruña,9.2,1.7,5.0,58
C,2020-12-25,170,coruña,8.8,5.0,0.0,58
C,2020-12-26,185,coruña,8.1,2.5,0.0,58
C,2020-12-27,172,coruña,10.6,9.4,7.8,58
C,2020-12-28,250,coruña,9.8,9.7,8.8,58
C,2020-12-29,199,coruña,8.5,7.8,3.4,58
C,2020-12-30,232,coruña,10.0,4.7,17.4,58
C,2020-12-31,246,coruña,10.0,5.3,12.6,58
C,2021-01-01,245,coruña,7.9,2.8,7.8,58
C,2021-01-02,269,coruña,8.2,2.2,13.0,58
C,2021-01-03,311,coruña,8.3,4.7,6.8,58
C,2021-01-04,392,coruña,5.8,2.5,4.2,58
C,2021-01-05,379,coruña,6.5,1.9,3.6,58
C,2021-01-06,374,coruña,6.0,3.3,0.0,58
C,2021-01-07,402,coruña,6.2,1.7,0.2,58
C,2021-01-08,437,coruña,6.2,3.6,1.6,58
C,2021-01-09,487,coruña,6.5,5.8,2.8,58
C,2021-01-10,511,coruña,8.6,8.9,0.0,58
C,2021-01-11,600,coruña,8.8,4.4,0.0,58
C,2021-01-12,597,coruña,7.3,1.1,0.0,58
C,2021-01-13,632,coruña,7.8,1.7,0.0,58
C,2021-01-14,678,coruña,10.2,1.7,1.6,58
C,2021-01-15,689,coruña,9.4,1.7,0.0,58
C,2021-01-16,734,coruña,8.0,1.4,0.0,58
C,2021-01-17,624,coruña,12.2,1.9,1.0,58
C,2021-01-18,867,coruña,12.1,1.7,0.0,58
C,2021-01-19,789,coruña,10.6,5.0,1.4,58
C,2021-01-20,790,coruña,11.8,5.8,13.4,58
C,2021-01-21,862,coruña,13.2,7.5,14.2,58
C,2021-01-22,840,coruña,11.0,5.8,5.6,58
C,2021-01-23,768,coruña,12.2,5.3,16.0,58
C,2021-01-24,608,coruña,11.6,4.4,20.8,58
C,2021-01-25,722,coruña,12.2,1.4,4.8,58
C,2021-01-26,661,coruña,14.8,1.4,1.2,58
C,2021-01-27,634,coruña,15.2,3.1,0.0,58
C,2021-01-28,595,coruña,15.6,4.4,0.4,58
C,2021-01-29,581,coruña,15.6,5.6,5.0,58
C,2021-01-30,525,coruña,12.2,8.1,17.4,58
C,2021-01-31,401,coruña,14.4,7.2,0.4,58
C,2021-02-01,512,coruña,14.7,5.3,1.8,58
C,2021-02-02,430,coruña,14.7,3.9,12.6,58
C,2021-02-03,437,coruña,13.1,3.9,0.0,58
C,2021-02-04,359,coruña,12.3,2.2,10.8,58
C,2021-02-05,315,coruña,10.3,5.0,1.4,58
C,2021-02-06,306,coruña,9.4,5.8,0.4,58
C,2021-02-07,222,coruña,9.2,4.7,20.4,58
C,2021-02-08,308,coruña,11.1,4.2,10.0,58
C,2021-02-09,262,coruña,10.3,6.9,11.8,58
C,2021-02-10,284,coruña,11.2,3.9,8.8,58
C,2021-02-11,227,coruña,13.4,2.2,40.0,58
C,2021-02-12,188,coruña,14.2,3.3,0.0,58
C,2021-02-13,195,coruña,14.4,3.3,0.4,58
C,2021-02-14,155,coruña,16.3,5.8,0.0,58
C,2021-02-15,172,coruña,18.6,5.6,12.2,58
C,2021-02-16,157,coruña,13.8,5.0,0.4,58
C,2021-02-17,156,coruña,13.3,4.2,11.0,58
C,2021-02-18,143,coruña,11.8,3.3,0.2,58
C,2021-02-19,122,coruña,13.4,6.4,8.2,58
C,2021-02-20,132,coruña,13.4,5.0,10.6,58
C,2021-02-21,113,coruña,10.6,2.8,3.4,58
C,2021-02-22,132,coruña,11.4,3.1,0.0,58
C,2021-02-23,105,coruña,14.6,4.7,0.0,58
C,2021-02-24,109,coruña,15.0,5.3,11.6,58
C,2021-02-25,107,coruña,10.6,3.1,5.2,58
C,2021-02-26,104,coruña,13.6,3.3,0.0,58
C,2021-02-27,81,coruña,13.0,4.7,0.0,58
C,2021-02-28,52,coruña,11.2,4.2,0.0,58
