provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
CU,2020-12-02,27,cuenca,4.8,1.9,0.0,948
CU,2020-12-03,42,cuenca,3.6,1.4,3.4,948
CU,2020-12-04,52,cuenca,3.6,1.9,1.2,948
CU,2020-12-05,37,cuenca,2.4,1.9,0.0,948
CU,2020-12-06,15,cuenca,2.8,1.4,0.8,948
CU,2020-12-07,22,cuenca,6.0,3.9,9.4,948
CU,2020-12-08,25,cuenca,4.4,2.5,0.0,948
CU,2020-12-09,49,cuenca,4.0,1.7,5.4,948
CU,2020-12-10,37,cuenca,6.3,1.9,5.6,948
CU,2020-12-11,49,cuenca,11.2,3.1,5.2,948
CU,2020-12-12,23,cuenca,8.1,1.9,0.0,948
CU,2020-12-13,35,cuenca,8.0,0.3,0.0,948
CU,2020-12-14,50,cuenca,9.0,1.1,1.2,948
CU,2020-12-15,50,cuenca,6.8,1.7,0.4,948
CU,2020-12-16,51,cuenca,6.2,0.8,0.0,948
CU,2020-12-17,41,cuenca,8.2,1.4,0.0,948
CU,2020-12-18,43,cuenca,7.4,0.3,0.0,948
CU,2020-12-19,30,cuenca,6.4,1.1,7.6,948
CU,2020-12-20,27,cuenca,7.4,1.1,0.0,948
CU,2020-12-21,47,cuenca,6.4,1.4,0.0,948
CU,2020-12-22,53,cuenca,10.4,1.1,0.0,948
CU,2020-12-23,51,cuenca,9.6,0.8,0.0,948
CU,2020-12-24,37,cuenca,7.0,1.4,1.0,948
CU,2020-12-25,46,cuenca,2.4,2.5,0.0,948
CU,2020-12-26,34,cuenca,3.0,1.4,0.0,948
CU,2020-12-27,56,cuenca,2.6,1.4,4.4,948
CU,2020-12-28,83,cuenca,4.7,2.5,0.0,948
CU,2020-12-29,90,cuenca,2.0,2.2,2.7,948
CU,2020-12-30,94,cuenca,1.4,1.4,2.8,948
CU,2020-12-31,104,cuenca,1.2,1.9,3.2,948
CU,2021-01-01,114,cuenca,1.8,1.4,1.0,948
CU,2021-01-02,119,cuenca,-0.6,1.9,1.8,948
CU,2021-01-03,131,cuenca,0.6,1.7,0.6,948
CU,2021-01-04,156,cuenca,0.5,1.7,0.0,948
CU,2021-01-05,197,cuenca,-0.3,0.8,0.0,948
CU,2021-01-06,176,cuenca,0.0,0.8,0.0,948
CU,2021-01-07,209,cuenca,0.2,0.8,7.2,948
CU,2021-01-08,161,cuenca,0.8,1.4,3.1,948
CU,2021-01-09,221,cuenca,1.2,3.6,0.8,948
CU,2021-01-10,188,cuenca,-0.1,1.1,0.0,948
CU,2021-01-11,272,cuenca,-1.6,1.1,0.0,948
CU,2021-01-12,313,cuenca,-2.2,1.1,0.0,948
CU,2021-01-13,305,cuenca,2.8,1.7,0.0,948
CU,2021-01-14,342,cuenca,3.6,1.1,0.0,948
CU,2021-01-15,319,cuenca,3.8,1.7,0.0,948
CU,2021-01-16,282,cuenca,5.8,1.4,0.0,948
CU,2021-01-17,200,cuenca,6.4,0.8,0.0,948
CU,2021-01-18,305,cuenca,4.8,0.8,0.0,948
CU,2021-01-19,285,cuenca,4.6,0.8,0.0,948
CU,2021-01-20,318,cuenca,2.4,1.7,4.6,948
CU,2021-01-21,311,cuenca,6.7,1.9,12.6,948
CU,2021-01-22,246,cuenca,6.4,4.7,1.6,948
CU,2021-01-23,201,cuenca,6.0,3.3,8.8,948
CU,2021-01-24,156,cuenca,8.1,2.8,0.6,948
CU,2021-01-25,201,cuenca,8.0,3.1,7.0,948
CU,2021-01-26,222,cuenca,9.2,1.1,0.8,948
CU,2021-01-27,227,cuenca,12.2,1.4,0.0,948
CU,2021-01-28,135,cuenca,10.3,1.1,0.0,948
CU,2021-01-29,174,cuenca,9.6,1.1,0.4,948
CU,2021-01-30,116,cuenca,8.6,3.9,2.0,948
CU,2021-01-31,84,cuenca,7.8,1.7,1.2,948
CU,2021-02-01,100,cuenca,11.0,2.2,0.1,948
CU,2021-02-02,119,cuenca,9.2,1.1,0.0,948
CU,2021-02-03,84,cuenca,10.1,1.4,0.0,948
CU,2021-02-04,58,cuenca,11.4,1.7,0.0,948
CU,2021-02-05,61,cuenca,10.8,5.0,4.8,948
CU,2021-02-06,57,cuenca,7.3,2.2,6.6,948
CU,2021-02-07,28,cuenca,5.4,2.2,12.0,948
CU,2021-02-08,46,cuenca,6.4,3.1,5.0,948
CU,2021-02-09,31,cuenca,5.8,1.7,14.8,948
CU,2021-02-10,32,cuenca,7.7,2.5,0.0,948
CU,2021-02-11,30,cuenca,7.3,0.8,0.4,948
CU,2021-02-12,21,cuenca,9.4,2.5,2.8,948
CU,2021-02-13,19,cuenca,8.4,1.4,0.0,948
CU,2021-02-14,12,cuenca,8.2,2.2,0.0,948
CU,2021-02-15,18,cuenca,8.6,2.2,0.0,948
CU,2021-02-16,26,cuenca,9.0,0.8,0.0,948
CU,2021-02-17,10,cuenca,10.2,0.8,0.0,948
CU,2021-02-18,7,cuenca,9.6,1.1,0.0,948
CU,2021-02-19,15,cuenca,9.6,1.1,0.0,948
CU,2021-02-20,12,cuenca,12.7,3.9,0.0,948
CU,2021-02-21,9,cuenca,7.7,2.2,8.2,948
CU,2021-02-22,12,cuenca,5.6,2.2,0.2,948
CU,2021-02-23,17,cuenca,8.0,1.4,0.0,948
CU,2021-02-24,4,cuenca,9.3,3.3,0.0,948
CU,2021-02-25,9,cuenca,9.2,1.7,0.0,948
CU,2021-02-26,5,cuenca,10.3,1.1,0.0,948
CU,2021-02-27,11,cuenca,10.6,0.8,0.0,948
CU,2021-02-28,1,cuenca,7.4,4.2,0.0,948
