provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GI,2020-12-02,179,girona,7.8,1.4,0.0,143
GI,2020-12-03,176,girona,5.7,3.3,0.0,143
GI,2020-12-04,204,girona,6.8,2.2,0.0,143
GI,2020-12-05,119,girona,5.4,0.8,0.0,143
GI,2020-12-06,107,girona,4.6,2.2,0.0,143
GI,2020-12-07,206,girona,4.5,1.4,0.5,143
GI,2020-12-08,169,girona,7.6,1.4,0.0,143
GI,2020-12-09,265,girona,5.6,1.7,0.8,143
GI,2020-12-10,236,girona,6.6,1.4,0.4,143
GI,2020-12-11,248,girona,8.8,1.1,0.0,143
GI,2020-12-12,225,girona,9.6,2.2,0.0,143
GI,2020-12-13,173,girona,9.0,1.9,0.0,143
GI,2020-12-14,338,girona,9.4,2.8,0.0,143
GI,2020-12-15,332,girona,12.5,3.1,0.0,143
GI,2020-12-16,355,girona,8.8,4.7,0.0,143
GI,2020-12-17,330,girona,9.4,2.5,1.1,143
GI,2020-12-18,297,girona,14.0,2.5,2.6,143
GI,2020-12-19,217,girona,12.2,6.1,0.1,143
GI,2020-12-20,168,girona,11.0,1.9,0.3,143
GI,2020-12-21,318,girona,9.7,0.8,0.0,143
GI,2020-12-22,303,girona,10.0,1.7,0.0,143
GI,2020-12-23,297,girona,11.7,4.2,0.0,143
GI,2020-12-24,326,girona,9.4,2.8,0.0,143
GI,2020-12-25,177,girona,6.4,3.3,0.0,143
GI,2020-12-26,232,girona,4.8,3.1,0.0,143
GI,2020-12-27,204,girona,2.8,3.3,0.0,143
GI,2020-12-28,425,girona,8.4,4.4,0.0,143
GI,2020-12-29,377,girona,7.2,2.8,0.0,143
GI,2020-12-30,335,girona,6.1,1.7,0.0,143
GI,2020-12-31,341,girona,5.3,2.8,0.0,143
GI,2021-01-01,181,girona,5.0,2.8,0.0,143
GI,2021-01-02,235,girona,2.6,1.7,0.0,143
GI,2021-01-03,224,girona,2.7,1.9,0.0,143
GI,2021-01-04,446,girona,2.6,1.1,0.0,143
GI,2021-01-05,397,girona,3.8,1.9,0.0,143
GI,2021-01-06,230,girona,3.0,1.1,0.0,143
GI,2021-01-07,362,girona,3.7,2.8,0.0,143
GI,2021-01-08,353,girona,2.3,4.7,2.9,143
GI,2021-01-09,291,girona,2.8,6.9,16.8,143
GI,2021-01-10,243,girona,4.9,6.7,0.0,143
GI,2021-01-11,451,girona,4.0,2.2,0.0,143
GI,2021-01-12,356,girona,3.2,1.1,0.0,143
GI,2021-01-13,342,girona,6.8,0.8,0.0,143
GI,2021-01-14,306,girona,5.6,1.7,0.8,143
GI,2021-01-15,273,girona,5.9,1.4,0.0,143
GI,2021-01-16,211,girona,6.0,1.1,0.0,143
GI,2021-01-17,194,girona,7.9,1.9,0.0,143
GI,2021-01-18,405,girona,6.8,1.7,0.0,143
GI,2021-01-19,326,girona,6.4,2.5,0.0,143
GI,2021-01-20,311,girona,8.7,6.4,0.0,143
GI,2021-01-21,279,girona,11.2,4.2,0.0,143
GI,2021-01-22,286,girona,8.2,1.7,1.6,143
GI,2021-01-23,197,girona,6.9,4.2,0.0,143
GI,2021-01-24,177,girona,8.7,4.2,0.0,143
GI,2021-01-25,356,girona,7.0,3.6,0.0,143
GI,2021-01-26,324,girona,7.0,2.2,0.0,143
GI,2021-01-27,290,girona,8.4,0.6,0.0,143
GI,2021-01-28,230,girona,11.3,0.6,0.0,143
GI,2021-01-29,258,girona,12.3,1.7,0.0,143
GI,2021-01-30,179,girona,11.0,2.5,5.0,143
GI,2021-01-31,158,girona,11.0,1.9,0.0,143
GI,2021-02-01,286,girona,11.6,1.1,0.0,143
GI,2021-02-02,283,girona,11.4,1.4,0.0,143
GI,2021-02-03,233,girona,14.2,0.8,0.0,143
GI,2021-02-04,205,girona,11.6,0.8,0.0,143
GI,2021-02-05,220,girona,12.7,3.1,0.0,143
GI,2021-02-06,157,girona,13.0,4.4,9.7,143
GI,2021-02-07,123,girona,7.2,2.2,5.1,143
GI,2021-02-08,249,girona,6.8,1.4,2.2,143
GI,2021-02-09,179,girona,7.8,3.9,0.0,143
GI,2021-02-10,189,girona,10.4,2.8,0.0,143
GI,2021-02-11,173,girona,9.9,1.7,0.0,143
GI,2021-02-12,206,girona,8.8,2.2,2.0,143
GI,2021-02-13,121,girona,10.4,2.2,1.5,143
GI,2021-02-16,167,girona,12.2,4.7,0.0,143
GI,2021-02-17,157,girona,10.7,2.5,0.0,143
GI,2021-02-18,150,girona,10.8,5.0,0.0,143
GI,2021-02-19,170,girona,11.0,2.8,0.0,143
GI,2021-02-20,122,girona,10.4,5.6,0.0,143
GI,2021-02-21,85,girona,10.6,3.9,2.5,143
GI,2021-02-22,192,girona,13.0,3.3,0.7,143
GI,2021-02-23,139,girona,15.2,1.9,0.0,143
GI,2021-02-24,135,girona,13.1,3.9,0.0,143
GI,2021-02-25,115,girona,9.6,3.6,0.0,143
GI,2021-02-26,135,girona,12.2,1.4,0.0,143
GI,2021-02-27,78,girona,10.9,1.4,0.0,143
GI,2021-02-28,77,girona,9.9,2.8,0.0,143
