provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GR,2020-12-02,95,granada,7.6,3.3,0.0,785
GR,2020-12-03,98,granada,5.1,2.5,0.0,785
GR,2020-12-04,95,granada,7.3,7.2,6.2,785
GR,2020-12-05,53,granada,3.4,4.2,0.0,785
GR,2020-12-06,54,granada,4.6,5.3,0.4,785
GR,2020-12-07,42,granada,8.6,8.6,0.0,785
GR,2020-12-08,53,granada,8.2,7.8,1.0,785
GR,2020-12-09,99,granada,6.4,4.7,0.0,785
GR,2020-12-10,132,granada,8.9,5.8,1.0,785
GR,2020-12-11,123,granada,14.6,9.2,0.0,785
GR,2020-12-12,86,granada,12.8,6.1,0.0,785
GR,2020-12-13,85,granada,10.2,1.7,0.0,785
GR,2020-12-14,129,granada,10.7,3.1,0.0,785
GR,2020-12-15,120,granada,7.7,3.1,0.0,785
GR,2020-12-16,108,granada,6.2,1.9,0.0,785
GR,2020-12-17,95,granada,6.6,1.9,0.0,785
GR,2020-12-18,170,granada,6.8,1.7,0.0,785
GR,2020-12-19,55,granada,5.6,1.1,1.2,785
GR,2020-12-20,55,granada,8.2,1.9,0.0,785
GR,2020-12-21,101,granada,7.2,1.4,0.0,785
GR,2020-12-22,121,granada,9.4,1.7,0.0,785
GR,2020-12-23,149,granada,8.4,3.3,0.0,785
GR,2020-12-24,93,granada,6.8,1.7,0.0,785
GR,2020-12-25,73,granada,4.0,3.6,0.0,785
GR,2020-12-26,110,granada,-0.4,2.2,0.0,785
GR,2020-12-27,93,granada,0.6,2.8,0.0,785
GR,2020-12-28,162,granada,7.0,6.4,1.8,785
GR,2020-12-29,157,granada,5.0,4.4,0.2,785
GR,2020-12-30,185,granada,2.6,2.2,0.0,785
GR,2020-12-31,161,granada,0.2,3.3,1.0,785
GR,2021-01-01,192,granada,4.1,6.4,0.0,785
GR,2021-01-02,215,granada,2.6,4.7,0.0,785
GR,2021-01-03,270,granada,2.3,2.8,0.0,785
GR,2021-01-04,320,granada,1.8,2.5,0.0,785
GR,2021-01-05,378,granada,2.3,1.9,0.0,785
GR,2021-01-06,312,granada,4.5,2.8,9.4,785
GR,2021-01-07,357,granada,3.0,1.7,7.6,785
GR,2021-01-08,485,granada,3.0,1.9,3.0,785
GR,2021-01-09,371,granada,4.3,2.8,0.2,785
GR,2021-01-10,383,granada,3.3,1.4,0.0,785
GR,2021-01-11,602,granada,3.1,1.9,0.0,785
GR,2021-01-12,555,granada,2.4,0.8,0.0,785
GR,2021-01-13,606,granada,2.2,1.4,0.0,785
GR,2021-01-14,606,granada,3.4,3.1,0.0,785
GR,2021-01-15,678,granada,3.6,4.2,0.0,785
GR,2021-01-16,438,granada,4.2,2.5,0.0,785
GR,2021-01-17,412,granada,4.7,1.1,0.0,785
GR,2021-01-18,699,granada,6.0,1.9,0.0,785
GR,2021-01-19,803,granada,6.2,1.7,0.0,785
GR,2021-01-21,605,granada,11.0,5.3,0.0,785
GR,2021-01-26,672,granada,13.8,3.9,0.0,785
GR,2021-01-27,1046,granada,12.2,4.2,0.0,785
GR,2021-01-28,607,granada,13.4,1.9,0.0,785
GR,2021-01-29,589,granada,11.8,2.8,0.0,785
GR,2021-01-31,238,granada,10.2,6.9,0.0,785
GR,2021-02-03,352,granada,10.0,1.1,0.0,785
GR,2021-02-04,264,granada,11.3,1.7,0.0,785
GR,2021-02-06,187,granada,7.8,3.6,0.0,785
GR,2021-02-09,261,granada,11.0,6.7,0.0,785
GR,2021-02-10,256,granada,12.6,9.2,1.2,785
GR,2021-02-11,181,granada,12.6,2.8,0.0,785
GR,2021-02-12,208,granada,12.0,5.0,0.0,785
GR,2021-02-13,121,granada,11.2,3.3,0.0,785
GR,2021-02-24,136,granada,11.8,3.3,0.0,785
GR,2021-02-25,121,granada,10.8,3.9,0.0,785
GR,2021-02-26,161,granada,10.2,3.6,0.0,785
GR,2021-02-27,100,granada,8.8,2.8,0.0,785
GR,2021-02-28,85,granada,7.6,3.3,0.2,785
