provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GU,2020-12-02,35,guadalajara,5.4,2.8,0.0,721
GU,2020-12-03,39,guadalajara,2.8,3.1,1.6,721
GU,2020-12-04,39,guadalajara,5.6,2.8,0.0,721
GU,2020-12-05,29,guadalajara,3.4,3.3,0.0,721
GU,2020-12-06,21,guadalajara,4.4,3.1,0.0,721
GU,2020-12-07,39,guadalajara,8.0,4.7,2.2,721
GU,2020-12-08,38,guadalajara,6.0,1.9,0.2,721
GU,2020-12-09,78,guadalajara,5.0,1.7,0.6,721
GU,2020-12-10,44,guadalajara,9.2,3.9,2.6,721
GU,2020-12-11,75,guadalajara,13.9,4.7,0.4,721
GU,2020-12-12,43,guadalajara,9.8,2.5,0.0,721
GU,2020-12-13,43,guadalajara,8.4,1.7,0.0,721
GU,2020-12-14,58,guadalajara,10.2,1.9,1.0,721
GU,2020-12-15,78,guadalajara,8.3,3.9,0.0,721
GU,2020-12-16,90,guadalajara,8.2,3.6,0.2,721
GU,2020-12-17,50,guadalajara,9.5,1.1,0.0,721
GU,2020-12-18,70,guadalajara,6.6,0.8,0.0,721
GU,2020-12-19,44,guadalajara,7.5,1.9,2.6,721
GU,2020-12-20,46,guadalajara,7.0,1.1,0.0,721
GU,2020-12-21,58,guadalajara,6.6,1.1,0.0,721
GU,2020-12-22,103,guadalajara,8.8,1.1,0.0,721
GU,2020-12-23,80,guadalajara,6.0,1.4,0.0,721
GU,2020-12-24,68,guadalajara,6.8,2.2,0.0,721
GU,2020-12-25,54,guadalajara,3.0,4.2,0.0,721
GU,2020-12-26,57,guadalajara,2.6,1.1,0.0,721
GU,2020-12-27,66,guadalajara,1.0,2.8,0.0,721
GU,2020-12-28,101,guadalajara,6.2,3.1,0.0,721
GU,2020-12-29,99,guadalajara,4.4,1.9,0.7,721
GU,2020-12-30,89,guadalajara,3.5,1.4,0.0,721
GU,2020-12-31,111,guadalajara,2.6,2.8,6.8,721
GU,2021-01-01,90,guadalajara,2.4,1.9,0.6,721
GU,2021-01-02,103,guadalajara,1.6,3.1,0.0,721
GU,2021-01-03,110,guadalajara,2.5,2.8,0.0,721
GU,2021-01-04,131,guadalajara,1.8,1.4,0.0,721
GU,2021-01-05,149,guadalajara,1.0,1.1,0.0,721
GU,2021-01-06,168,guadalajara,0.5,1.4,0.0,721
GU,2021-01-07,174,guadalajara,-0.3,1.1,1.2,721
GU,2021-01-08,198,guadalajara,-0.6,1.9,25.4,721
GU,2021-01-09,195,guadalajara,-0.2,2.2,7.8,721
GU,2021-01-10,187,guadalajara,1.0,3.3,0.0,721
GU,2021-01-11,192,guadalajara,-1.2,1.9,0.0,721
GU,2021-01-12,227,guadalajara,-3.4,0.6,0.0,721
GU,2021-01-13,271,guadalajara,-1.2,0.6,0.0,721
GU,2021-01-14,238,guadalajara,0.8,0.8,0.0,721
GU,2021-01-15,358,guadalajara,2.7,1.1,0.0,721
GU,2021-01-16,206,guadalajara,3.0,1.1,0.0,721
GU,2021-01-17,166,guadalajara,2.2,1.1,0.0,721
GU,2021-01-18,212,guadalajara,4.2,0.6,0.0,721
GU,2021-01-19,241,guadalajara,3.3,1.4,0.0,721
GU,2021-01-20,269,guadalajara,3.0,5.0,4.0,721
GU,2021-01-21,284,guadalajara,8.0,5.0,4.0,721
GU,2021-01-22,266,guadalajara,7.7,4.4,0.4,721
GU,2021-01-23,224,guadalajara,6.6,5.6,5.0,721
GU,2021-01-24,180,guadalajara,9.8,3.1,0.0,721
GU,2021-01-25,199,guadalajara,9.6,4.2,2.8,721
GU,2021-01-26,225,guadalajara,9.5,1.1,0.0,721
GU,2021-01-27,224,guadalajara,13.9,1.1,0.0,721
GU,2021-01-28,185,guadalajara,11.0,1.9,0.0,721
GU,2021-01-29,133,guadalajara,11.0,1.4,8.8,721
GU,2021-01-30,127,guadalajara,10.3,4.4,2.2,721
GU,2021-01-31,121,guadalajara,10.0,5.6,0.0,721
GU,2021-02-01,137,guadalajara,12.4,4.4,0.0,721
GU,2021-02-02,187,guadalajara,9.9,2.8,0.0,721
GU,2021-02-03,169,guadalajara,10.2,2.8,0.6,721
GU,2021-02-04,87,guadalajara,11.7,1.9,0.0,721
GU,2021-02-05,126,guadalajara,11.8,1.4,4.8,721
GU,2021-02-06,70,guadalajara,9.4,2.5,1.8,721
GU,2021-02-07,50,guadalajara,7.2,2.5,10.2,721
GU,2021-02-08,64,guadalajara,8.1,4.4,8.4,721
GU,2021-02-09,85,guadalajara,7.4,6.1,9.0,721
GU,2021-02-10,66,guadalajara,10.0,3.1,0.0,721
GU,2021-02-11,49,guadalajara,9.1,1.7,5.6,721
GU,2021-02-12,60,guadalajara,10.0,3.3,1.0,721
GU,2021-02-13,33,guadalajara,9.8,1.1,0.0,721
GU,2021-02-14,24,guadalajara,9.2,1.4,0.0,721
GU,2021-02-15,56,guadalajara,9.8,1.1,0.0,721
GU,2021-02-16,40,guadalajara,9.4,1.9,0.0,721
GU,2021-02-17,43,guadalajara,11.2,1.7,0.0,721
GU,2021-02-18,36,guadalajara,10.0,1.9,0.0,721
GU,2021-02-19,38,guadalajara,10.7,2.5,0.0,721
GU,2021-02-20,37,guadalajara,13.3,4.2,0.0,721
GU,2021-02-21,22,guadalajara,9.2,2.2,11.8,721
GU,2021-02-22,34,guadalajara,7.9,1.7,0.0,721
GU,2021-02-23,45,guadalajara,8.8,1.4,0.0,721
GU,2021-02-24,34,guadalajara,9.6,1.7,0.0,721
GU,2021-02-25,50,guadalajara,8.9,1.1,0.0,721
GU,2021-02-26,58,guadalajara,10.8,0.8,0.0,721
GU,2021-02-27,40,guadalajara,12.2,0.8,0.0,721
GU,2021-02-28,27,guadalajara,8.4,4.2,0.0,721
