provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
H,2020-12-02,102,huelva,12.9,3.1,0.0,572
H,2020-12-03,93,huelva,11.2,1.9,0.2,572
H,2020-12-04,110,huelva,6.3,5.0,9.8,572
H,2020-12-05,56,huelva,5.2,6.1,0.0,572
H,2020-12-06,46,huelva,6.2,2.2,3.2,572
H,2020-12-07,54,huelva,9.8,4.7,1.8,572
H,2020-12-08,56,huelva,8.5,3.6,4.8,572
H,2020-12-09,88,huelva,7.8,0.8,3.0,572
H,2020-12-10,80,huelva,12.2,3.1,13.0,572
H,2020-12-11,95,huelva,14.0,5.0,5.4,572
H,2020-12-12,64,huelva,14.6,4.4,1.0,572
H,2020-12-13,45,huelva,12.5,0.6,0.0,572
H,2020-12-14,44,huelva,12.1,2.5,13.2,572
H,2020-12-15,67,huelva,10.4,1.7,0.2,572
H,2020-12-16,74,huelva,9.8,1.9,26.2,572
H,2020-12-17,38,huelva,9.8,3.1,0.0,572
H,2020-12-18,53,huelva,9.9,1.7,0.4,572
H,2020-12-19,36,huelva,9.6,2.2,20.2,572
H,2020-12-20,26,huelva,10.8,2.8,0.0,572
H,2020-12-21,35,huelva,12.0,0.8,0.0,572
H,2020-12-22,61,huelva,14.2,1.9,0.0,572
H,2020-12-23,62,huelva,10.4,1.4,0.0,572
H,2020-12-24,40,huelva,11.2,1.9,0.0,572
H,2020-12-25,53,huelva,10.2,3.1,0.0,572
H,2020-12-26,48,huelva,8.4,3.1,0.0,572
H,2020-12-27,48,huelva,7.4,2.5,1.0,572
H,2020-12-28,88,huelva,7.8,3.6,2.6,572
H,2020-12-29,91,huelva,6.8,2.5,2.0,572
H,2020-12-30,81,huelva,5.6,2.2,0.0,572
H,2020-12-31,117,huelva,6.3,3.9,1.0,572
H,2021-01-01,76,huelva,5.3,6.4,0.0,572
H,2021-01-02,60,huelva,4.9,4.7,0.0,572
H,2021-01-03,98,huelva,4.6,1.9,0.0,572
H,2021-01-04,120,huelva,4.9,1.9,1.2,572
H,2021-01-05,174,huelva,4.6,1.9,0.2,572
H,2021-01-06,144,huelva,5.1,1.9,0.6,572
H,2021-01-07,240,huelva,6.8,3.9,0.4,572
H,2021-01-08,294,huelva,3.5,8.6,5.0,572
H,2021-01-09,269,huelva,3.0,3.3,0.0,572
H,2021-01-10,215,huelva,3.4,2.2,0.4,572
H,2021-01-11,324,huelva,5.1,3.3,0.0,572
H,2021-01-12,448,huelva,5.8,1.7,0.0,572
H,2021-01-13,480,huelva,8.4,2.2,0.0,572
H,2021-01-14,481,huelva,8.4,4.4,0.0,572
H,2021-01-15,484,huelva,9.4,1.1,0.0,572
H,2021-01-16,370,huelva,10.8,1.4,0.0,572
H,2021-01-17,266,huelva,13.1,1.7,0.0,572
H,2021-01-18,524,huelva,10.9,1.7,0.0,572
H,2021-01-19,439,huelva,7.1,1.7,4.0,572
H,2021-01-20,530,huelva,10.6,4.7,21.8,572
H,2021-01-21,486,huelva,10.6,3.3,27.4,572
H,2021-01-22,535,huelva,10.4,4.7,0.4,572
H,2021-01-23,377,huelva,9.4,3.1,19.2,572
H,2021-01-24,249,huelva,11.2,3.3,1.8,572
H,2021-01-25,467,huelva,12.0,3.3,4.2,572
H,2021-01-26,460,huelva,13.0,1.1,3.0,572
H,2021-01-27,379,huelva,15.0,2.2,0.2,572
H,2021-01-28,356,huelva,16.5,1.1,0.0,572
H,2021-01-29,355,huelva,14.6,1.7,1.0,572
H,2021-01-30,256,huelva,11.2,3.9,0.6,572
H,2021-01-31,134,huelva,10.6,3.3,5.4,572
H,2021-02-01,190,huelva,12.8,2.2,0.2,572
H,2021-02-02,300,huelva,12.2,1.7,0.6,572
H,2021-02-03,242,huelva,10.8,2.2,13.8,572
H,2021-02-04,209,huelva,10.4,2.5,11.6,572
H,2021-02-05,160,huelva,9.2,3.6,32.8,572
H,2021-02-06,150,huelva,8.4,3.3,8.4,572
H,2021-02-07,71,huelva,6.6,3.3,25.6,572
H,2021-02-08,103,huelva,9.2,3.6,3.8,572
H,2021-02-09,107,huelva,9.6,4.7,21.4,572
H,2021-02-10,101,huelva,11.6,3.3,10.2,572
H,2021-02-11,79,huelva,12.4,1.9,5.2,572
H,2021-02-12,84,huelva,11.8,2.8,0.2,572
H,2021-02-13,63,huelva,12.6,2.8,0.0,572
H,2021-02-14,43,huelva,14.6,2.5,0.0,572
H,2021-02-15,59,huelva,13.2,2.8,0.0,572
H,2021-02-16,82,huelva,13.0,2.2,0.0,572
H,2021-02-17,51,huelva,14.4,1.4,0.0,572
H,2021-02-18,38,huelva,13.6,1.9,0.0,572
H,2021-02-19,41,huelva,11.2,2.5,0.0,572
H,2021-02-20,30,huelva,13.3,3.3,6.6,572
H,2021-02-21,14,huelva,8.8,2.5,12.8,572
H,2021-02-22,34,huelva,9.2,2.5,0.0,572
H,2021-02-23,41,huelva,10.7,2.8,0.0,572
H,2021-02-24,32,huelva,12.4,3.9,0.0,572
H,2021-02-25,28,huelva,10.8,1.9,1.0,572
H,2021-02-26,28,huelva,12.4,2.2,0.0,572
H,2021-02-27,19,huelva,11.8,1.4,0.0,572
H,2021-02-28,12,huelva,11.6,1.9,0.0,572
