provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
HU,2020-12-02,45,huesca,1.4,9.4,0.0,1040
HU,2020-12-03,34,huesca,3.4,1.1,12.2,1040
HU,2020-12-04,42,huesca,1.0,1.1,8.6,1040
HU,2020-12-05,21,huesca,-0.3,1.1,15.2,1040
HU,2020-12-08,23,huesca,2.6,1.7,13.4,1040
HU,2020-12-09,24,huesca,1.8,2.8,18.6,1040
HU,2020-12-10,24,huesca,3.2,2.2,28.4,1040
HU,2020-12-12,22,huesca,4.5,3.1,9.6,1040
HU,2020-12-13,11,huesca,7.4,1.1,0.0,1040
HU,2020-12-14,32,huesca,9.7,3.9,8.0,1040
HU,2020-12-15,19,huesca,6.2,1.9,6.6,1040
HU,2020-12-16,13,huesca,7.2,2.5,0.0,1040
HU,2020-12-17,19,huesca,7.5,0.6,0.0,1040
HU,2020-12-18,31,huesca,8.6,3.1,0.0,1040
HU,2020-12-19,15,huesca,7.5,1.1,5.4,1040
HU,2020-12-20,18,huesca,5.4,1.9,0.0,1040
HU,2020-12-22,25,huesca,11.2,3.3,0.0,1040
HU,2020-12-23,23,huesca,10.2,1.9,0.2,1040
HU,2020-12-24,30,huesca,4.7,2.2,0.0,1040
HU,2020-12-25,35,huesca,1.0,4.4,0.2,1040
HU,2020-12-26,28,huesca,1.2,3.9,0.0,1040
HU,2020-12-27,25,huesca,0.2,1.1,11.6,1040
HU,2020-12-29,39,huesca,0.8,1.7,22.0,1040
HU,2020-12-30,42,huesca,1.0,2.8,26.0,1040
HU,2020-12-31,46,huesca,1.4,0.8,5.0,1040
HU,2021-01-01,32,huesca,0.4,1.7,0.0,1040
HU,2021-01-02,46,huesca,-1.8,1.9,0.0,1040
HU,2021-01-03,47,huesca,0.0,1.9,1.0,1040
HU,2021-01-04,69,huesca,-2.5,1.4,4.8,1040
HU,2021-01-05,101,huesca,-2.2,1.9,0.0,1040
HU,2021-01-06,55,huesca,-2.4,1.4,0.0,1040
HU,2021-01-07,73,huesca,-3.0,1.1,0.0,1040
HU,2021-01-08,63,huesca,-2.5,0.6,0.2,1040
HU,2021-01-09,56,huesca,-2.6,0.8,13.2,1040
HU,2021-01-10,51,huesca,0.7,1.1,1.8,1040
HU,2021-01-11,76,huesca,-2.0,1.9,0.0,1040
HU,2021-01-12,79,huesca,0.8,1.4,0.0,1040
HU,2021-01-13,63,huesca,5.3,0.8,0.0,1040
HU,2021-01-14,72,huesca,4.2,1.9,0.0,1040
HU,2021-01-15,111,huesca,5.9,3.9,0.0,1040
HU,2021-01-16,52,huesca,6.2,1.7,0.0,1040
HU,2021-01-17,40,huesca,5.9,2.8,0.2,1040
HU,2021-01-18,77,huesca,5.0,1.4,0.0,1040
HU,2021-01-19,54,huesca,6.2,2.2,0.0,1040
HU,2021-01-20,62,huesca,5.2,1.9,17.8,1040
HU,2021-01-21,62,huesca,4.6,1.9,30.0,1040
HU,2021-01-22,52,huesca,3.8,2.5,11.6,1040
HU,2021-01-23,55,huesca,1.7,1.4,34.4,1040
HU,2021-01-24,41,huesca,3.0,2.8,10.4,1040
HU,2021-01-25,57,huesca,2.6,1.4,3.6,1040
HU,2021-01-26,55,huesca,4.4,1.4,4.8,1040
HU,2021-01-27,45,huesca,10.6,3.9,0.2,1040
HU,2021-01-28,52,huesca,11.2,1.4,0.0,1040
HU,2021-01-29,55,huesca,10.3,1.9,10.0,1040
HU,2021-01-30,39,huesca,5.2,2.2,29.6,1040
HU,2021-01-31,33,huesca,5.4,2.2,14.0,1040
HU,2021-02-01,58,huesca,7.2,1.9,2.8,1040
HU,2021-02-02,41,huesca,10.8,2.5,0.0,1040
HU,2021-02-03,28,huesca,8.8,1.9,2.4,1040
HU,2021-02-04,29,huesca,11.8,2.5,0.0,1040
HU,2021-02-05,40,huesca,12.8,4.4,2.0,1040
HU,2021-02-06,20,huesca,7.4,1.1,14.6,1040
HU,2021-02-07,17,huesca,3.4,1.7,6.8,1040
HU,2021-02-08,41,huesca,3.0,1.4,9.0,1040
HU,2021-02-09,26,huesca,3.0,1.7,20.6,1040
HU,2021-02-10,27,huesca,3.3,1.9,4.0,1040
HU,2021-02-11,18,huesca,6.0,2.5,0.6,1040
HU,2021-02-12,31,huesca,7.2,1.9,15.0,1040
HU,2021-02-13,15,huesca,7.0,1.9,0.0,1040
HU,2021-02-14,15,huesca,6.4,3.1,0.0,1040
HU,2021-02-15,27,huesca,8.8,2.8,0.0,1040
HU,2021-02-16,15,huesca,8.9,3.1,0.0,1040
HU,2021-02-17,19,huesca,9.7,2.2,0.0,1040
HU,2021-02-18,21,huesca,11.0,2.2,0.0,1040
HU,2021-02-19,25,huesca,10.2,3.6,0.0,1040
HU,2021-02-20,25,huesca,13.6,5.0,0.0,1040
HU,2021-02-21,18,huesca,11.4,6.4,11.2,1040
HU,2021-02-22,37,huesca,7.2,2.5,28.0,1040
HU,2021-02-23,28,huesca,7.9,3.6,0.0,1040
HU,2021-02-24,27,huesca,11.3,3.1,0.0,1040
HU,2021-02-25,27,huesca,9.9,1.7,0.0,1040
HU,2021-02-26,27,huesca,10.6,1.7,0.0,1040
HU,2021-02-27,18,huesca,9.6,1.4,0.0,1040
HU,2021-02-28,13,huesca,4.6,3.3,3.6,1040
