provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LO,2020-12-02,49,laRioja,7.7,3.6,0.1,353
LO,2020-12-03,40,laRioja,6.6,1.9,10.8,353
LO,2020-12-04,55,laRioja,5.7,3.1,0.2,353
LO,2020-12-05,40,laRioja,5.2,4.2,0.1,353
LO,2020-12-06,34,laRioja,6.2,3.9,8.3,353
LO,2020-12-07,40,laRioja,7.2,2.8,4.6,353
LO,2020-12-08,39,laRioja,6.4,5.3,1.4,353
LO,2020-12-09,56,laRioja,7.6,3.9,2.5,353
LO,2020-12-10,45,laRioja,9.8,3.1,9.1,353
LO,2020-12-11,52,laRioja,10.2,1.9,7.5,353
LO,2020-12-12,41,laRioja,8.8,4.4,1.4,353
LO,2020-12-13,43,laRioja,8.5,1.4,0.0,353
LO,2020-12-14,76,laRioja,8.4,1.9,1.8,353
LO,2020-12-15,64,laRioja,8.5,1.9,0.0,353
LO,2020-12-16,48,laRioja,5.7,4.4,0.0,353
LO,2020-12-17,45,laRioja,7.6,1.9,0.0,353
LO,2020-12-18,56,laRioja,3.1,2.5,0.2,353
LO,2020-12-19,76,laRioja,6.2,1.9,0.6,353
LO,2020-12-20,43,laRioja,7.7,2.5,0.1,353
LO,2020-12-21,58,laRioja,7.6,0.8,1.1,353
LO,2020-12-22,59,laRioja,5.6,2.2,0.1,353
LO,2020-12-23,72,laRioja,7.6,1.4,0.6,353
LO,2020-12-24,56,laRioja,9.1,2.8,0.1,353
LO,2020-12-25,61,laRioja,5.8,2.8,0.0,353
LO,2020-12-26,69,laRioja,6.1,3.3,0.1,353
LO,2020-12-27,90,laRioja,3.6,3.1,4.1,353
LO,2020-12-28,119,laRioja,7.6,6.9,0.0,353
LO,2020-12-29,107,laRioja,6.4,4.7,0.0,353
LO,2020-12-30,132,laRioja,5.4,4.7,0.0,353
LO,2020-12-31,152,laRioja,4.0,2.2,5.8,353
LO,2021-01-01,90,laRioja,5.6,4.4,7.4,353
LO,2021-01-02,108,laRioja,2.1,3.9,3.5,353
LO,2021-01-03,132,laRioja,3.4,4.7,3.2,353
LO,2021-01-04,132,laRioja,2.6,3.9,0.0,353
LO,2021-01-05,160,laRioja,3.6,3.3,0.0,353
LO,2021-01-06,167,laRioja,2.8,1.7,0.0,353
LO,2021-01-07,233,laRioja,1.0,2.5,0.0,353
LO,2021-01-08,267,laRioja,0.5,2.8,0.0,353
LO,2021-01-09,258,laRioja,0.2,1.9,11.2,353
LO,2021-01-10,224,laRioja,2.3,3.9,0.0,353
LO,2021-01-11,273,laRioja,3.6,3.9,0.0,353
LO,2021-01-12,301,laRioja,4.0,3.3,0.0,353
LO,2021-01-13,300,laRioja,5.3,2.5,0.0,353
LO,2021-01-14,255,laRioja,4.9,3.3,0.0,353
LO,2021-01-15,325,laRioja,8.6,4.4,0.0,353
LO,2021-01-16,329,laRioja,7.8,3.3,0.0,353
LO,2021-01-17,250,laRioja,7.8,3.3,0.0,353
LO,2021-01-18,339,laRioja,7.4,3.1,0.0,353
LO,2021-01-19,321,laRioja,1.6,1.4,0.0,353
LO,2021-01-20,306,laRioja,8.2,3.9,0.0,353
LO,2021-01-21,347,laRioja,7.6,1.4,2.1,353
LO,2021-01-22,282,laRioja,7.6,6.7,0.0,353
LO,2021-01-23,288,laRioja,6.3,1.9,6.3,353
LO,2021-01-24,216,laRioja,9.6,3.6,9.7,353
LO,2021-01-25,303,laRioja,7.5,2.2,13.6,353
LO,2021-01-26,262,laRioja,7.4,2.8,0.2,353
LO,2021-01-27,252,laRioja,13.2,3.1,0.0,353
LO,2021-01-28,225,laRioja,11.5,2.8,0.0,353
LO,2021-01-29,219,laRioja,12.4,2.5,3.0,353
LO,2021-02-01,115,laRioja,14.0,4.4,0.0,353
LO,2021-02-02,162,laRioja,12.0,1.1,0.0,353
LO,2021-02-03,117,laRioja,9.6,0.8,1.0,353
LO,2021-02-04,100,laRioja,11.6,1.9,0.3,353
LO,2021-02-05,75,laRioja,10.6,3.6,0.0,353
LO,2021-02-06,49,laRioja,7.8,2.8,9.1,353
LO,2021-02-07,48,laRioja,6.8,3.3,2.1,353
LO,2021-02-08,41,laRioja,8.9,3.9,0.1,353
LO,2021-02-09,40,laRioja,8.7,1.1,6.6,353
LO,2021-02-10,35,laRioja,8.1,3.6,0.0,353
LO,2021-02-11,42,laRioja,10.0,1.9,0.9,353
LO,2021-02-12,31,laRioja,10.7,3.6,2.3,353
LO,2021-02-13,26,laRioja,9.0,3.6,0.0,353
LO,2021-02-14,25,laRioja,7.2,5.3,0.0,353
LO,2021-02-15,25,laRioja,8.0,6.4,0.0,353
LO,2021-02-16,16,laRioja,10.5,2.8,0.0,353
LO,2021-02-17,19,laRioja,8.9,1.7,0.0,353
LO,2021-02-18,21,laRioja,10.3,1.7,0.0,353
LO,2021-02-19,21,laRioja,13.0,3.1,0.0,353
LO,2021-02-20,8,laRioja,12.4,7.8,0.0,353
LO,2021-02-21,12,laRioja,10.7,8.6,14.8,353
LO,2021-02-22,17,laRioja,7.8,3.3,1.7,353
LO,2021-02-23,21,laRioja,10.0,5.8,0.0,353
LO,2021-02-24,14,laRioja,11.8,7.8,0.0,353
LO,2021-02-25,13,laRioja,9.8,4.2,0.0,353
LO,2021-02-26,15,laRioja,10.6,1.4,0.0,353
LO,2021-02-27,12,laRioja,10.6,4.2,0.0,353
LO,2021-02-28,21,laRioja,7.2,4.7,0.0,353
