provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
GC,2020-12-02,42,lasPalmas,20.4,4.7,0.5,25
GC,2020-12-03,30,lasPalmas,18.8,2.8,0.0,25
GC,2020-12-04,30,lasPalmas,19.6,4.7,0.0,25
GC,2020-12-05,44,lasPalmas,19.0,8.1,0.0,25
GC,2020-12-06,17,lasPalmas,18.2,7.8,0.3,25
GC,2020-12-07,41,lasPalmas,18.8,7.5,0.0,25
GC,2020-12-08,29,lasPalmas,19.4,5.8,0.0,25
GC,2020-12-09,45,lasPalmas,19.6,6.7,0.0,25
GC,2020-12-10,33,lasPalmas,20.4,9.2,0.0,25
GC,2020-12-11,28,lasPalmas,20.1,7.2,0.0,25
GC,2020-12-12,43,lasPalmas,20.3,6.1,0.0,25
GC,2020-12-13,43,lasPalmas,19.8,3.3,0.0,25
GC,2020-12-14,37,lasPalmas,20.3,4.2,0.0,25
GC,2020-12-15,51,lasPalmas,19.8,4.7,0.0,25
GC,2020-12-16,46,lasPalmas,18.4,5.3,0.2,25
GC,2020-12-17,37,lasPalmas,19.2,7.2,0.0,25
GC,2020-12-18,44,lasPalmas,19.2,5.3,0.0,25
GC,2020-12-19,56,lasPalmas,19.4,5.8,0.0,25
GC,2020-12-20,49,lasPalmas,18.6,4.7,0.2,25
GC,2020-12-21,36,lasPalmas,19.4,5.0,0.0,25
GC,2020-12-22,83,lasPalmas,18.4,2.5,0.0,25
GC,2020-12-23,50,lasPalmas,18.1,8.1,0.0,25
GC,2020-12-24,65,lasPalmas,20.2,8.1,0.0,25
GC,2020-12-25,78,lasPalmas,19.4,3.6,0.0,25
GC,2020-12-26,52,lasPalmas,18.1,3.6,0.0,25
GC,2020-12-27,73,lasPalmas,19.0,3.9,0.0,25
GC,2020-12-28,77,lasPalmas,19.2,5.6,0.0,25
GC,2020-12-29,107,lasPalmas,18.8,5.3,0.0,25
GC,2020-12-30,100,lasPalmas,17.2,3.3,2.4,25
GC,2020-12-31,107,lasPalmas,17.4,7.2,0.0,25
GC,2021-01-01,109,lasPalmas,18.2,7.8,0.0,25
GC,2021-01-02,107,lasPalmas,18.0,6.4,0.0,25
GC,2021-01-03,136,lasPalmas,18.1,4.7,0.0,25
GC,2021-01-04,155,lasPalmas,16.7,4.4,0.0,25
GC,2021-01-05,156,lasPalmas,20.8,4.4,0.0,25
GC,2021-01-06,184,lasPalmas,21.6,10.0,1.2,25
GC,2021-01-07,167,lasPalmas,21.9,9.2,2.5,25
GC,2021-01-08,189,lasPalmas,18.6,7.8,1.5,25
GC,2021-01-09,237,lasPalmas,15.6,6.9,1.0,25
GC,2021-01-10,225,lasPalmas,16.8,6.7,1.5,25
GC,2021-01-11,257,lasPalmas,16.0,5.0,0.2,25
GC,2021-01-12,279,lasPalmas,16.6,6.1,0.0,25
GC,2021-01-13,252,lasPalmas,17.6,5.0,0.0,25
GC,2021-01-14,232,lasPalmas,17.2,7.2,0.0,25
GC,2021-01-15,222,lasPalmas,18.1,8.3,0.0,25
GC,2021-01-16,239,lasPalmas,18.4,8.9,0.0,25
GC,2021-01-17,197,lasPalmas,17.3,5.0,0.0,25
