provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
L,2020-12-02,89,lleida,7.7,3.6,0.0,185
L,2020-12-03,87,lleida,5.4,2.2,0.0,185
L,2020-12-04,78,lleida,5.4,3.1,0.0,185
L,2020-12-05,58,lleida,4.2,3.3,0.6,185
L,2020-12-06,51,lleida,7.0,5.0,1.8,185
L,2020-12-07,78,lleida,6.4,1.4,4.8,185
L,2020-12-08,63,lleida,6.4,6.1,0.0,185
L,2020-12-09,123,lleida,7.6,6.9,1.6,185
L,2020-12-10,115,lleida,9.8,5.0,4.4,185
L,2020-12-11,106,lleida,8.2,1.9,8.2,185
L,2020-12-12,95,lleida,11.2,7.8,0.0,185
L,2020-12-13,83,lleida,7.6,1.9,0.0,185
L,2020-12-14,110,lleida,7.4,1.7,0.2,185
L,2020-12-15,102,lleida,10.0,1.1,0.0,185
L,2020-12-16,127,lleida,8.6,1.4,0.1,185
L,2020-12-17,103,lleida,3.7,1.4,0.1,185
L,2020-12-18,113,lleida,5.7,0.8,0.1,185
L,2020-12-19,76,lleida,6.4,1.4,4.4,185
L,2020-12-20,79,lleida,9.7,2.5,0.0,185
L,2020-12-21,138,lleida,5.8,1.4,0.1,185
L,2020-12-22,126,lleida,5.6,1.1,0.3,185
L,2020-12-23,125,lleida,5.4,1.1,0.2,185
L,2020-12-24,129,lleida,9.0,2.5,0.0,185
L,2020-12-25,87,lleida,6.0,4.2,0.0,185
L,2020-12-26,106,lleida,5.2,3.6,0.0,185
L,2020-12-27,118,lleida,0.0,0.8,0.8,185
L,2020-12-28,186,lleida,5.0,6.1,0.0,185
L,2020-12-29,145,lleida,6.2,3.3,0.0,185
L,2020-12-30,157,lleida,6.2,5.6,0.0,185
L,2020-12-31,174,lleida,4.0,1.4,0.0,185
L,2021-01-01,113,lleida,5.8,1.9,0.0,185
L,2021-01-02,118,lleida,3.6,3.3,0.0,185
L,2021-01-03,136,lleida,3.8,2.5,0.0,185
L,2021-01-04,207,lleida,3.1,1.4,0.0,185
L,2021-01-05,191,lleida,0.6,1.7,0.0,185
L,2021-01-06,143,lleida,-1.4,1.4,0.0,185
L,2021-01-07,199,lleida,-1.8,1.4,0.0,185
L,2021-01-08,262,lleida,-1.0,0.6,6.9,185
L,2021-01-09,185,lleida,0.8,1.1,26.1,185
L,2021-01-10,148,lleida,1.1,1.7,9.4,185
L,2021-01-11,223,lleida,-0.2,1.7,0.0,185
L,2021-01-12,216,lleida,-0.2,1.7,0.0,185
L,2021-01-13,182,lleida,1.0,1.1,0.0,185
L,2021-01-14,189,lleida,3.8,1.7,0.0,185
L,2021-01-15,188,lleida,5.2,1.4,0.0,185
L,2021-01-16,168,lleida,3.9,1.9,0.0,185
L,2021-01-17,135,lleida,7.2,1.1,0.2,185
L,2021-01-18,183,lleida,5.0,1.7,0.1,185
L,2021-01-19,219,lleida,3.4,0.6,0.1,185
L,2021-01-20,197,lleida,3.4,1.4,0.4,185
L,2021-01-21,177,lleida,5.4,1.7,1.9,185
L,2021-01-22,203,lleida,9.4,7.2,2.0,185
L,2021-01-23,155,lleida,6.9,1.9,2.6,185
L,2021-01-24,156,lleida,9.6,5.3,0.0,185
L,2021-01-25,203,lleida,8.2,3.1,2.6,185
L,2021-01-26,194,lleida,6.6,1.4,0.0,185
L,2021-01-27,213,lleida,10.6,1.1,0.0,185
L,2021-01-28,162,lleida,12.4,1.4,0.0,185
L,2021-01-29,182,lleida,14.1,3.3,0.0,185
L,2021-01-30,138,lleida,11.8,5.3,0.6,185
L,2021-01-31,107,lleida,12.1,6.7,0.0,185
L,2021-02-01,166,lleida,13.9,8.6,0.0,185
L,2021-02-02,155,lleida,13.8,1.7,0.0,185
L,2021-02-03,141,lleida,11.2,2.2,0.0,185
L,2021-02-04,131,lleida,13.0,2.2,0.0,185
L,2021-02-05,137,lleida,12.6,2.8,0.0,185
L,2021-02-06,114,lleida,12.6,2.8,0.4,185
L,2021-02-07,65,lleida,9.0,4.2,0.0,185
L,2021-02-08,132,lleida,8.2,0.6,3.8,185
L,2021-02-09,109,lleida,6.9,2.8,6.8,185
L,2021-02-10,101,lleida,9.7,3.3,1.2,185
L,2021-02-11,121,lleida,9.5,1.7,0.0,185
L,2021-02-12,102,lleida,9.8,2.5,5.6,185
L,2021-02-13,75,lleida,10.8,1.7,0.0,185
L,2021-02-14,79,lleida,7.9,2.5,0.0,185
L,2021-02-15,90,lleida,9.0,1.9,0.0,185
L,2021-02-16,158,lleida,12.7,1.4,0.0,185
L,2021-02-17,126,lleida,12.6,1.7,0.1,185
L,2021-02-18,120,lleida,11.2,1.4,0.1,185
L,2021-02-19,111,lleida,11.5,0.8,0.0,185
L,2021-02-20,87,lleida,12.2,1.7,0.0,185
L,2021-02-21,78,lleida,12.2,6.1,0.0,185
L,2021-02-22,109,lleida,11.3,3.6,1.6,185
L,2021-02-23,128,lleida,12.3,0.8,0.0,185
L,2021-02-24,106,lleida,12.6,2.2,0.0,185
L,2021-02-25,92,lleida,11.8,2.2,0.0,185
L,2021-02-26,86,lleida,8.8,1.1,0.0,185
L,2021-02-27,71,lleida,10.6,1.7,0.0,185
L,2021-02-28,67,lleida,11.0,1.7,0.0,185
