provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
LU,2020-12-02,25,lugo,6.2,2.2,0.0,445
LU,2020-12-03,39,lugo,4.6,3.9,20.2,445
LU,2020-12-04,34,lugo,1.8,2.2,24.8,445
LU,2020-12-05,24,lugo,3.6,1.7,16.4,445
LU,2020-12-06,25,lugo,5.9,2.2,5.6,445
LU,2020-12-07,23,lugo,7.0,2.8,15.8,445
LU,2020-12-08,30,lugo,6.4,1.4,6.4,445
LU,2020-12-09,15,lugo,6.6,2.2,8.0,445
LU,2020-12-10,24,lugo,11.7,2.5,32.2,445
LU,2020-12-11,19,lugo,11.2,3.1,3.8,445
LU,2020-12-12,20,lugo,10.6,2.2,0.2,445
LU,2020-12-13,22,lugo,13.6,3.9,7.2,445
LU,2020-12-14,23,lugo,8.8,3.1,12.0,445
LU,2020-12-15,22,lugo,8.1,3.3,12.2,445
LU,2020-12-16,22,lugo,7.4,1.4,7.0,445
LU,2020-12-17,25,lugo,7.4,2.5,0.0,445
LU,2020-12-18,27,lugo,11.1,3.3,9.2,445
LU,2020-12-19,26,lugo,9.1,2.2,0.4,445
LU,2020-12-20,12,lugo,9.7,3.1,5.4,445
LU,2020-12-21,21,lugo,12.8,3.1,0.0,445
LU,2020-12-22,27,lugo,14.7,3.1,3.4,445
LU,2020-12-23,37,lugo,7.4,1.7,2.0,445
LU,2020-12-24,29,lugo,3.0,0.3,3.8,445
LU,2020-12-25,28,lugo,3.4,2.2,0.2,445
LU,2020-12-26,41,lugo,3.1,0.8,0.0,445
LU,2020-12-27,27,lugo,3.6,5.8,16.2,445
LU,2020-12-28,29,lugo,4.8,3.6,25.6,445
LU,2020-12-29,59,lugo,3.7,1.4,7.4,445
LU,2020-12-30,50,lugo,4.2,2.2,5.1,445
LU,2020-12-31,46,lugo,5.0,3.1,6.8,445
LU,2021-01-01,45,lugo,2.4,0.8,6.3,445
LU,2021-01-02,60,lugo,2.6,0.8,1.5,445
LU,2021-01-03,60,lugo,2.5,1.4,6.6,445
LU,2021-01-04,61,lugo,2.0,1.1,0.9,445
LU,2021-01-05,63,lugo,1.3,0.6,0.1,445
LU,2021-01-06,77,lugo,0.8,0.8,0.0,445
LU,2021-01-07,96,lugo,-1.4,0.6,0.0,445
LU,2021-01-08,73,lugo,1.2,1.4,0.0,445
LU,2021-01-09,81,lugo,0.2,1.9,2.0,445
LU,2021-01-10,65,lugo,4.2,2.2,0.0,445
LU,2021-01-11,96,lugo,3.2,2.5,0.0,445
LU,2021-01-12,100,lugo,2.4,0.8,0.0,445
LU,2021-01-13,104,lugo,-1.6,0.6,0.0,445
LU,2021-01-14,96,lugo,2.9,0.6,0.6,445
LU,2021-01-15,132,lugo,4.4,0.8,0.0,445
LU,2021-01-16,124,lugo,4.3,0.6,0.0,445
LU,2021-01-17,86,lugo,4.8,0.8,0.0,445
LU,2021-01-18,152,lugo,8.6,0.8,0.0,445
LU,2021-01-19,133,lugo,6.6,3.1,0.4,445
LU,2021-01-20,167,lugo,9.2,4.4,19.8,445
LU,2021-01-21,163,lugo,10.0,6.7,40.0,445
LU,2021-01-22,202,lugo,7.8,3.1,4.4,445
LU,2021-01-23,148,lugo,9.1,5.0,7.0,445
LU,2021-01-24,132,lugo,8.0,3.1,11.2,445
LU,2021-01-25,160,lugo,9.8,1.4,13.4,445
LU,2021-01-26,155,lugo,12.7,1.4,0.6,445
LU,2021-01-27,133,lugo,13.5,2.5,0.0,445
LU,2021-01-28,136,lugo,13.9,4.2,0.2,445
LU,2021-01-29,134,lugo,12.3,3.9,13.4,445
LU,2021-01-30,91,lugo,8.7,4.2,12.2,445
LU,2021-01-31,67,lugo,11.7,5.0,0.6,445
LU,2021-02-01,63,lugo,11.8,3.6,1.6,445
LU,2021-02-02,79,lugo,11.4,3.9,18.2,445
LU,2021-02-03,78,lugo,10.6,3.9,1.6,445
LU,2021-02-04,61,lugo,8.6,1.4,0.0,445
LU,2021-02-05,69,lugo,6.3,1.7,7.4,445
LU,2021-02-06,61,lugo,4.4,1.4,0.4,445
LU,2021-02-07,44,lugo,3.2,2.8,16.2,445
LU,2021-02-08,54,lugo,8.2,3.3,13.4,445
LU,2021-02-09,44,lugo,7.6,5.0,9.4,445
LU,2021-02-10,73,lugo,9.1,2.5,1.2,445
LU,2021-02-11,51,lugo,11.6,3.1,18.0,445
LU,2021-02-12,48,lugo,10.9,2.5,0.2,445
LU,2021-02-13,33,lugo,10.6,2.5,0.0,445
LU,2021-02-14,34,lugo,14.6,2.8,0.0,445
LU,2021-02-15,44,lugo,16.4,3.6,0.0,445
LU,2021-02-16,39,lugo,10.7,3.9,6.4,445
LU,2021-02-17,43,lugo,8.8,3.9,21.6,445
LU,2021-02-18,28,lugo,9.8,3.1,2.2,445
LU,2021-02-19,24,lugo,11.0,5.8,0.0,445
LU,2021-02-20,30,lugo,10.4,4.2,33.6,445
LU,2021-02-21,17,lugo,5.6,1.1,11.2,445
LU,2021-02-22,30,lugo,6.3,1.7,0.0,445
LU,2021-02-23,21,lugo,11.9,3.6,0.0,445
LU,2021-02-24,12,lugo,13.4,3.9,8.2,445
LU,2021-02-25,12,lugo,8.2,1.9,5.0,445
LU,2021-02-26,17,lugo,10.2,1.9,0.0,445
LU,2021-02-27,9,lugo,9.7,1.4,0.0,445
LU,2021-02-28,4,lugo,6.9,2.2,0.0,445
