provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
M,2020-12-02,1142,madrid,5.8,2.5,0.0,540
M,2020-12-03,1024,madrid,3.0,0.8,7.0,540
M,2020-12-04,1038,madrid,5.6,2.5,0.1,540
M,2020-12-05,756,madrid,3.4,2.5,0.0,540
M,2020-12-06,830,madrid,5.0,2.2,0.0,540
M,2020-12-07,1140,madrid,9.8,3.3,13.3,540
M,2020-12-08,1213,madrid,7.9,4.2,0.0,540
M,2020-12-09,1547,madrid,4.9,1.7,0.5,540
M,2020-12-10,1677,madrid,10.0,3.6,2.8,540
M,2020-12-11,2013,madrid,13.9,4.4,0.2,540
M,2020-12-12,1382,madrid,10.3,1.9,0.0,540
M,2020-12-13,1225,madrid,8.6,0.8,0.0,540
M,2020-12-14,1953,madrid,11.3,1.4,1.5,540
M,2020-12-15,2159,madrid,7.8,1.7,0.0,540
M,2020-12-16,1972,madrid,8.6,2.8,0.1,540
M,2020-12-17,1684,madrid,9.4,0.8,0.0,540
M,2020-12-18,2100,madrid,5.8,1.4,0.0,540
M,2020-12-19,1510,madrid,7.8,2.2,4.2,540
M,2020-12-20,1403,madrid,6.5,0.3,0.0,540
M,2020-12-21,1958,madrid,6.8,1.7,0.0,540
M,2020-12-22,2014,madrid,8.4,1.1,0.0,540
M,2020-12-23,2146,madrid,8.2,0.8,0.0,540
M,2020-12-24,1337,madrid,8.8,0.8,2.6,540
M,2020-12-25,1307,madrid,3.8,2.2,0.0,540
M,2020-12-26,1835,madrid,2.4,0.8,0.0,540
M,2020-12-27,1783,madrid,2.2,1.7,2.8,540
M,2020-12-28,2592,madrid,7.0,4.2,0.0,540
M,2020-12-29,3099,madrid,4.7,3.6,0.3,540
M,2020-12-30,3481,madrid,4.0,1.7,0.0,540
M,2020-12-31,1627,madrid,2.6,2.2,0.0,540
M,2021-01-01,1605,madrid,4.6,3.1,0.0,540
M,2021-01-02,2320,madrid,1.6,2.2,0.0,540
M,2021-01-03,1615,madrid,1.1,1.7,0.0,540
M,2021-01-04,4338,madrid,2.5,1.7,0.0,540
M,2021-01-05,6934,madrid,1.0,0.8,0.0,540
M,2021-01-06,1836,madrid,-0.2,0.8,1.5,540
M,2021-01-07,4224,madrid,0.1,1.4,4.1,540
M,2021-01-15,6058,madrid,-2.4,0.8,0.0,540
M,2021-01-16,4080,madrid,-1.9,0.6,0.0,540
M,2021-01-17,3316,madrid,-2.0,0.3,0.0,540
M,2021-01-18,5991,madrid,-0.9,0.6,0.0,540
M,2021-01-19,7259,madrid,-0.4,1.4,0.0,540
M,2021-01-20,4918,madrid,3.5,3.1,1.8,540
M,2021-01-21,4169,madrid,7.8,1.4,5.3,540
M,2021-01-22,6412,madrid,6.9,4.7,0.0,540
M,2021-01-23,4049,madrid,7.4,3.9,2.0,540
M,2021-01-24,3239,madrid,8.6,1.9,0.0,540
M,2021-01-25,5066,madrid,11.0,3.6,0.0,540
M,2021-01-26,6015,madrid,13.4,3.1,0.3,540
M,2021-01-27,4053,madrid,14.7,1.4,0.0,540
M,2021-01-28,3862,madrid,11.2,0.8,0.0,540
M,2021-01-29,5059,madrid,11.4,0.6,2.4,540
M,2021-01-30,3212,madrid,11.0,4.4,0.1,540
M,2021-01-31,2470,madrid,10.8,3.3,0.0,540
M,2021-02-02,4398,madrid,12.1,1.7,0.4,540
M,2021-02-03,2985,madrid,12.4,1.1,0.0,540
M,2021-02-04,2710,madrid,12.6,1.1,0.0,540
M,2021-02-05,3492,madrid,12.4,2.5,2.0,540
M,2021-02-06,2103,madrid,10.2,2.2,2.6,540
M,2021-02-07,1518,madrid,8.7,3.6,10.1,540
M,2021-02-08,2641,madrid,9.2,5.6,0.0,540
M,2021-02-09,2673,madrid,9.0,2.8,1.8,540
M,2021-02-10,2117,madrid,10.8,3.3,0.4,540
M,2021-02-11,1641,madrid,11.5,1.4,0.4,540
M,2021-02-12,2188,madrid,10.0,3.3,0.0,540
M,2021-02-13,1434,madrid,9.6,2.2,0.0,540
M,2021-02-14,1114,madrid,9.2,2.5,0.0,540
M,2021-02-15,1998,madrid,11.0,1.7,0.0,540
M,2021-02-16,1837,madrid,9.8,0.8,0.0,540
M,2021-02-17,1567,madrid,11.0,1.4,0.0,540
M,2021-02-18,1352,madrid,9.6,1.9,0.0,540
M,2021-02-19,1545,madrid,11.7,2.2,0.0,540
M,2021-02-20,1140,madrid,13.0,1.7,0.0,540
M,2021-02-21,1029,madrid,9.9,3.3,6.9,540
M,2021-02-22,1507,madrid,7.8,2.5,0.0,540
M,2021-02-23,1398,madrid,8.3,1.4,0.0,540
M,2021-02-24,1216,madrid,9.1,2.8,0.0,540
M,2021-02-25,1072,madrid,11.4,1.7,0.0,540
M,2021-02-26,1251,madrid,11.8,1.7,0.0,540
M,2021-02-27,986,madrid,10.6,0.8,0.0,540
M,2021-02-28,958,madrid,10.4,3.6,0.0,540
