provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
MA,2020-12-02,163,malaga,9.0,0.3,0.0,408
MA,2020-12-03,146,malaga,8.7,0.6,0.8,408
MA,2020-12-04,176,malaga,8.0,2.8,4.6,408
MA,2020-12-05,120,malaga,5.2,0.8,0.0,408
MA,2020-12-06,93,malaga,5.4,1.7,0.2,408
MA,2020-12-07,98,malaga,9.8,2.2,0.7,408
MA,2020-12-08,110,malaga,9.4,2.8,2.2,408
MA,2020-12-09,108,malaga,7.0,1.7,1.0,408
MA,2020-12-10,174,malaga,11.2,2.2,1.8,408
MA,2020-12-11,183,malaga,15.0,3.1,0.1,408
MA,2020-12-12,160,malaga,15.0,2.2,0.0,408
MA,2020-12-13,141,malaga,13.4,0.6,0.0,408
MA,2020-12-14,154,malaga,12.8,0.3,0.5,408
MA,2020-12-15,216,malaga,10.2,0.6,0.0,408
MA,2020-12-16,173,malaga,8.4,2.2,8.4,408
MA,2020-12-17,159,malaga,12.1,1.1,0.0,408
MA,2020-12-18,182,malaga,11.4,0.0,0.2,408
MA,2020-12-19,138,malaga,8.8,0.3,0.9,408
MA,2020-12-20,116,malaga,9.8,0.8,0.1,408
MA,2020-12-21,185,malaga,9.6,0.0,0.0,408
MA,2020-12-22,194,malaga,11.5,0.8,0.1,408
MA,2020-12-23,233,malaga,10.8,0.6,0.0,408
MA,2020-12-24,207,malaga,10.2,0.6,0.0,408
MA,2020-12-25,159,malaga,9.4,0.8,0.1,408
MA,2020-12-26,202,malaga,5.7,1.1,0.0,408
MA,2020-12-27,191,malaga,4.6,0.6,0.0,408
MA,2020-12-28,376,malaga,6.0,3.1,1.7,408
MA,2020-12-29,362,malaga,5.4,1.4,0.0,408
MA,2020-12-30,394,malaga,3.6,0.6,0.1,408
MA,2020-12-31,358,malaga,3.2,1.1,0.2,408
MA,2021-01-01,382,malaga,6.1,2.5,2.4,408
MA,2021-01-02,400,malaga,3.3,0.8,0.1,408
MA,2021-01-03,468,malaga,2.3,1.1,0.0,408
MA,2021-01-04,730,malaga,2.7,0.8,0.2,408
MA,2021-01-06,709,malaga,6.8,2.5,16.3,408
MA,2021-01-07,927,malaga,5.5,1.9,24.2,408
MA,2021-01-08,1063,malaga,8.4,3.9,9.8,408
MA,2021-01-09,1003,malaga,6.6,1.4,0.9,408
MA,2021-01-10,897,malaga,3.7,0.6,1.2,408
MA,2021-01-11,1302,malaga,5.0,0.6,0.0,408
MA,2021-01-12,1302,malaga,3.8,0.6,0.1,408
MA,2021-01-13,1459,malaga,4.4,1.1,0.0,408
MA,2021-01-14,1476,malaga,4.7,0.6,0.0,408
MA,2021-01-15,1530,malaga,5.0,0.8,0.0,408
MA,2021-01-16,1160,malaga,5.8,0.6,0.0,408
MA,2021-01-17,983,malaga,6.8,0.3,0.0,408
MA,2021-01-18,1517,malaga,7.8,1.4,0.0,408
MA,2021-01-19,1731,malaga,7.0,0.8,0.0,408
MA,2021-01-20,1848,malaga,6.9,1.1,12.3,408
MA,2021-01-21,1465,malaga,10.6,1.7,1.2,408
MA,2021-01-22,1701,malaga,11.7,4.4,0.0,408
MA,2021-01-23,1389,malaga,10.8,2.2,0.3,408
MA,2021-01-24,1005,malaga,12.4,2.2,1.0,408
MA,2021-01-25,1365,malaga,12.6,2.2,0.4,408
MA,2021-01-26,1251,malaga,13.8,0.6,0.9,408
MA,2021-01-27,1486,malaga,14.0,1.1,0.2,408
MA,2021-01-28,1225,malaga,14.8,0.3,0.0,408
MA,2021-01-29,1126,malaga,11.8,1.1,0.2,408
MA,2021-01-30,825,malaga,11.8,2.8,0.0,408
MA,2021-01-31,707,malaga,11.6,3.3,1.4,408
MA,2021-02-01,1058,malaga,12.6,1.9,0.0,408
MA,2021-02-02,805,malaga,11.6,0.6,0.0,408
MA,2021-02-03,733,malaga,10.2,0.8,0.0,408
MA,2021-02-04,749,malaga,12.9,1.4,0.0,408
MA,2021-02-05,682,malaga,13.0,1.4,2.3,408
MA,2021-02-06,483,malaga,11.4,1.7,0.3,408
MA,2021-02-07,372,malaga,9.5,2.5,11.4,408
MA,2021-02-08,468,malaga,11.2,3.1,0.2,408
MA,2021-02-09,441,malaga,11.8,1.7,6.4,408
MA,2021-02-10,456,malaga,12.8,3.1,1.5,408
MA,2021-02-11,447,malaga,13.8,1.4,0.0,408
MA,2021-02-12,356,malaga,12.9,1.1,0.1,408
MA,2021-02-13,290,malaga,9.4,0.3,0.0,408
MA,2021-02-14,192,malaga,9.4,3.1,0.0,408
MA,2021-02-15,297,malaga,12.6,6.1,0.0,408
MA,2021-02-16,335,malaga,13.3,1.9,0.0,408
MA,2021-02-17,210,malaga,11.4,0.8,0.0,408
MA,2021-02-18,214,malaga,10.3,0.8,0.0,408
MA,2021-02-19,207,malaga,10.4,1.7,0.0,408
MA,2021-02-20,154,malaga,13.3,2.8,0.0,408
MA,2021-02-21,106,malaga,10.0,1.7,4.9,408
MA,2021-02-22,182,malaga,7.8,1.4,0.0,408
MA,2021-02-23,150,malaga,8.1,3.1,0.0,408
MA,2021-02-24,153,malaga,12.4,3.9,0.0,408
MA,2021-02-25,137,malaga,12.4,2.2,0.0,408
MA,2021-02-26,129,malaga,12.4,1.9,0.0,408
MA,2021-02-27,122,malaga,11.5,2.5,0.0,408
MA,2021-02-28,91,malaga,12.2,2.5,0.6,408
