provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
ML,2020-12-02,21,melilla,16.2,2.8,0.0,52
ML,2020-12-03,12,melilla,16.4,2.5,0.0,52
ML,2020-12-04,17,melilla,15.5,4.2,20.8,52
ML,2020-12-05,6,melilla,11.8,4.7,22.6,52
ML,2020-12-06,12,melilla,11.6,3.9,0.8,52
ML,2020-12-07,13,melilla,17.0,3.1,0.0,52
ML,2020-12-08,8,melilla,16.3,5.3,0.8,52
ML,2020-12-09,22,melilla,14.8,4.4,0.0,52
ML,2020-12-10,20,melilla,17.0,4.4,0.2,52
ML,2020-12-11,15,melilla,19.0,7.5,0.0,52
ML,2020-12-12,11,melilla,18.8,7.2,0.0,52
ML,2020-12-13,5,melilla,17.7,1.7,0.0,52
ML,2020-12-14,28,melilla,16.6,1.9,0.0,52
ML,2020-12-15,26,melilla,15.2,2.5,0.0,52
ML,2020-12-16,13,melilla,14.4,1.4,2.6,52
ML,2020-12-17,18,melilla,14.4,1.7,0.2,52
ML,2020-12-18,5,melilla,14.4,1.4,0.0,52
ML,2020-12-19,10,melilla,14.2,1.7,0.2,52
ML,2020-12-20,8,melilla,15.8,1.7,0.0,52
ML,2020-12-21,17,melilla,15.0,1.9,0.0,52
ML,2020-12-22,13,melilla,14.4,1.4,0.0,52
ML,2020-12-23,21,melilla,14.8,1.9,0.0,52
ML,2020-12-24,5,melilla,15.6,1.9,0.0,52
ML,2020-12-25,9,melilla,13.8,1.4,1.2,52
ML,2020-12-26,16,melilla,12.8,3.9,0.0,52
ML,2020-12-27,10,melilla,11.4,2.2,0.0,52
ML,2020-12-28,33,melilla,16.0,3.6,3.0,52
ML,2020-12-29,22,melilla,13.2,3.6,1.6,52
ML,2020-12-30,28,melilla,12.0,2.5,0.0,52
ML,2020-12-31,38,melilla,11.1,4.2,0.0,52
ML,2021-01-01,21,melilla,13.2,5.8,1.0,52
ML,2021-01-02,23,melilla,11.9,3.6,1.0,52
ML,2021-01-03,19,melilla,12.0,3.9,0.0,52
ML,2021-01-04,42,melilla,11.6,3.6,0.0,52
ML,2021-01-05,52,melilla,11.6,2.2,16.0,52
ML,2021-01-06,23,melilla,11.0,3.1,4.8,52
ML,2021-01-07,36,melilla,13.0,3.3,4.4,52
ML,2021-01-08,54,melilla,15.6,4.7,12.6,52
ML,2021-01-09,41,melilla,14.1,1.9,0.2,52
ML,2021-01-10,40,melilla,11.0,1.7,1.2,52
ML,2021-01-11,58,melilla,11.0,2.8,2.4,52
ML,2021-01-12,71,melilla,11.4,1.4,0.0,52
ML,2021-01-13,62,melilla,10.7,1.4,0.0,52
ML,2021-01-14,60,melilla,11.5,2.2,0.0,52
ML,2021-01-15,46,melilla,12.4,1.9,0.0,52
ML,2021-01-16,57,melilla,13.2,2.8,0.0,52
ML,2021-01-17,51,melilla,11.8,1.7,0.0,52
ML,2021-01-18,75,melilla,11.6,1.9,0.0,52
ML,2021-01-19,89,melilla,11.6,1.9,0.0,52
ML,2021-01-20,89,melilla,13.0,1.4,1.2,52
ML,2021-01-21,63,melilla,15.3,2.5,0.0,52
ML,2021-01-22,61,melilla,17.0,4.7,0.0,52
ML,2021-01-23,74,melilla,15.9,4.2,0.0,52
ML,2021-01-24,52,melilla,16.6,3.9,0.0,52
ML,2021-01-25,70,melilla,18.6,3.9,0.0,52
ML,2021-01-26,62,melilla,17.8,5.0,0.0,52
ML,2021-01-27,50,melilla,18.2,1.4,0.0,52
ML,2021-01-28,58,melilla,17.5,1.4,0.0,52
ML,2021-01-29,39,melilla,17.5,1.7,0.0,52
ML,2021-01-30,59,melilla,16.3,3.9,0.0,52
ML,2021-01-31,35,melilla,16.8,7.8,0.0,52
ML,2021-02-01,49,melilla,17.4,8.6,0.0,52
ML,2021-02-02,35,melilla,16.9,3.3,0.0,52
ML,2021-02-03,39,melilla,16.4,2.2,0.0,52
ML,2021-02-04,40,melilla,15.0,1.9,0.0,52
ML,2021-02-05,55,melilla,15.4,4.4,0.0,52
ML,2021-02-06,34,melilla,14.8,1.9,0.0,52
ML,2021-02-07,26,melilla,13.8,3.3,0.0,52
ML,2021-02-08,33,melilla,16.4,4.2,0.2,52
ML,2021-02-09,27,melilla,16.6,1.7,0.0,52
ML,2021-02-10,27,melilla,17.8,3.9,0.0,52
ML,2021-02-11,33,melilla,18.6,3.6,0.0,52
ML,2021-02-12,45,melilla,17.6,5.6,0.0,52
ML,2021-02-13,12,melilla,15.8,2.2,0.0,52
ML,2021-02-14,18,melilla,13.3,2.8,0.0,52
ML,2021-02-15,21,melilla,15.4,4.4,0.0,52
ML,2021-02-16,32,melilla,13.8,2.8,0.0,52
ML,2021-02-17,21,melilla,12.1,1.7,0.0,52
ML,2021-02-18,16,melilla,14.5,1.9,0.0,52
ML,2021-02-19,29,melilla,13.6,1.9,0.0,52
ML,2021-02-20,20,melilla,14.2,3.1,0.0,52
ML,2021-02-21,17,melilla,15.4,2.8,14.2,52
ML,2021-02-22,20,melilla,14.0,4.4,0.0,52
ML,2021-02-23,27,melilla,13.8,3.6,0.0,52
ML,2021-02-24,18,melilla,15.6,4.7,0.0,52
ML,2021-02-25,16,melilla,15.8,4.2,0.0,52
ML,2021-02-26,37,melilla,15.4,6.4,0.0,52
ML,2021-02-27,16,melilla,15.0,6.4,0.0,52
ML,2021-02-28,21,melilla,14.8,6.9,5.8,52
