provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
MU,2020-12-02,185,murcia,15.3,2.5,0.0,26
MU,2020-12-03,138,murcia,12.1,1.1,0.0,26
MU,2020-12-04,207,murcia,15.6,5.0,0.0,26
MU,2020-12-05,148,murcia,10.7,5.0,0.0,26
MU,2020-12-06,86,murcia,12.0,3.6,0.0,26
MU,2020-12-07,142,murcia,16.1,5.3,0.0,26
MU,2020-12-08,124,murcia,14.4,5.6,0.0,26
MU,2020-12-09,199,murcia,13.6,2.2,0.0,26
MU,2020-12-10,217,murcia,15.4,6.7,0.0,26
MU,2020-12-11,209,murcia,22.0,5.6,0.0,26
MU,2020-12-12,159,murcia,20.0,3.3,0.0,26
MU,2020-12-13,133,murcia,16.6,1.7,0.0,26
MU,2020-12-14,196,murcia,14.8,1.1,0.0,26
MU,2020-12-15,201,murcia,15.6,1.4,0.0,26
MU,2020-12-16,193,murcia,13.8,1.9,0.0,26
MU,2020-12-17,177,murcia,14.1,1.4,0.0,26
MU,2020-12-18,159,murcia,13.4,1.4,0.0,26
MU,2020-12-19,161,murcia,13.4,1.9,0.2,26
MU,2020-12-20,136,murcia,14.9,1.1,0.0,26
MU,2020-12-21,246,murcia,14.4,0.8,0.0,26
MU,2020-12-22,269,murcia,14.4,1.1,0.0,26
MU,2020-12-23,240,murcia,13.4,1.9,0.0,26
MU,2020-12-24,263,murcia,14.4,0.8,0.0,26
MU,2020-12-25,228,murcia,13.2,1.9,0.0,26
MU,2020-12-26,326,murcia,9.4,2.5,0.0,26
MU,2020-12-27,319,murcia,9.1,1.1,0.0,26
MU,2020-12-28,457,murcia,15.2,7.5,0.0,26
MU,2020-12-29,475,murcia,12.3,7.5,0.0,26
MU,2020-12-30,480,murcia,11.6,2.5,0.0,26
MU,2020-12-31,561,murcia,10.6,2.5,0.0,26
MU,2021-01-01,512,murcia,12.4,5.0,0.0,26
MU,2021-01-02,697,murcia,9.8,2.8,0.0,26
MU,2021-01-03,887,murcia,10.2,3.3,0.0,26
MU,2021-01-04,1213,murcia,8.8,1.7,0.0,26
MU,2021-01-05,1267,murcia,9.4,1.9,0.0,26
MU,2021-01-06,1318,murcia,10.8,3.6,4.4,26
MU,2021-01-07,1501,murcia,8.6,2.5,4.6,26
MU,2021-01-08,1737,murcia,8.5,3.6,3.0,26
MU,2021-01-09,1861,murcia,11.8,1.4,1.8,26
MU,2021-01-10,1632,murcia,9.4,1.4,0.0,26
MU,2021-01-11,2010,murcia,9.4,1.7,0.0,26
MU,2021-01-12,2102,murcia,9.6,1.7,0.0,26
MU,2021-01-13,1845,murcia,10.0,1.7,0.0,26
MU,2021-01-14,1780,murcia,10.4,1.4,0.0,26
MU,2021-01-15,1875,murcia,12.0,1.9,0.0,26
MU,2021-01-16,1711,murcia,11.4,1.9,0.0,26
MU,2021-01-17,1384,murcia,10.8,1.1,0.0,26
MU,2021-01-18,1628,murcia,12.6,1.7,0.0,26
MU,2021-01-19,1550,murcia,11.4,0.8,0.0,26
MU,2021-01-20,1502,murcia,11.7,0.8,0.0,26
MU,2021-01-21,1199,murcia,16.0,2.8,0.0,26
MU,2021-01-22,1219,murcia,16.2,6.4,0.0,26
MU,2021-01-23,1137,murcia,17.0,5.8,0.0,26
MU,2021-01-24,869,murcia,18.8,5.6,0.0,26
MU,2021-01-25,1059,murcia,17.3,4.4,0.0,26
MU,2021-01-26,964,murcia,16.8,1.9,0.0,26
MU,2021-01-27,792,murcia,16.6,1.4,0.0,26
MU,2021-01-28,722,murcia,17.8,1.7,0.0,26
MU,2021-01-29,610,murcia,16.1,1.7,0.2,26
MU,2021-01-30,584,murcia,17.0,5.0,0.0,26
MU,2021-01-31,318,murcia,17.2,6.7,0.0,26
MU,2021-02-01,491,murcia,22.2,6.9,0.0,26
MU,2021-02-02,477,murcia,15.4,1.4,0.0,26
MU,2021-02-03,442,murcia,13.2,0.8,0.0,26
MU,2021-02-04,326,murcia,12.9,1.7,0.0,26
MU,2021-02-05,283,murcia,16.1,1.9,0.0,26
MU,2021-02-06,288,murcia,14.4,1.9,0.0,26
MU,2021-02-07,155,murcia,16.4,3.1,0.0,26
MU,2021-02-08,224,murcia,16.3,5.6,0.0,26
MU,2021-02-09,244,murcia,15.2,1.9,0.0,26
MU,2021-02-10,192,murcia,18.6,5.6,0.0,26
MU,2021-02-11,159,murcia,16.2,1.1,0.0,26
MU,2021-02-12,216,murcia,19.5,4.2,0.0,26
MU,2021-02-13,131,murcia,16.1,2.5,0.0,26
MU,2021-02-14,85,murcia,14.8,2.2,0.0,26
MU,2021-02-15,126,murcia,13.2,2.2,0.0,26
MU,2021-02-16,155,murcia,11.8,1.4,0.0,26
MU,2021-02-17,134,murcia,13.0,1.4,0.0,26
MU,2021-02-18,118,murcia,12.8,1.7,0.0,26
MU,2021-02-19,125,murcia,13.4,1.1,0.0,26
MU,2021-02-20,97,murcia,13.6,2.8,0.0,26
MU,2021-02-21,63,murcia,15.4,2.8,0.0,26
MU,2021-02-22,104,murcia,16.8,3.1,0.0,26
MU,2021-02-23,118,murcia,14.6,3.9,0.0,26
MU,2021-02-24,85,murcia,16.4,3.6,0.0,26
MU,2021-02-25,84,murcia,15.0,3.6,0.0,26
MU,2021-02-26,92,murcia,14.8,3.6,0.0,26
MU,2021-02-27,63,murcia,14.4,2.8,0.0,26
MU,2021-02-28,69,murcia,15.1,3.9,0.0,26
