provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
OR,2020-12-02,40,ourense,4.8,1.7,0.0,840
OR,2020-12-03,24,ourense,3.1,4.7,16.0,840
OR,2020-12-06,20,ourense,3.8,3.6,6.6,840
OR,2020-12-07,26,ourense,5.4,5.6,25.2,840
OR,2020-12-08,28,ourense,3.4,3.9,8.6,840
OR,2020-12-09,36,ourense,4.9,1.9,12.2,840
OR,2020-12-10,41,ourense,10.4,4.4,32.6,840
OR,2020-12-11,33,ourense,10.0,6.1,10.8,840
OR,2020-12-12,38,ourense,8.6,2.2,0.0,840
OR,2020-12-13,24,ourense,10.8,1.4,1.8,840
OR,2020-12-14,36,ourense,8.0,4.2,5.4,840
OR,2020-12-15,37,ourense,5.6,1.4,0.4,840
OR,2020-12-16,45,ourense,4.8,2.2,6.2,840
OR,2020-12-17,32,ourense,2.4,1.4,0.2,840
OR,2020-12-18,23,ourense,5.3,2.8,12.6,840
OR,2020-12-19,20,ourense,7.0,2.2,0.6,840
OR,2020-12-20,40,ourense,7.8,1.7,9.4,840
OR,2020-12-21,36,ourense,10.4,1.1,0.0,840
OR,2020-12-22,48,ourense,12.0,2.2,0.2,840
OR,2020-12-23,41,ourense,6.7,2.8,4.0,840
OR,2020-12-24,47,ourense,3.3,1.9,0.0,840
OR,2020-12-25,35,ourense,1.6,1.1,0.0,840
OR,2020-12-26,41,ourense,0.4,1.1,0.0,840
OR,2020-12-27,38,ourense,2.2,5.0,24.0,840
OR,2020-12-28,56,ourense,3.5,5.3,7.4,840
OR,2020-12-29,36,ourense,2.0,4.7,6.8,840
OR,2020-12-30,70,ourense,2.4,3.1,1.4,840
OR,2020-12-31,54,ourense,3.8,4.4,18.6,840
OR,2021-01-02,74,ourense,1.8,2.2,0.0,840
OR,2021-01-03,98,ourense,1.6,3.1,5.4,840
OR,2021-01-04,95,ourense,-0.6,1.9,0.2,840
OR,2021-01-05,118,ourense,-1.0,1.7,0.0,840
OR,2021-01-06,97,ourense,-2.1,1.7,0.0,840
OR,2021-01-07,130,ourense,-2.8,1.7,0.0,840
OR,2021-01-08,148,ourense,-2.7,1.7,0.0,840
OR,2021-01-09,112,ourense,-1.4,2.2,0.0,840
OR,2021-01-10,134,ourense,1.3,2.5,0.0,840
OR,2021-01-11,165,ourense,0.1,2.2,0.0,840
OR,2021-01-12,167,ourense,1.2,1.9,0.0,840
OR,2021-01-13,190,ourense,3.0,1.7,0.0,840
OR,2021-01-14,157,ourense,2.8,1.9,0.0,840
OR,2021-01-15,219,ourense,2.0,0.8,0.0,840
OR,2021-01-16,191,ourense,3.4,0.8,0.0,840
OR,2021-01-17,198,ourense,5.3,1.7,0.0,840
OR,2021-01-18,259,ourense,5.4,0.8,0.0,840
OR,2021-01-19,204,ourense,4.2,3.1,5.4,840
OR,2021-01-20,231,ourense,6.6,3.9,27.0,840
OR,2021-01-21,242,ourense,9.0,6.1,22.8,840
OR,2021-01-22,217,ourense,5.8,5.0,4.6,840
OR,2021-01-23,194,ourense,7.3,6.4,13.0,840
OR,2021-01-24,183,ourense,6.2,3.3,5.8,840
OR,2021-01-25,185,ourense,8.2,3.9,15.4,840
OR,2021-01-26,180,ourense,11.4,0.8,8.6,840
OR,2021-01-27,163,ourense,12.0,0.8,0.0,840
OR,2021-01-28,150,ourense,12.2,3.9,0.2,840
OR,2021-01-29,134,ourense,11.8,2.8,13.8,840
OR,2021-01-30,100,ourense,6.1,6.7,25.0,840
OR,2021-01-31,89,ourense,9.0,6.4,4.8,840
OR,2021-02-01,115,ourense,10.0,5.0,0.0,840
OR,2021-02-02,84,ourense,11.4,2.2,20.4,840
OR,2021-02-03,68,ourense,8.2,5.0,1.4,840
OR,2021-02-04,65,ourense,6.2,1.7,0.0,840
OR,2021-02-05,62,ourense,4.9,1.4,18.2,840
OR,2021-02-06,66,ourense,3.4,2.2,1.4,840
OR,2021-02-07,45,ourense,1.6,1.7,19.4,840
OR,2021-02-08,43,ourense,5.2,3.1,22.2,840
OR,2021-02-09,59,ourense,4.8,4.2,33.4,840
OR,2021-02-10,51,ourense,6.4,1.9,4.0,840
OR,2021-02-11,34,ourense,10.6,1.4,22.0,840
OR,2021-02-12,30,ourense,8.5,2.8,1.0,840
OR,2021-02-13,28,ourense,7.4,0.8,0.0,840
OR,2021-02-14,18,ourense,10.0,2.2,0.0,840
OR,2021-02-15,15,ourense,10.6,1.9,0.0,840
OR,2021-02-16,20,ourense,7.8,3.6,6.2,840
OR,2021-02-17,21,ourense,8.6,1.9,18.0,840
OR,2021-02-18,14,ourense,8.8,2.5,6.0,840
OR,2021-02-19,11,ourense,9.4,3.3,0.0,840
OR,2021-02-20,19,ourense,8.7,2.2,18.0,840
OR,2021-02-21,11,ourense,3.9,3.3,6.2,840
OR,2021-02-22,18,ourense,5.4,1.7,0.0,840
OR,2021-02-23,10,ourense,8.0,4.4,0.0,840
OR,2021-02-24,18,ourense,10.6,4.2,3.6,840
OR,2021-02-25,13,ourense,7.4,1.1,2.8,840
OR,2021-02-26,14,ourense,9.2,1.7,0.0,840
OR,2021-02-27,10,ourense,9.7,2.2,0.0,840
OR,2021-02-28,6,ourense,8.2,1.4,0.6,840
