provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
P,2020-12-02,23,palencia,3.2,5.3,0.0,874
P,2020-12-03,69,palencia,0.5,5.6,2.0,874
P,2020-12-04,33,palencia,1.5,8.1,0.0,874
P,2020-12-05,39,palencia,1.3,8.3,0.0,874
P,2020-12-06,58,palencia,2.4,8.9,0.1,874
P,2020-12-07,82,palencia,5.3,11.7,0.0,874
P,2020-12-08,53,palencia,2.8,7.8,0.0,874
P,2020-12-09,30,palencia,1.8,4.7,0.7,874
P,2020-12-10,50,palencia,8.2,9.2,4.8,874
P,2020-12-11,55,palencia,8.9,10.8,1.3,874
P,2020-12-12,45,palencia,6.9,6.1,0.0,874
P,2020-12-13,29,palencia,6.0,4.2,0.0,874
P,2020-12-14,30,palencia,8.4,5.6,4.4,874
P,2020-12-15,56,palencia,5.2,5.0,0.0,874
P,2020-12-16,61,palencia,5.4,6.7,0.2,874
P,2020-12-17,35,palencia,3.5,1.4,0.0,874
P,2020-12-18,53,palencia,2.6,2.2,1.9,874
P,2020-12-19,32,palencia,4.6,4.7,0.4,874
P,2020-12-20,24,palencia,2.8,3.1,0.7,874
P,2020-12-21,28,palencia,7.4,3.9,0.0,874
P,2020-12-22,30,palencia,9.7,2.5,0.0,874
P,2020-12-23,29,palencia,6.6,6.4,0.0,874
P,2020-12-24,24,palencia,3.4,1.4,0.0,874
P,2020-12-25,25,palencia,0.6,4.4,0.0,874
P,2020-12-26,36,palencia,0.0,1.4,0.0,874
P,2020-12-27,33,palencia,0.2,10.0,2.8,874
P,2020-12-28,48,palencia,2.8,9.7,0.0,874
P,2020-12-29,52,palencia,1.4,7.8,0.0,874
P,2020-12-30,47,palencia,0.8,6.1,0.0,874
P,2021-01-31,156,palencia,8.4,9.4,0.0,874
P,2021-02-01,206,palencia,8.6,10.8,0.0,874
P,2021-02-02,150,palencia,9.2,6.9,0.0,874
P,2021-02-03,163,palencia,7.4,6.7,2.6,874
P,2021-02-04,148,palencia,4.7,2.8,5.6,874
P,2021-02-05,128,palencia,7.6,4.7,3.6,874
P,2021-02-06,79,palencia,4.0,4.4,1.6,874
P,2021-02-07,64,palencia,1.9,5.0,1.3,874
P,2021-02-08,87,palencia,4.8,8.6,1.1,874
P,2021-02-09,62,palencia,4.1,7.8,6.1,874
P,2021-02-10,67,palencia,5.4,6.4,0.0,874
P,2021-02-11,43,palencia,8.4,4.4,3.9,874
P,2021-02-12,65,palencia,8.0,6.7,0.0,874
P,2021-02-13,31,palencia,6.3,3.1,0.0,874
P,2021-02-14,29,palencia,6.9,2.5,0.0,874
P,2021-02-15,32,palencia,9.0,2.8,0.0,874
P,2021-02-16,30,palencia,7.3,6.4,1.0,874
P,2021-02-17,28,palencia,7.8,3.9,0.0,874
P,2021-02-18,29,palencia,7.4,6.7,0.6,874
P,2021-02-19,40,palencia,8.6,4.7,0.0,874
P,2021-02-20,23,palencia,8.3,5.6,0.0,874
P,2021-02-21,12,palencia,6.5,3.9,11.1,874
P,2021-02-22,17,palencia,5.0,2.5,0.0,874
P,2021-02-23,9,palencia,5.6,3.3,0.0,874
P,2021-02-24,11,palencia,8.2,4.4,0.0,874
P,2021-02-25,16,palencia,8.3,1.9,0.0,874
P,2021-02-26,13,palencia,8.8,5.0,0.0,874
P,2021-02-27,13,palencia,7.3,6.7,0.0,874
P,2021-02-28,11,palencia,5.5,3.9,0.0,874
