provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
PO,2020-12-02,127,pontevedra,10.9,1.9,0.0,108
PO,2020-12-03,136,pontevedra,7.8,2.5,14.8,108
PO,2020-12-04,114,pontevedra,5.9,1.4,13.0,108
PO,2020-12-05,122,pontevedra,5.6,2.2,5.6,108
PO,2020-12-06,111,pontevedra,7.3,0.6,12.0,108
PO,2020-12-07,149,pontevedra,10.5,4.2,18.6,108
PO,2020-12-08,114,pontevedra,7.8,1.1,3.4,108
PO,2020-12-09,142,pontevedra,8.4,1.9,44.0,108
PO,2020-12-10,178,pontevedra,13.3,1.4,58.8,108
PO,2020-12-11,155,pontevedra,13.2,5.0,12.4,108
PO,2020-12-12,116,pontevedra,12.1,1.4,5.6,108
PO,2020-12-13,149,pontevedra,13.7,4.7,6.4,108
PO,2020-12-14,203,pontevedra,10.8,1.9,8.2,108
PO,2020-12-15,187,pontevedra,9.7,3.3,82.2,108
PO,2020-12-16,159,pontevedra,10.0,0.8,2.2,108
PO,2020-12-17,142,pontevedra,10.0,1.9,0.2,108
PO,2020-12-18,139,pontevedra,11.7,5.0,17.0,108
PO,2020-12-19,135,pontevedra,12.2,2.5,3.2,108
PO,2020-12-20,110,pontevedra,11.6,2.8,57.8,108
PO,2020-12-21,137,pontevedra,14.1,2.2,7.6,108
PO,2020-12-22,136,pontevedra,14.0,5.0,30.8,108
PO,2020-12-23,160,pontevedra,9.2,1.7,0.4,108
PO,2020-12-24,122,pontevedra,7.2,2.5,0.0,108
PO,2020-12-25,122,pontevedra,7.8,2.5,0.0,108
PO,2020-12-26,146,pontevedra,6.2,1.4,0.0,108
PO,2020-12-27,120,pontevedra,6.6,4.4,19.6,108
PO,2020-12-28,160,pontevedra,7.6,2.8,10.6,108
PO,2020-12-29,166,pontevedra,6.1,1.7,0.6,108
PO,2020-12-30,156,pontevedra,5.2,1.4,13.4,108
PO,2020-12-31,135,pontevedra,6.8,1.7,5.8,108
PO,2021-01-01,139,pontevedra,4.7,0.8,9.0,108
PO,2021-01-02,144,pontevedra,5.1,0.6,0.0,108
PO,2021-01-03,191,pontevedra,5.2,1.1,1.2,108
PO,2021-01-04,188,pontevedra,4.3,1.7,0.0,108
PO,2021-01-05,234,pontevedra,3.9,1.9,0.0,108
PO,2021-01-06,220,pontevedra,4.4,1.1,0.0,108
PO,2021-01-07,235,pontevedra,4.2,1.4,0.0,108
PO,2021-01-08,270,pontevedra,3.9,2.5,0.0,108
PO,2021-01-09,257,pontevedra,4.6,3.6,0.0,108
PO,2021-01-10,278,pontevedra,7.6,3.9,0.0,108
PO,2021-01-11,422,pontevedra,7.0,1.9,0.0,108
PO,2021-01-12,378,pontevedra,5.8,1.1,0.0,108
PO,2021-01-13,418,pontevedra,5.3,1.4,0.0,108
PO,2021-01-14,418,pontevedra,7.6,0.8,0.0,108
PO,2021-01-15,459,pontevedra,8.2,1.4,0.0,108
PO,2021-01-16,451,pontevedra,6.0,1.4,0.0,108
PO,2021-01-17,418,pontevedra,8.8,2.2,0.0,108
PO,2021-01-18,550,pontevedra,9.6,1.4,0.0,108
PO,2021-01-19,546,pontevedra,8.8,2.8,28.6,108
PO,2021-01-20,515,pontevedra,11.2,4.7,35.6,108
PO,2021-01-21,556,pontevedra,12.0,5.0,38.0,108
PO,2021-01-22,539,pontevedra,10.4,1.7,9.4,108
PO,2021-01-23,472,pontevedra,11.4,5.6,19.0,108
PO,2021-01-24,432,pontevedra,10.8,1.4,22.6,108
PO,2021-01-25,535,pontevedra,12.2,2.8,14.8,108
PO,2021-01-26,430,pontevedra,13.3,1.1,15.3,108
PO,2021-01-27,456,pontevedra,13.6,0.8,2.0,108
PO,2021-01-28,437,pontevedra,13.3,2.8,5.6,108
PO,2021-01-29,417,pontevedra,12.6,3.6,13.0,108
PO,2021-01-30,372,pontevedra,11.0,5.8,30.0,108
PO,2021-01-31,309,pontevedra,12.2,3.1,17.0,108
PO,2021-02-01,330,pontevedra,12.6,2.8,10.8,108
PO,2021-02-02,305,pontevedra,12.8,3.9,40.8,108
PO,2021-02-03,263,pontevedra,12.2,3.6,9.4,108
PO,2021-02-04,238,pontevedra,10.8,0.8,1.6,108
PO,2021-02-05,237,pontevedra,8.8,2.5,0.2,108
PO,2021-02-06,159,pontevedra,7.6,3.1,0.0,108
PO,2021-02-07,140,pontevedra,6.8,2.5,36.0,108
