provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SA,2020-12-02,32,salamanca,4.6,1.7,0.0,775
SA,2020-12-03,23,salamanca,4.8,2.8,4.2,775
SA,2020-12-04,14,salamanca,4.4,3.6,0.0,775
SA,2020-12-05,14,salamanca,3.8,3.6,0.0,775
SA,2020-12-06,19,salamanca,4.0,3.1,0.6,775
SA,2020-12-07,14,salamanca,7.4,5.6,17.8,775
SA,2020-12-08,17,salamanca,5.4,3.1,0.0,775
SA,2020-12-09,16,salamanca,4.5,1.7,1.1,775
SA,2020-12-10,28,salamanca,10.8,2.8,4.1,775
SA,2020-12-11,23,salamanca,11.6,5.0,1.1,775
SA,2020-12-12,21,salamanca,10.2,3.3,0.0,775
SA,2020-12-13,10,salamanca,10.3,1.4,0.0,775
SA,2020-12-14,42,salamanca,10.8,1.7,3.9,775
SA,2020-12-15,28,salamanca,8.5,2.5,0.0,775
SA,2020-12-16,35,salamanca,8.0,2.5,0.5,775
SA,2020-12-17,15,salamanca,6.6,0.6,0.0,775
SA,2020-12-18,15,salamanca,6.2,1.9,3.3,775
SA,2020-12-19,14,salamanca,8.2,1.9,1.4,775
SA,2020-12-20,18,salamanca,8.4,0.8,0.1,775
SA,2020-12-21,24,salamanca,11.0,1.1,0.0,775
SA,2020-12-22,27,salamanca,12.2,1.1,0.1,775
SA,2020-12-23,20,salamanca,9.8,2.2,1.2,775
SA,2020-12-24,25,salamanca,5.2,1.7,0.0,775
SA,2020-12-25,28,salamanca,3.4,1.9,0.0,775
SA,2020-12-26,29,salamanca,2.2,1.9,0.0,775
SA,2020-12-27,37,salamanca,2.6,3.3,3.9,775
SA,2020-12-28,42,salamanca,5.0,4.2,0.0,775
SA,2020-12-29,58,salamanca,3.5,3.9,0.0,775
SA,2020-12-30,50,salamanca,2.7,1.7,0.0,775
SA,2020-12-31,54,salamanca,5.0,4.2,0.0,775
SA,2021-01-01,96,salamanca,3.0,2.5,0.0,775
SA,2021-01-02,89,salamanca,1.8,1.4,0.0,775
SA,2021-01-03,121,salamanca,1.6,2.5,0.0,775
SA,2021-01-04,142,salamanca,1.7,2.2,0.0,775
SA,2021-01-05,147,salamanca,0.4,0.8,0.0,775
SA,2021-01-06,145,salamanca,0.1,1.4,0.0,775
SA,2021-01-07,182,salamanca,1.1,1.4,0.0,775
SA,2021-01-08,208,salamanca,-1.5,2.5,1.1,775
SA,2021-01-09,245,salamanca,-1.2,3.1,1.1,775
SA,2021-01-10,206,salamanca,0.6,3.1,0.0,775
SA,2021-01-11,373,salamanca,-0.6,1.9,0.0,775
SA,2021-01-12,351,salamanca,-0.7,1.1,0.0,775
SA,2021-01-13,350,salamanca,0.2,1.1,0.0,775
SA,2021-01-14,399,salamanca,0.0,1.1,0.0,775
SA,2021-01-15,400,salamanca,0.3,1.4,0.0,775
SA,2021-01-16,324,salamanca,2.1,0.8,0.0,775
SA,2021-01-17,326,salamanca,1.7,0.8,0.0,775
SA,2021-01-18,433,salamanca,4.2,1.1,0.0,775
SA,2021-01-19,389,salamanca,4.4,1.4,0.0,775
SA,2021-01-20,410,salamanca,8.8,5.3,13.2,775
SA,2021-01-21,375,salamanca,10.2,5.0,5.3,775
SA,2021-01-22,395,salamanca,8.2,5.0,0.8,775
SA,2021-01-23,392,salamanca,8.0,5.6,3.1,775
SA,2021-01-24,270,salamanca,8.2,3.1,0.2,775
SA,2021-01-25,433,salamanca,10.4,4.4,2.4,775
SA,2021-01-26,307,salamanca,12.6,2.2,0.1,775
SA,2021-01-27,309,salamanca,12.6,2.2,0.1,775
SA,2021-01-28,272,salamanca,12.4,2.2,0.0,775
SA,2021-01-29,311,salamanca,13.3,2.2,6.6,775
SA,2021-01-30,176,salamanca,8.6,5.6,0.5,775
SA,2021-01-31,145,salamanca,10.5,4.4,0.5,775
SA,2021-02-01,180,salamanca,10.8,3.1,0.1,775
SA,2021-02-02,203,salamanca,11.6,3.3,0.1,775
SA,2021-02-03,207,salamanca,10.8,3.6,3.4,775
SA,2021-02-04,147,salamanca,7.4,1.7,22.0,775
SA,2021-02-05,132,salamanca,8.9,0.6,8.1,775
SA,2021-02-06,111,salamanca,7.8,0.8,1.0,775
SA,2021-02-07,56,salamanca,5.6,1.9,9.4,775
SA,2021-02-08,84,salamanca,7.3,4.4,3.7,775
SA,2021-02-09,113,salamanca,6.2,3.6,19.4,775
SA,2021-02-10,88,salamanca,9.4,3.3,0.2,775
SA,2021-02-11,66,salamanca,12.4,2.5,5.8,775
SA,2021-02-12,68,salamanca,10.2,2.5,0.0,775
SA,2021-02-13,75,salamanca,9.4,1.1,0.0,775
SA,2021-02-14,37,salamanca,10.7,1.7,0.0,775
SA,2021-02-15,43,salamanca,11.4,1.4,0.0,775
SA,2021-02-16,39,salamanca,12.2,2.8,0.0,775
SA,2021-02-17,37,salamanca,12.0,2.2,0.0,775
SA,2021-02-18,30,salamanca,11.5,3.9,0.1,775
SA,2021-02-19,45,salamanca,11.4,3.6,0.0,775
SA,2021-02-20,49,salamanca,11.9,3.3,0.0,775
SA,2021-02-21,22,salamanca,9.0,1.9,7.4,775
SA,2021-02-22,36,salamanca,7.0,1.4,0.0,775
SA,2021-02-23,32,salamanca,8.2,1.9,0.0,775
SA,2021-02-24,20,salamanca,9.4,1.1,0.0,775
SA,2021-02-25,27,salamanca,10.0,1.7,0.0,775
SA,2021-02-26,36,salamanca,12.4,1.7,0.0,775
SA,2021-02-27,23,salamanca,10.9,1.7,0.0,775
SA,2021-02-28,12,salamanca,8.2,0.8,2.3,775
