provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TF,2020-12-02,125,santaCruzDeTenerife,19.4,3.3,0.0,115
TF,2020-12-03,128,santaCruzDeTenerife,19.2,3.3,21.4,115
TF,2020-12-04,201,santaCruzDeTenerife,17.6,2.2,0.0,115
TF,2020-12-05,134,santaCruzDeTenerife,18.4,6.7,0.0,115
TF,2020-12-06,158,santaCruzDeTenerife,17.1,8.3,0.0,115
TF,2020-12-07,161,santaCruzDeTenerife,18.0,5.8,0.2,115
TF,2020-12-08,116,santaCruzDeTenerife,18.4,6.1,0.0,115
TF,2020-12-09,156,santaCruzDeTenerife,18.8,8.3,0.0,115
TF,2020-12-10,165,santaCruzDeTenerife,19.1,7.5,0.0,115
TF,2020-12-11,178,santaCruzDeTenerife,18.6,5.6,0.0,115
TF,2020-12-12,197,santaCruzDeTenerife,19.0,4.7,0.0,115
TF,2020-12-13,140,santaCruzDeTenerife,18.0,3.6,0.0,115
TF,2020-12-14,155,santaCruzDeTenerife,18.1,2.8,0.0,115
TF,2020-12-15,213,santaCruzDeTenerife,17.8,3.6,0.0,115
TF,2020-12-16,164,santaCruzDeTenerife,17.6,2.5,0.0,115
TF,2020-12-17,177,santaCruzDeTenerife,18.3,7.8,0.0,115
TF,2020-12-18,152,santaCruzDeTenerife,16.8,3.3,0.0,115
TF,2020-12-19,179,santaCruzDeTenerife,16.9,2.8,0.0,115
TF,2020-12-20,123,santaCruzDeTenerife,18.0,3.6,1.6,115
TF,2020-12-21,98,santaCruzDeTenerife,18.4,3.3,0.0,115
TF,2020-12-22,121,santaCruzDeTenerife,17.5,2.5,0.0,115
TF,2020-12-23,104,santaCruzDeTenerife,17.8,5.6,0.0,115
TF,2020-12-24,130,santaCruzDeTenerife,18.4,4.2,0.0,115
TF,2020-12-25,124,santaCruzDeTenerife,18.6,3.3,0.0,115
TF,2020-12-26,112,santaCruzDeTenerife,18.6,3.9,4.0,115
TF,2020-12-27,120,santaCruzDeTenerife,18.6,2.2,0.0,115
TF,2020-12-28,188,santaCruzDeTenerife,17.4,3.3,0.0,115
TF,2020-12-29,115,santaCruzDeTenerife,17.4,3.3,0.0,115
TF,2020-12-30,115,santaCruzDeTenerife,16.7,3.1,3.4,115
TF,2020-12-31,131,santaCruzDeTenerife,16.3,5.3,0.0,115
TF,2021-01-01,104,santaCruzDeTenerife,16.8,5.6,0.0,115
TF,2021-01-02,94,santaCruzDeTenerife,16.6,2.5,0.4,115
TF,2021-01-03,71,santaCruzDeTenerife,16.1,1.4,0.0,115
TF,2021-01-04,103,santaCruzDeTenerife,17.0,4.2,0.0,115
TF,2021-01-05,73,santaCruzDeTenerife,19.2,2.5,0.0,115
TF,2021-01-06,84,santaCruzDeTenerife,19.5,2.5,0.2,115
TF,2021-01-07,72,santaCruzDeTenerife,19.6,2.2,5.0,115
TF,2021-01-08,72,santaCruzDeTenerife,16.2,4.2,8.8,115
TF,2021-01-09,76,santaCruzDeTenerife,14.0,4.2,2.0,115
TF,2021-01-10,79,santaCruzDeTenerife,15.8,3.6,0.0,115
TF,2021-01-11,73,santaCruzDeTenerife,16.8,4.7,0.0,115
