provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SG,2021-02-01,96,segovia,2.6,4.4,2.0,1798
SG,2021-02-02,86,segovia,5.8,6.4,0.0,1798
SG,2021-02-03,97,segovia,5.1,8.1,7.8,1798
SG,2021-02-04,77,segovia,4.0,5.8,0.4,1798
SG,2021-02-05,83,segovia,5.4,3.1,8.6,1798
SG,2021-02-06,48,segovia,-0.2,3.9,13.8,1798
SG,2021-02-07,42,segovia,-1.7,2.8,17.8,1798
SG,2021-02-08,65,segovia,-0.2,5.8,18.4,1798
SG,2021-02-09,56,segovia,-0.9,10.6,20.4,1798
SG,2021-02-10,41,segovia,-1.4,3.9,20.6,1798
SG,2021-02-11,33,segovia,3.0,4.2,15.0,1798
SG,2021-02-12,35,segovia,2.6,5.6,7.2,1798
SG,2021-02-13,31,segovia,1.7,3.1,0.0,1798
SG,2021-02-14,19,segovia,7.0,1.1,0.0,1798
SG,2021-02-15,31,segovia,6.8,7.5,0.0,1798
SG,2021-02-16,22,segovia,7.0,5.6,0.0,1798
SG,2021-02-17,20,segovia,5.9,5.0,0.0,1798
SG,2021-02-18,14,segovia,4.8,6.7,0.0,1798
SG,2021-02-19,22,segovia,4.0,9.7,0.0,1798
SG,2021-02-20,11,segovia,4.6,7.8,0.0,1798
SG,2021-02-21,15,segovia,1.2,5.3,12.0,1798
SG,2021-02-22,13,segovia,-2.2,1.9,7.4,1798
SG,2021-02-23,20,segovia,0.3,6.7,8.0,1798
SG,2021-02-24,16,segovia,3.6,9.7,0.4,1798
SG,2021-02-25,11,segovia,5.3,4.4,0.0,1798
SG,2021-02-26,16,segovia,6.2,7.2,0.0,1798
SG,2021-02-27,7,segovia,7.8,3.6,0.0,1798
SG,2021-02-28,13,segovia,2.2,8.3,0.2,1798
