provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SE,2020-12-02,174,sevilla,9.3,0.6,0.1,550
SE,2020-12-03,162,sevilla,8.2,1.1,0.0,550
SE,2020-12-04,152,sevilla,6.0,3.6,7.1,550
SE,2020-12-05,144,sevilla,4.6,2.2,0.0,550
SE,2020-12-10,179,sevilla,11.8,2.8,1.5,550
SE,2020-12-11,197,sevilla,14.9,4.4,0.2,550
SE,2020-12-12,169,sevilla,15.0,4.2,0.0,550
SE,2020-12-13,85,sevilla,12.2,0.8,0.0,550
SE,2020-12-14,149,sevilla,10.6,1.1,2.7,550
SE,2020-12-15,179,sevilla,8.5,1.1,0.1,550
SE,2020-12-16,150,sevilla,8.8,1.7,6.8,550
SE,2020-12-17,136,sevilla,8.4,1.1,0.1,550
SE,2020-12-18,140,sevilla,7.6,1.1,0.1,550
SE,2020-12-19,107,sevilla,9.4,1.7,12.2,550
SE,2020-12-20,74,sevilla,9.6,1.1,0.0,550
SE,2020-12-21,132,sevilla,10.6,1.4,0.1,550
SE,2020-12-22,192,sevilla,12.2,1.4,0.0,550
SE,2020-12-23,205,sevilla,8.9,0.3,0.0,550
SE,2020-12-24,188,sevilla,10.4,0.6,0.1,550
SE,2020-12-25,117,sevilla,8.5,3.1,0.0,550
SE,2020-12-26,135,sevilla,5.7,3.1,0.0,550
SE,2020-12-27,171,sevilla,4.8,1.4,0.3,550
SE,2020-12-28,226,sevilla,6.1,3.3,2.2,550
SE,2020-12-29,229,sevilla,4.8,1.9,0.2,550
SE,2020-12-30,278,sevilla,4.4,1.4,0.0,550
SE,2020-12-31,271,sevilla,3.2,1.9,2.3,550
SE,2021-01-01,241,sevilla,5.4,3.9,0.0,550
SE,2021-01-02,284,sevilla,4.4,1.7,0.0,550
SE,2021-01-03,263,sevilla,2.7,1.4,0.0,550
SE,2021-01-04,535,sevilla,2.2,1.9,0.5,550
SE,2021-01-05,558,sevilla,3.4,1.1,0.1,550
SE,2021-01-06,437,sevilla,3.4,1.7,6.0,550
SE,2021-01-07,609,sevilla,4.4,3.1,1.1,550
SE,2021-01-08,811,sevilla,3.2,2.8,45.1,550
SE,2021-01-09,737,sevilla,3.4,1.4,1.3,550
SE,2021-01-10,576,sevilla,4.3,1.4,0.0,550
SE,2021-01-11,896,sevilla,4.0,1.4,0.1,550
SE,2021-01-12,1124,sevilla,4.0,1.4,0.0,550
SE,2021-01-13,1063,sevilla,5.2,1.1,0.0,550
SE,2021-01-14,1099,sevilla,5.2,1.4,0.0,550
SE,2021-01-15,1360,sevilla,6.2,1.1,0.0,550
SE,2021-01-16,955,sevilla,7.6,1.9,0.0,550
SE,2021-01-17,734,sevilla,9.0,1.7,0.0,550
SE,2021-01-18,1198,sevilla,8.2,1.1,0.0,550
SE,2021-01-19,1189,sevilla,5.4,1.7,0.4,550
SE,2021-01-20,1388,sevilla,9.4,1.7,31.2,550
SE,2021-01-21,1332,sevilla,10.5,2.5,18.0,550
SE,2021-01-22,1598,sevilla,9.1,6.1,0.0,550
SE,2021-01-23,1225,sevilla,7.8,2.5,4.6,550
SE,2021-01-24,679,sevilla,10.2,2.5,0.1,550
SE,2021-01-25,1137,sevilla,11.4,2.8,1.2,550
SE,2021-01-26,1370,sevilla,11.6,1.1,1.3,550
SE,2021-01-27,1455,sevilla,13.0,1.1,0.1,550
SE,2021-01-28,1378,sevilla,14.6,1.4,0.1,550
SE,2021-01-29,1157,sevilla,11.4,1.7,0.3,550
SE,2021-01-30,815,sevilla,11.2,3.1,1.5,550
SE,2021-01-31,448,sevilla,9.9,3.6,2.3,550
SE,2021-02-01,837,sevilla,11.2,0.8,0.1,550
SE,2021-02-02,896,sevilla,9.2,0.8,0.0,550
SE,2021-02-03,838,sevilla,9.5,0.8,1.1,550
SE,2021-02-04,687,sevilla,11.6,1.1,0.1,550
SE,2021-02-05,725,sevilla,10.8,1.9,18.9,550
SE,2021-02-06,548,sevilla,8.2,2.2,5.4,550
SE,2021-02-07,333,sevilla,9.4,2.8,13.5,550
SE,2021-02-08,512,sevilla,9.4,3.9,1.1,550
SE,2021-02-09,618,sevilla,9.3,3.6,17.0,550
SE,2021-02-10,533,sevilla,11.6,3.3,5.6,550
SE,2021-02-11,450,sevilla,12.6,1.4,4.5,550
SE,2021-02-12,498,sevilla,11.8,1.7,0.0,550
SE,2021-02-13,243,sevilla,10.5,1.1,0.0,550
SE,2021-02-14,201,sevilla,11.0,2.2,0.0,550
SE,2021-02-15,301,sevilla,10.7,2.8,0.0,550
SE,2021-02-16,319,sevilla,10.3,0.6,0.0,550
SE,2021-02-17,345,sevilla,12.6,0.8,0.0,550
SE,2021-02-18,249,sevilla,10.6,1.1,0.1,550
SE,2021-02-19,219,sevilla,10.9,0.8,0.0,550
SE,2021-02-20,157,sevilla,13.3,0.6,0.1,550
SE,2021-02-21,135,sevilla,8.7,2.5,11.6,550
SE,2021-02-22,238,sevilla,7.1,1.1,0.0,550
SE,2021-02-23,241,sevilla,8.2,1.9,0.0,550
SE,2021-02-24,190,sevilla,10.1,3.3,0.0,550
SE,2021-02-25,190,sevilla,10.5,1.7,0.1,550
SE,2021-02-26,211,sevilla,11.0,0.8,0.0,550
SE,2021-02-27,173,sevilla,9.7,0.8,0.0,550
SE,2021-02-28,141,sevilla,10.6,2.2,0.5,550
