provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
SO,2020-12-02,9,soria,2.2,2.2,0.0,1082
SO,2020-12-03,10,soria,2.3,2.2,3.2,1082
SO,2020-12-04,14,soria,2.2,5.0,0.0,1082
SO,2020-12-05,4,soria,0.3,4.7,0.0,1082
SO,2020-12-06,1,soria,1.1,4.4,5.2,1082
SO,2020-12-07,8,soria,4.2,5.8,5.8,1082
SO,2020-12-08,12,soria,3.4,4.4,0.0,1082
SO,2020-12-09,15,soria,3.4,3.6,3.2,1082
SO,2020-12-10,13,soria,6.7,2.5,5.2,1082
SO,2020-12-11,8,soria,9.6,4.7,4.4,1082
SO,2020-12-12,8,soria,7.8,3.9,0.0,1082
SO,2020-12-13,3,soria,8.2,2.2,0.0,1082
SO,2020-12-14,7,soria,8.8,1.4,2.4,1082
SO,2020-12-15,2,soria,4.6,3.1,0.2,1082
SO,2020-12-16,6,soria,4.2,2.8,0.0,1082
SO,2020-12-17,5,soria,5.9,1.9,0.0,1082
SO,2020-12-18,1,soria,2.0,0.8,0.0,1082
SO,2020-12-19,5,soria,4.6,1.7,2.0,1082
SO,2020-12-20,2,soria,5.0,1.9,0.4,1082
SO,2020-12-21,5,soria,6.9,3.9,0.0,1082
SO,2020-12-22,7,soria,9.7,1.1,0.2,1082
SO,2020-12-23,7,soria,5.6,1.4,2.2,1082
SO,2020-12-24,14,soria,3.0,1.7,0.0,1082
SO,2020-12-25,4,soria,1.2,2.5,0.2,1082
SO,2020-12-26,4,soria,1.6,2.8,0.0,1082
SO,2020-12-27,12,soria,1.2,4.7,10.6,1082
SO,2020-12-28,12,soria,2.4,5.8,0.0,1082
SO,2020-12-29,15,soria,1.5,5.3,0.2,1082
SO,2020-12-30,11,soria,0.0,4.4,0.0,1082
SO,2020-12-31,15,soria,1.2,3.6,9.0,1082
SO,2021-01-01,19,soria,-1.7,2.5,1.4,1082
SO,2021-01-02,15,soria,-1.2,2.2,1.2,1082
SO,2021-01-03,25,soria,-1.0,2.8,0.6,1082
SO,2021-01-04,28,soria,-2.2,3.3,0.0,1082
SO,2021-01-05,30,soria,-2.0,2.5,0.0,1082
SO,2021-01-06,26,soria,-1.9,0.6,0.0,1082
SO,2021-01-07,24,soria,-3.8,1.4,0.0,1082
SO,2021-01-08,51,soria,-5.7,1.1,10.6,1082
SO,2021-01-09,26,soria,-3.2,3.3,12.4,1082
SO,2021-01-10,30,soria,-2.6,3.1,0.4,1082
SO,2021-01-11,61,soria,-1.6,1.7,0.0,1082
SO,2021-01-12,71,soria,-1.6,1.7,0.0,1082
SO,2021-01-13,60,soria,-0.8,1.1,0.0,1082
SO,2021-01-14,55,soria,-0.4,1.1,0.0,1082
SO,2021-01-15,82,soria,0.7,1.9,0.0,1082
SO,2021-01-16,70,soria,2.4,1.1,0.0,1082
SO,2021-01-17,71,soria,4.8,1.1,0.0,1082
SO,2021-01-18,73,soria,3.5,1.4,0.0,1082
SO,2021-01-19,68,soria,1.4,1.4,0.0,1082
SO,2021-01-20,89,soria,2.0,3.9,4.6,1082
SO,2021-01-21,62,soria,5.6,5.3,15.6,1082
SO,2021-01-22,77,soria,5.0,6.7,1.6,1082
SO,2021-01-23,74,soria,5.0,4.7,13.4,1082
SO,2021-01-24,68,soria,5.5,4.7,4.2,1082
SO,2021-01-25,91,soria,5.0,1.9,9.4,1082
SO,2021-01-26,79,soria,4.0,1.9,0.0,1082
SO,2021-01-27,73,soria,12.3,3.1,0.0,1082
SO,2021-01-28,78,soria,12.1,3.3,0.0,1082
SO,2021-01-29,73,soria,8.8,4.2,3.4,1082
SO,2021-01-30,82,soria,6.2,7.5,3.6,1082
SO,2021-01-31,71,soria,6.8,6.1,0.2,1082
SO,2021-02-01,81,soria,8.2,5.6,0.0,1082
SO,2021-02-02,69,soria,9.5,3.6,0.0,1082
SO,2021-02-03,55,soria,8.2,3.9,5.4,1082
SO,2021-02-04,57,soria,10.2,1.9,0.0,1082
SO,2021-02-05,43,soria,10.1,1.9,2.8,1082
SO,2021-02-06,41,soria,6.2,2.5,0.6,1082
SO,2021-02-07,38,soria,3.0,2.5,4.8,1082
SO,2021-02-08,36,soria,4.0,4.4,6.0,1082
SO,2021-02-09,39,soria,3.2,3.9,17.2,1082
SO,2021-02-10,41,soria,4.4,4.4,0.0,1082
SO,2021-02-11,43,soria,7.8,2.8,2.6,1082
SO,2021-02-12,34,soria,6.8,3.3,1.0,1082
SO,2021-02-13,33,soria,6.6,2.5,0.0,1082
SO,2021-02-14,26,soria,6.9,1.4,0.0,1082
SO,2021-02-15,29,soria,8.6,1.9,0.0,1082
SO,2021-02-16,34,soria,7.6,1.4,0.0,1082
SO,2021-02-17,29,soria,9.0,1.9,0.0,1082
SO,2021-02-18,44,soria,8.8,3.1,0.0,1082
SO,2021-02-19,20,soria,8.9,3.6,0.0,1082
SO,2021-02-20,21,soria,9.7,2.8,0.0,1082
SO,2021-02-21,19,soria,7.8,3.3,10.8,1082
SO,2021-02-22,25,soria,3.6,1.1,2.2,1082
SO,2021-02-23,14,soria,7.6,1.7,0.0,1082
SO,2021-02-24,24,soria,8.8,2.2,0.0,1082
SO,2021-02-25,21,soria,7.5,0.8,0.0,1082
SO,2021-02-26,19,soria,9.6,1.7,0.0,1082
SO,2021-02-27,16,soria,8.5,1.4,0.0,1082
SO,2021-02-28,21,soria,4.2,2.2,0.6,1082
