provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
T,2020-12-02,101,tarragona,9.1,5.0,0.0,71
T,2020-12-03,85,tarragona,7.3,2.2,0.0,71
T,2020-12-04,106,tarragona,6.4,4.4,0.0,71
T,2020-12-05,76,tarragona,5.7,5.6,0.0,71
T,2020-12-06,45,tarragona,10.4,9.2,0.0,71
T,2020-12-07,109,tarragona,10.0,2.2,0.0,71
T,2020-12-08,76,tarragona,7.2,9.4,0.0,71
T,2020-12-09,178,tarragona,10.0,10.3,0.0,71
T,2020-12-10,150,tarragona,12.2,7.2,2.0,71
T,2020-12-11,144,tarragona,12.1,2.8,2.5,71
T,2020-12-12,118,tarragona,13.5,11.9,0.0,71
T,2020-12-13,84,tarragona,10.4,1.9,0.0,71
T,2020-12-14,177,tarragona,10.5,2.2,0.0,71
T,2020-12-15,155,tarragona,12.6,3.3,0.0,71
T,2020-12-16,178,tarragona,10.3,2.2,0.0,71
T,2020-12-17,157,tarragona,12.0,2.2,0.9,71
T,2020-12-18,195,tarragona,13.4,1.4,0.0,71
T,2020-12-19,162,tarragona,11.4,0.8,0.0,71
T,2020-12-20,131,tarragona,11.6,1.4,0.0,71
T,2020-12-21,180,tarragona,10.4,3.9,0.0,71
T,2020-12-22,234,tarragona,11.2,1.7,0.0,71
T,2020-12-23,220,tarragona,11.1,1.9,0.0,71
T,2020-12-24,209,tarragona,10.3,2.8,0.0,71
T,2020-12-25,171,tarragona,8.2,6.7,0.0,71
T,2020-12-26,171,tarragona,8.4,5.0,0.0,71
T,2020-12-27,214,tarragona,5.0,3.1,0.0,71
T,2020-12-28,380,tarragona,8.3,8.6,0.0,71
T,2020-12-29,369,tarragona,9.6,5.3,0.0,71
T,2020-12-30,404,tarragona,8.6,11.1,0.0,71
T,2020-12-31,362,tarragona,9.0,4.4,0.0,71
T,2021-01-01,230,tarragona,7.0,1.7,0.4,71
T,2021-01-02,302,tarragona,6.8,6.1,0.0,71
T,2021-01-03,279,tarragona,6.6,5.6,0.0,71
T,2021-01-04,361,tarragona,4.9,3.9,0.0,71
T,2021-01-05,444,tarragona,4.0,1.1,0.0,71
T,2021-01-06,313,tarragona,2.8,2.2,0.0,71
T,2021-01-07,434,tarragona,3.6,1.9,0.0,71
T,2021-01-08,476,tarragona,1.7,1.7,7.8,71
T,2021-01-09,378,tarragona,4.0,5.0,22.7,71
T,2021-01-10,322,tarragona,4.4,2.2,3.9,71
T,2021-01-11,558,tarragona,2.0,3.3,0.0,71
T,2021-01-12,544,tarragona,2.4,4.4,0.0,71
T,2021-01-13,550,tarragona,6.2,3.9,0.0,71
T,2021-01-14,460,tarragona,5.8,4.4,0.0,71
T,2021-01-15,506,tarragona,8.3,7.2,0.0,71
T,2021-01-16,336,tarragona,6.2,3.1,0.0,71
T,2021-01-17,256,tarragona,10.2,6.1,0.0,71
T,2021-01-18,560,tarragona,9.6,3.3,0.0,71
T,2021-01-19,557,tarragona,8.2,2.8,0.0,71
T,2021-01-20,467,tarragona,9.6,2.5,0.0,71
T,2021-01-21,383,tarragona,10.2,2.2,0.0,71
T,2021-01-22,402,tarragona,10.8,10.6,4.6,71
T,2021-01-23,318,tarragona,11.6,7.2,0.2,71
T,2021-01-24,232,tarragona,11.6,9.4,0.0,71
T,2021-01-25,347,tarragona,11.2,4.2,0.0,71
T,2021-01-26,301,tarragona,9.0,4.7,0.0,71
T,2021-01-27,272,tarragona,13.0,2.5,0.0,71
T,2021-01-28,285,tarragona,17.0,6.4,0.0,71
T,2021-01-29,243,tarragona,18.2,7.5,0.0,71
T,2021-01-30,188,tarragona,14.5,5.0,0.0,71
T,2021-01-31,129,tarragona,14.4,10.3,0.0,71
T,2021-02-01,222,tarragona,17.1,14.4,0.0,71
T,2021-02-02,201,tarragona,15.0,5.6,0.0,71
T,2021-02-03,171,tarragona,14.4,2.5,0.0,71
T,2021-02-04,133,tarragona,11.5,2.5,0.0,71
T,2021-02-05,138,tarragona,12.6,3.3,0.0,71
T,2021-02-06,96,tarragona,14.0,3.6,0.0,71
T,2021-02-07,97,tarragona,10.8,7.2,0.0,71
T,2021-02-08,119,tarragona,11.6,1.9,2.4,71
T,2021-02-09,100,tarragona,11.2,3.1,0.9,71
T,2021-02-10,105,tarragona,11.0,5.6,0.6,71
T,2021-02-11,113,tarragona,12.8,4.4,0.0,71
T,2021-02-12,100,tarragona,12.6,4.7,0.0,71
T,2021-02-13,88,tarragona,12.8,3.1,0.0,71
T,2021-02-14,55,tarragona,9.5,4.4,0.9,71
T,2021-02-15,103,tarragona,9.3,0.6,0.0,71
T,2021-02-16,97,tarragona,10.8,3.1,0.0,71
T,2021-02-17,90,tarragona,11.2,2.2,0.0,71
T,2021-02-18,69,tarragona,11.0,2.2,0.0,71
T,2021-02-19,87,tarragona,9.0,1.9,0.0,71
T,2021-02-20,58,tarragona,10.4,2.5,0.0,71
T,2021-02-21,50,tarragona,11.0,8.1,1.3,71
T,2021-02-22,78,tarragona,12.2,3.6,5.2,71
T,2021-02-23,63,tarragona,12.5,2.8,0.0,71
T,2021-02-24,56,tarragona,13.7,1.9,0.0,71
T,2021-02-25,77,tarragona,12.3,2.2,0.0,71
T,2021-02-26,66,tarragona,10.6,2.5,0.0,71
T,2021-02-27,48,tarragona,11.9,3.1,0.0,71
T,2021-02-28,42,tarragona,12.4,3.6,0.0,71
