provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TE,2020-12-02,43,teruel,7.4,5.0,0.0,334
TE,2020-12-03,25,teruel,8.4,0.6,0.2,334
TE,2020-12-04,21,teruel,5.4,3.3,0.1,334
TE,2020-12-05,39,teruel,4.6,3.3,0.1,334
TE,2020-12-06,20,teruel,5.9,4.4,2.8,334
TE,2020-12-07,23,teruel,7.0,3.6,2.5,334
TE,2020-12-08,37,teruel,7.0,6.1,0.0,334
TE,2020-12-09,41,teruel,7.2,5.6,2.0,334
TE,2020-12-10,29,teruel,8.8,1.4,4.6,334
TE,2020-12-11,42,teruel,10.7,1.4,1.2,334
TE,2020-12-12,21,teruel,9.7,3.9,0.0,334
TE,2020-12-13,12,teruel,10.6,0.8,0.0,334
TE,2020-12-14,34,teruel,7.4,0.8,1.1,334
TE,2020-12-15,18,teruel,9.4,1.1,0.0,334
TE,2020-12-16,18,teruel,6.4,0.6,0.0,334
TE,2020-12-17,16,teruel,4.0,0.3,0.0,334
TE,2020-12-18,25,teruel,3.0,0.3,0.0,334
TE,2020-12-19,16,teruel,4.8,0.6,2.8,334
TE,2020-12-20,20,teruel,8.5,1.9,0.0,334
TE,2020-12-21,29,teruel,9.0,0.6,0.0,334
TE,2020-12-22,24,teruel,7.4,0.8,0.0,334
TE,2020-12-23,11,teruel,8.6,0.3,0.0,334
TE,2020-12-24,30,teruel,7.0,2.2,0.0,334
TE,2020-12-25,23,teruel,5.0,6.9,0.0,334
TE,2020-12-26,28,teruel,4.8,4.4,0.0,334
TE,2020-12-27,25,teruel,4.2,0.8,6.6,334
TE,2020-12-28,33,teruel,8.0,5.0,0.1,334
TE,2020-12-29,30,teruel,5.8,1.9,0.0,334
TE,2020-12-30,29,teruel,5.3,3.9,0.0,334
TE,2020-12-31,26,teruel,6.6,0.8,0.3,334
TE,2021-01-01,35,teruel,5.0,3.1,0.0,334
TE,2021-01-02,48,teruel,3.5,5.3,0.0,334
TE,2021-01-03,53,teruel,4.2,3.6,0.0,334
TE,2021-01-04,75,teruel,3.7,1.7,0.0,334
TE,2021-01-05,64,teruel,2.7,2.5,0.0,334
TE,2021-01-06,63,teruel,1.8,1.4,0.0,334
TE,2021-01-07,107,teruel,-1.3,0.8,0.9,334
TE,2021-01-08,101,teruel,-0.7,0.6,15.6,334
TE,2021-01-09,88,teruel,-0.1,1.1,24.4,334
TE,2021-01-10,115,teruel,1.6,1.4,0.5,334
TE,2021-01-11,132,teruel,-0.7,1.7,0.0,334
TE,2021-01-12,164,teruel,-0.6,1.1,0.0,334
TE,2021-01-13,124,teruel,4.0,1.1,0.0,334
TE,2021-01-14,126,teruel,3.8,2.2,0.0,334
TE,2021-01-15,161,teruel,8.2,6.7,0.0,334
TE,2021-01-16,137,teruel,7.2,2.2,0.0,334
TE,2021-01-17,129,teruel,8.2,3.3,0.0,334
TE,2021-01-18,138,teruel,8.1,1.7,0.0,334
TE,2021-01-19,170,teruel,5.6,0.8,0.0,334
TE,2021-01-20,129,teruel,1.9,0.8,0.1,334
TE,2021-01-21,157,teruel,8.8,2.2,0.0,334
TE,2021-01-22,186,teruel,7.2,4.4,2.7,334
TE,2021-01-23,123,teruel,8.1,1.9,3.6,334
TE,2021-01-24,149,teruel,11.1,2.8,0.1,334
TE,2021-01-25,150,teruel,8.2,1.9,1.4,334
TE,2021-01-26,162,teruel,8.6,0.3,0.0,334
TE,2021-01-27,165,teruel,11.4,3.9,0.0,334
TE,2021-01-28,110,teruel,14.5,1.7,0.0,334
TE,2021-01-29,134,teruel,14.4,3.9,0.0,334
TE,2021-01-30,117,teruel,11.4,5.8,0.6,334
TE,2021-01-31,90,teruel,14.0,3.9,0.0,334
TE,2021-02-01,111,teruel,13.2,4.7,0.0,334
TE,2021-02-02,141,teruel,13.2,1.4,0.0,334
TE,2021-02-03,103,teruel,11.4,0.8,0.0,334
TE,2021-02-04,109,teruel,12.5,0.8,0.0,334
TE,2021-02-05,103,teruel,12.2,1.9,0.0,334
TE,2021-02-06,61,teruel,11.6,2.2,5.5,334
TE,2021-02-07,54,teruel,8.6,3.3,0.0,334
TE,2021-02-08,84,teruel,9.8,2.2,2.0,334
TE,2021-02-09,63,teruel,11.2,1.4,5.9,334
TE,2021-02-10,69,teruel,9.4,3.1,0.1,334
TE,2021-02-11,50,teruel,10.9,1.1,0.0,334
TE,2021-02-12,42,teruel,11.0,3.1,1.6,334
TE,2021-02-13,30,teruel,10.6,3.6,0.0,334
TE,2021-02-14,24,teruel,8.1,3.1,0.0,334
TE,2021-02-15,42,teruel,8.1,0.8,0.0,334
TE,2021-02-16,41,teruel,8.2,0.8,0.0,334
TE,2021-02-17,43,teruel,12.3,1.1,0.0,334
TE,2021-02-18,30,teruel,10.2,1.1,0.0,334
TE,2021-02-19,22,teruel,12.1,1.9,0.0,334
TE,2021-02-20,14,teruel,12.3,1.7,0.0,334
TE,2021-02-21,15,teruel,11.2,4.2,2.4,334
TE,2021-02-22,22,teruel,9.6,1.7,0.0,334
TE,2021-02-23,30,teruel,8.8,1.9,0.0,334
TE,2021-02-24,11,teruel,10.6,1.4,0.0,334
TE,2021-02-25,13,teruel,9.1,1.1,0.0,334
TE,2021-02-26,11,teruel,10.1,0.6,0.0,334
TE,2021-02-27,10,teruel,9.8,1.4,0.0,334
TE,2021-02-28,7,teruel,9.0,1.9,0.0,334
