provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TO,2020-12-02,228,toledo,5.8,3.3,0.0,690
TO,2020-12-03,139,toledo,4.2,2.8,0.6,690
TO,2020-12-04,144,toledo,4.0,6.1,2.0,690
TO,2020-12-05,91,toledo,2.7,3.1,0.0,690
TO,2020-12-06,81,toledo,4.2,3.6,0.0,690
TO,2020-12-07,155,toledo,8.6,6.9,5.8,690
TO,2020-12-11,184,toledo,14.6,7.5,0.2,690
TO,2020-12-12,136,toledo,10.2,3.6,0.0,690
TO,2020-12-13,112,toledo,9.8,1.4,0.2,690
TO,2020-12-14,191,toledo,9.2,2.8,0.4,690
TO,2020-12-15,142,toledo,8.1,3.6,0.0,690
TO,2020-12-16,146,toledo,6.6,2.2,0.2,690
TO,2020-12-17,157,toledo,8.2,1.1,0.0,690
TO,2020-12-18,176,toledo,6.8,2.2,0.2,690
TO,2020-12-19,120,toledo,6.3,1.7,8.6,690
TO,2020-12-20,115,toledo,7.1,1.7,0.2,690
TO,2020-12-21,204,toledo,7.3,1.1,0.0,690
TO,2020-12-22,204,toledo,7.0,1.4,0.2,690
TO,2020-12-23,215,toledo,7.4,1.7,0.0,690
TO,2020-12-24,156,toledo,9.2,1.7,0.4,690
TO,2020-12-25,121,toledo,2.6,4.2,0.0,690
TO,2020-12-26,119,toledo,1.6,3.1,0.0,690
TO,2020-12-27,179,toledo,3.2,5.0,0.0,690
TO,2020-12-28,327,toledo,6.0,5.8,0.0,690
TO,2020-12-29,341,toledo,3.8,6.9,0.0,690
TO,2020-12-30,327,toledo,2.4,2.5,0.0,690
TO,2020-12-31,345,toledo,2.4,3.9,4.4,690
TO,2021-01-01,284,toledo,3.9,5.3,0.2,690
TO,2021-01-02,284,toledo,1.0,6.1,0.0,690
TO,2021-01-03,315,toledo,2.0,4.2,0.0,690
TO,2021-01-04,542,toledo,1.8,3.1,0.0,690
TO,2021-01-05,676,toledo,-0.4,1.9,0.0,690
TO,2021-01-06,451,toledo,-2.0,1.4,0.2,690
TO,2021-01-07,693,toledo,0.0,4.2,5.0,690
TO,2021-01-13,864,toledo,-4.9,1.1,0.0,690
TO,2021-01-14,894,toledo,-2.1,1.4,0.0,690
TO,2021-01-15,911,toledo,-2.0,2.8,0.0,690
TO,2021-01-16,721,toledo,-1.0,1.9,0.0,690
TO,2021-01-17,436,toledo,-1.6,0.6,0.0,690
TO,2021-01-18,833,toledo,-0.2,1.1,0.0,690
TO,2021-01-19,883,toledo,-1.4,1.1,0.0,690
TO,2021-01-20,947,toledo,2.6,3.3,4.0,690
TO,2021-01-21,813,toledo,6.6,3.9,0.6,690
TO,2021-01-22,841,toledo,7.5,9.7,1.2,690
TO,2021-01-23,578,toledo,7.7,5.8,0.6,690
TO,2021-01-24,478,toledo,8.8,4.7,0.0,690
TO,2021-01-25,742,toledo,10.6,6.1,0.0,690
TO,2021-01-26,695,toledo,12.1,1.7,0.0,690
TO,2021-01-27,659,toledo,12.8,2.5,0.2,690
TO,2021-01-28,676,toledo,9.9,0.8,0.2,690
TO,2021-01-29,627,toledo,10.0,2.2,0.2,690
TO,2021-01-30,263,toledo,10.2,7.5,0.2,690
TO,2021-01-31,235,toledo,9.0,5.8,0.0,690
TO,2021-02-01,462,toledo,11.0,6.7,0.0,690
TO,2021-02-02,392,toledo,9.8,3.1,0.0,690
TO,2021-02-03,329,toledo,11.8,4.7,0.0,690
TO,2021-02-05,293,toledo,9.8,2.2,1.6,690
TO,2021-02-06,148,toledo,8.8,3.3,0.2,690
TO,2021-02-07,98,toledo,8.4,3.9,4.4,690
TO,2021-02-08,234,toledo,8.4,6.4,1.2,690
TO,2021-02-11,122,toledo,9.6,2.8,0.0,690
TO,2021-02-13,55,toledo,9.0,2.5,0.0,690
TO,2021-02-14,48,toledo,7.9,2.2,0.0,690
TO,2021-02-15,99,toledo,8.8,2.5,0.2,690
TO,2021-02-16,88,toledo,9.6,1.4,0.0,690
TO,2021-02-17,86,toledo,10.8,1.7,0.0,690
TO,2021-02-18,82,toledo,10.0,3.1,0.0,690
TO,2021-02-19,81,toledo,10.6,3.3,0.0,690
TO,2021-02-20,29,toledo,11.2,3.3,0.0,690
TO,2021-02-22,65,toledo,6.4,4.2,0.0,690
TO,2021-02-25,96,toledo,9.2,1.9,0.0,690
TO,2021-02-26,64,toledo,10.3,3.9,0.0,690
TO,2021-02-27,55,toledo,9.3,3.6,0.0,690
