provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
ZA,2020-12-02,21,zaragoza,4.8,6.1,0.0,582
ZA,2020-12-03,29,zaragoza,4.4,2.2,1.2,582
ZA,2020-12-04,27,zaragoza,6.2,4.4,0.0,582
ZA,2020-12-05,14,zaragoza,4.4,6.1,0.0,582
ZA,2020-12-06,11,zaragoza,6.0,5.8,1.2,582
ZA,2020-12-07,31,zaragoza,8.7,5.8,0.8,582
ZA,2020-12-08,19,zaragoza,6.0,5.6,1.6,582
ZA,2020-12-09,17,zaragoza,5.8,4.4,0.2,582
ZA,2020-12-10,25,zaragoza,10.0,3.6,5.0,582
ZA,2020-12-11,20,zaragoza,13.6,3.6,12.4,582
ZA,2020-12-12,16,zaragoza,10.1,4.4,0.0,582
ZA,2020-12-13,15,zaragoza,10.8,2.2,0.0,582
ZA,2020-12-14,16,zaragoza,9.4,1.1,0.0,582
ZA,2020-12-15,37,zaragoza,8.1,2.5,0.8,582
ZA,2020-12-16,14,zaragoza,6.2,0.6,0.0,582
ZA,2020-12-17,12,zaragoza,7.7,1.4,0.0,582
ZA,2020-12-18,15,zaragoza,4.9,1.1,0.0,582
ZA,2020-12-19,11,zaragoza,5.0,1.1,1.8,582
ZA,2020-12-20,4,zaragoza,7.2,2.5,0.2,582
ZA,2020-12-21,14,zaragoza,7.7,2.2,0.0,582
ZA,2020-12-22,7,zaragoza,11.6,1.1,0.0,582
ZA,2020-12-23,10,zaragoza,10.3,1.7,0.0,582
ZA,2020-12-24,9,zaragoza,4.6,2.5,1.2,582
ZA,2020-12-25,14,zaragoza,3.8,3.9,0.0,582
ZA,2020-12-26,9,zaragoza,4.8,1.7,0.0,582
ZA,2020-12-27,14,zaragoza,2.2,3.6,2.0,582
ZA,2020-12-28,23,zaragoza,6.6,8.6,0.0,582
ZA,2020-12-29,25,zaragoza,5.4,5.0,0.0,582
ZA,2020-12-30,15,zaragoza,4.1,3.6,0.0,582
ZA,2020-12-31,20,zaragoza,6.0,4.4,3.6,582
ZA,2021-01-01,21,zaragoza,3.4,5.3,1.6,582
ZA,2021-01-02,30,zaragoza,2.2,4.7,0.2,582
ZA,2021-01-03,31,zaragoza,2.1,3.1,0.0,582
ZA,2021-01-04,52,zaragoza,2.9,2.2,0.0,582
ZA,2021-01-05,70,zaragoza,1.2,2.2,0.0,582
ZA,2021-01-06,49,zaragoza,0.4,1.4,0.0,582
ZA,2021-01-07,59,zaragoza,-1.6,0.8,0.0,582
ZA,2021-01-08,92,zaragoza,-2.2,0.8,2.2,582
ZA,2021-01-09,74,zaragoza,-0.4,3.3,17.6,582
ZA,2021-01-10,82,zaragoza,0.8,0.6,1.2,582
ZA,2021-01-11,128,zaragoza,-5.6,0.8,0.0,582
ZA,2021-01-12,144,zaragoza,-8.0,0.6,0.0,582
ZA,2021-01-13,148,zaragoza,-5.4,0.8,0.0,582
ZA,2021-01-14,142,zaragoza,-5.3,0.6,0.0,582
ZA,2021-01-15,143,zaragoza,0.2,0.8,0.0,582
ZA,2021-01-16,139,zaragoza,3.2,0.8,0.0,582
ZA,2021-01-17,99,zaragoza,2.0,0.8,0.0,582
ZA,2021-01-18,194,zaragoza,3.4,0.3,0.0,582
ZA,2021-01-19,161,zaragoza,1.7,0.8,0.0,582
ZA,2021-01-20,207,zaragoza,4.2,2.2,0.0,582
ZA,2021-01-21,144,zaragoza,8.4,4.4,4.4,582
ZA,2021-01-22,155,zaragoza,9.4,5.8,0.4,582
ZA,2021-01-23,166,zaragoza,8.8,4.7,1.2,582
ZA,2021-01-24,63,zaragoza,10.6,7.5,1.0,582
ZA,2021-01-25,111,zaragoza,8.2,1.9,15.6,582
ZA,2021-01-26,93,zaragoza,6.4,1.1,0.6,582
ZA,2021-01-27,124,zaragoza,14.2,3.6,0.0,582
ZA,2021-01-28,84,zaragoza,13.4,4.4,0.0,582
ZA,2021-01-29,119,zaragoza,11.8,3.3,1.8,582
ZA,2021-01-30,89,zaragoza,9.1,8.6,1.4,582
ZA,2021-01-31,33,zaragoza,11.8,5.3,0.0,582
ZA,2021-02-01,52,zaragoza,12.9,6.4,0.0,582
ZA,2021-02-02,45,zaragoza,13.0,4.7,0.0,582
ZA,2021-02-03,36,zaragoza,12.4,3.3,0.0,582
ZA,2021-02-04,38,zaragoza,12.6,0.6,0.0,582
ZA,2021-02-05,43,zaragoza,8.6,3.1,5.4,582
ZA,2021-02-06,23,zaragoza,10.4,2.5,8.8,582
ZA,2021-02-07,12,zaragoza,7.6,3.9,0.6,582
ZA,2021-02-08,19,zaragoza,9.4,5.0,0.4,582
ZA,2021-02-09,22,zaragoza,8.2,5.0,13.6,582
ZA,2021-02-10,16,zaragoza,8.2,3.9,0.2,582
ZA,2021-02-11,7,zaragoza,9.2,3.1,2.6,582
ZA,2021-02-12,14,zaragoza,9.6,3.9,4.0,582
ZA,2021-02-13,14,zaragoza,8.0,2.5,0.0,582
ZA,2021-02-14,1,zaragoza,8.2,1.9,0.0,582
ZA,2021-02-15,9,zaragoza,10.2,1.4,0.0,582
ZA,2021-02-16,10,zaragoza,11.1,1.4,0.0,582
ZA,2021-02-17,10,zaragoza,11.0,1.1,0.0,582
ZA,2021-02-18,7,zaragoza,10.6,1.7,0.0,582
ZA,2021-02-19,17,zaragoza,11.1,2.8,0.0,582
ZA,2021-02-20,5,zaragoza,12.6,3.1,0.0,582
ZA,2021-02-21,3,zaragoza,11.5,5.6,6.8,582
ZA,2021-02-22,12,zaragoza,7.8,1.9,0.2,582
ZA,2021-02-23,6,zaragoza,11.0,1.9,0.0,582
ZA,2021-02-24,9,zaragoza,10.0,1.4,0.0,582
