,season,division,matchday,team,Away_team,index_match,W,L,T,result,rank,GD_home,GD_away
0,1928-1929,1,1,Arenas Club,Athletic Madrid,0,,,,L,,,
2,1928-1929,1,1,Espanyol,Real Unión,1,,,,W,,,
4,1928-1929,1,1,Real Madrid,Catalunya,2,,,,W,,,
1,1928-1929,1,1,Donostia,Athletic,3,,,,T,,,
2,1928-1929,1,1,Barcelona,Racing,4,,,,W,,,
11853,1970-1971,1,26,Espanyol,[],[],12.0,24.0,14.0,NaN,13.0,-18.0,18.0
11854,1970-1971,1,26,Granada CF,[],[],16.0,22.0,12.0,NaN,10.0,0.0,0.0
9,1928-1929,1,2,Real Madrid,Barcelona,5,1.0,0.0,0.0,W,1.0,5.0,-5.0
7,1928-1929,1,2,Espanyol,Athletic,6,1.0,0.0,0.0,L,3.0,1.0,-1.0
11799,1970-1971,1,19,Barcelona,[],[],24.0,8.0,4.0,NaN,1.0,30.0,-30.0
11808,1970-1971,1,20,Barcelona,[],[],24.0,10.0,4.0,NaN,2.0,28.0,-28.0
11887,1970-1971,1,30,Granada CF,[],[],18.0,24.0,16.0,NaN,10.0,-4.0,4.0
8,1928-1929,1,2,Racing,Real Unión,8,0.0,1.0,0.0,L,9.0,-2.0,2.0
5,1928-1929,1,2,Arenas Club,Catalunya,9,0.0,1.0,0.0,L,7.0,-1.0,1.0
6,1928-1929,1,2,Athletic Madrid,Donostia,7,1.0,0.0,0.0,L,4.0,1.0,-1.0
11866,1970-1971,1,27,Celta de Vigo,[],[],28.0,16.0,8.0,NaN,5.0,10.0,-10.0
12,1928-1929,1,3,Espanyol,Catalunya,11,1.0,1.0,0.0,W,8.0,-8.0,8.0
10,1928-1929,1,3,Arenas Club,Real Unión,12,0.0,2.0,0.0,T,10.0,-4.0,4.0
13,1928-1929,1,3,Racing,Athletic,13,0.0,2.0,0.0,L,9.0,-4.0,4.0
14,1928-1929,1,3,Real Madrid,Athletic Madrid,14,2.0,0.0,0.0,W,1.0,6.0,-6.0
11886,1970-1971,1,30,Athletic,[],[],26.0,18.0,14.0,NaN,6.0,16.0,-16.0
11865,1970-1971,1,27,Real Madrid,[],[],28.0,12.0,12.0,NaN,4.0,36.0,-36.0
16,1928-1929,1,4,Athletic Madrid,Real Unión,15,1.0,2.0,0.0,W,6.0,-3.0,3.0
11883,1970-1971,1,29,Real Zaragoza,[],[],6.0,34.0,16.0,NaN,16.0,-60.0,60.0
11879,1970-1971,1,29,CD Málaga,[],[],16.0,18.0,22.0,NaN,9.0,-8.0,8.0
18,1928-1929,1,4,Real Madrid,Donostia,16,3.0,0.0,0.0,W,1.0,7.0,-7.0
19,1928-1929,1,4,Racing,Espanyol,17,0.0,3.0,0.0,L,10.0,-8.0,8.0
16,1928-1929,1,4,Barcelona,Arenas Club,18,1.0,2.0,0.0,T,8.0,-2.0,2.0
17,1928-1929,1,4,Catalunya,Athletic,19,1.0,2.0,0.0,L,7.0,-4.0,4.0
11855,1970-1971,1,26,Real Gijón,[],[],18.0,24.0,8.0,NaN,9.0,-8.0,8.0
11843,1970-1971,1,24,Sevilla FC,[],[],22.0,14.0,10.0,NaN,6.0,-8.0,8.0
11668,1970-1971,1,2,Sevilla FC,[],[],2.0,0.0,0.0,NaN,3.0,2.0,-2.0
11883,1970-1971,1,29,Real Sociedad,[],[],18.0,22.0,16.0,NaN,8.0,-12.0,12.0
21,1928-1929,1,5,Athletic Madrid,Barcelona,21,2.0,2.0,0.0,W,5.0,-2.0,2.0
24,1928-1929,1,5,Racing,Real Madrid,22,0.0,4.0,0.0,L,10.0,-11.0,11.0
23,1928-1929,1,5,Donostia,Espanyol,23,2.0,1.0,1.0,T,4.0,5.0,-5.0
20,1928-1929,1,5,Athletic,Arenas Club,24,3.0,0.0,1.0,L,2.0,15.0,-15.0
28,1928-1929,1,6,Espanyol,Real Madrid,25,3.0,1.0,1.0,W,2.0,-3.0,3.0
25,1928-1929,1,6,Athletic,Real Unión,26,3.0,1.0,1.0,L,3.0,14.0,-14.0
25,1928-1929,1,6,Arenas Club,Donostia,27,1.0,2.0,2.0,W,6.0,-3.0,3.0
11779,1970-1971,1,16,Real Zaragoza,[],[],4.0,14.0,12.0,NaN,15.0,-28.0,28.0
11840,1970-1971,1,24,Granada CF,[],[],16.0,18.0,12.0,NaN,9.0,6.0,-6.0
28,1928-1929,1,6,Racing,Athletic Madrid,28,0.0,5.0,0.0,L,10.0,-13.0,13.0
26,1928-1929,1,6,Athletic Madrid,Racing,28,3.0,2.0,0.0,W,4.0,1.0,-1.0
27,1928-1929,1,6,Barcelona,Catalunya,29,1.0,3.0,1.0,W,9.0,-5.0,5.0
33,1928-1929,1,7,Racing,Donostia,30,0.0,6.0,0.0,L,10.0,-17.0,17.0
30,1928-1929,1,7,Arenas Club,Espanyol,31,2.0,2.0,2.0,W,6.0,0.0,0.0
31,1928-1929,1,7,Athletic Madrid,Catalunya,32,4.0,2.0,0.0,L,3.0,5.0,-5.0
32,1928-1929,1,7,Barcelona,Athletic,33,2.0,3.0,1.0,L,8.0,-2.0,2.0
34,1928-1929,1,7,Real Madrid,Real Unión,34,5.0,1.0,0.0,W,1.0,6.0,-6.0
35,1928-1929,1,8,Arenas Club,Real Madrid,35,3.0,2.0,2.0,W,6.0,1.0,-1.0
35,1928-1929,1,8,Athletic,Athletic Madrid,36,4.0,2.0,1.0,W,2.0,15.0,-15.0
37,1928-1929,1,8,Barcelona,Espanyol,37,2.0,4.0,1.0,W,9.0,-6.0,6.0
11834,1970-1971,1,23,Real Madrid,[],[],22.0,10.0,12.0,NaN,5.0,34.0,-34.0
11862,1970-1971,1,27,Espanyol,[],[],12.0,24.0,16.0,NaN,13.0,-18.0,18.0
11711,1970-1971,1,8,Espanyol,[],[],2.0,6.0,6.0,NaN,12.0,-8.0,8.0
11879,1970-1971,1,29,CE Sabadell ,[],[],16.0,30.0,10.0,NaN,13.0,-38.0,38.0
11871,1970-1971,1,28,Granada CF,[],[],16.0,24.0,14.0,NaN,10.0,-6.0,6.0
11887,1970-1971,1,30,Atlético Madrid,[],[],34.0,10.0,14.0,NaN,3.0,62.0,-62.0
36,1928-1929,1,8,Catalunya,Racing,39,2.0,4.0,1.0,L,8.0,-6.0,6.0
40,1928-1929,1,9,Arenas Club,Racing,40,4.0,2.0,2.0,W,4.0,2.0,-2.0
42,1928-1929,1,9,Barcelona,Real Unión,41,3.0,4.0,1.0,W,7.0,-5.0,5.0
40,1928-1929,1,9,Athletic,Real Madrid,42,5.0,2.0,1.0,L,2.0,16.0,-16.0
11829,1970-1971,1,23,Athletic,[],[],24.0,10.0,10.0,NaN,4.0,30.0,-30.0
42,1928-1929,1,9,Espanyol,Athletic Madrid,43,4.0,3.0,1.0,W,5.0,-1.0,1.0
41,1928-1929,1,9,Catalunya,Donostia,44,2.0,5.0,1.0,W,9.0,-7.0,7.0
47,1928-1929,1,10,Espanyol,Real Unión,45,5.0,3.0,1.0,L,3.0,0.0,0.0
46,1928-1929,1,10,Donostia,Athletic,46,4.0,3.0,2.0,L,5.0,9.0,-9.0
47,1928-1929,1,10,Barcelona,Racing,47,4.0,4.0,1.0,W,6.0,-4.0,4.0
11882,1970-1971,1,29,Real Madrid,[],[],32.0,12.0,12.0,NaN,4.0,42.0,-42.0
11865,1970-1971,1,27,CE Sabadell ,[],[],16.0,26.0,10.0,NaN,12.0,-32.0,32.0
11868,1970-1971,1,27,UD Las Palmas,[],[],10.0,26.0,16.0,NaN,14.0,-12.0,12.0
11881,1970-1971,1,29,Real Gijón,[],[],18.0,30.0,8.0,NaN,11.0,-22.0,22.0
46,1928-1929,1,10,Athletic Madrid,Arenas Club,48,4.0,5.0,0.0,L,7.0,0.0,0.0
48,1928-1929,1,10,Catalunya,Real Madrid,49,3.0,5.0,1.0,W,8.0,-6.0,6.0
52,1928-1929,1,11,Espanyol,Athletic,50,5.0,4.0,1.0,W,5.0,-1.0,1.0
54,1928-1929,1,11,Real Unión,Racing,51,3.0,5.0,2.0,W,9.0,0.0,0.0
11869,1970-1971,1,28,CD Málaga,[],[],16.0,16.0,22.0,NaN,8.0,-6.0,6.0
53,1928-1929,1,11,Catalunya,Arenas Club,52,4.0,5.0,1.0,T,7.0,-3.0,3.0
50,1928-1929,1,11,Arenas Club,Catalunya,52,6.0,2.0,2.0,T,2.0,4.0,-4.0
52,1928-1929,1,11,Barcelona,Real Madrid,53,5.0,4.0,1.0,W,4.0,0.0,0.0
51,1928-1929,1,11,Donostia,Athletic Madrid,54,4.0,4.0,2.0,T,6.0,7.0,-7.0
58,1928-1929,1,12,Catalunya,Espanyol,55,4.0,5.0,2.0,L,8.0,-3.0,3.0
56,1928-1929,1,12,Athletic,Racing,56,6.0,4.0,1.0,T,5.0,11.0,-11.0
57,1928-1929,1,12,Athletic Madrid,Real Unión,57,4.0,6.0,1.0,W,9.0,-1.0,1.0
58,1928-1929,1,12,Real Madrid,Donostia,58,7.0,4.0,0.0,L,2.0,7.0,-7.0
55,1928-1929,1,12,Barcelona,Arenas Club,59,6.0,4.0,1.0,W,4.0,1.0,-1.0
61,1928-1929,1,13,Barcelona,Athletic Madrid,60,7.0,4.0,1.0,W,2.0,3.0,-3.0
62,1928-1929,1,13,Espanyol,Donostia,61,7.0,4.0,1.0,T,1.0,5.0,-5.0
64,1928-1929,1,13,Racing,Real Madrid,62,1.0,10.0,1.0,T,10.0,-30.0,30.0
60,1928-1929,1,13,Athletic,Arenas Club,63,6.0,4.0,2.0,L,5.0,11.0,-11.0
11833,1970-1971,1,23,Celta de Vigo,[],[],22.0,14.0,8.0,NaN,6.0,0.0,0.0
65,1928-1929,1,14,Arenas Club,Real Unión,65,7.0,3.0,3.0,L,2.0,3.0,-3.0
11831,1970-1971,1,23,Elche CF,[],[],2.0,24.0,18.0,NaN,16.0,-32.0,32.0
11830,1970-1971,1,23,Atlético Madrid,[],[],26.0,8.0,10.0,NaN,2.0,46.0,-46.0
11832,1970-1971,1,23,CD Málaga,[],[],8.0,14.0,22.0,NaN,12.0,-16.0,16.0
11710,1970-1971,1,8,Elche CF,[],[],2.0,8.0,4.0,NaN,13.0,-2.0,2.0
11823,1970-1971,1,22,Espanyol,[],[],10.0,20.0,12.0,NaN,13.0,-12.0,12.0
11714,1970-1971,1,8,Real Sociedad,[],[],4.0,2.0,8.0,NaN,8.0,2.0,-2.0
11715,1970-1971,1,8,Real Gijón,[],[],2.0,8.0,4.0,NaN,14.0,-16.0,16.0
69,1928-1929,1,14,Real Unión,Arenas Club,65,4.0,7.0,2.0,W,9.0,-1.0,1.0
69,1928-1929,1,14,Real Madrid,Athletic Madrid,66,7.0,5.0,1.0,W,4.0,6.0,-6.0
67,1928-1929,1,14,Donostia,Barcelona,67,5.0,4.0,4.0,L,6.0,8.0,-8.0
68,1928-1929,1,14,Espanyol,Racing,68,7.0,4.0,2.0,T,3.0,5.0,-5.0
67,1928-1929,1,14,Catalunya,Athletic,69,5.0,6.0,2.0,T,7.0,-5.0,5.0
72,1928-1929,1,15,Barcelona,Catalunya,70,9.0,4.0,1.0,T,1.0,8.0,-8.0
71,1928-1929,1,15,Catalunya,Barcelona,70,5.0,6.0,3.0,T,7.0,-5.0,5.0
74,1928-1929,1,15,Real Madrid,Espanyol,71,8.0,5.0,1.0,W,2.0,9.0,-9.0
73,1928-1929,1,15,Racing,Athletic Madrid,72,1.0,10.0,3.0,L,10.0,-30.0,30.0
72,1928-1929,1,15,Donostia,Arenas Club,73,5.0,5.0,4.0,W,6.0,7.0,-7.0
74,1928-1929,1,15,Real Unión,Athletic,74,5.0,7.0,2.0,L,8.0,5.0,-5.0
