,season,division,matchday,team_encoded,Away_team_encoded,W,L,T,result_encoded,GD,GD_cum,rank,last_results_encoded
0,1928,1,1,7,12,0,1,0,1,-1,-1,7,-1
5,1928,1,2,7,56,0,2,0,1,-3,-4,10,-2
10,1928,1,3,7,116,0,2,1,2,0,-4,9,-2
15,1928,1,4,7,23,0,2,2,2,0,-4,9,-2
20,1928,1,5,7,11,1,2,2,3,1,-3,6,-1
25,1928,1,6,7,66,2,2,2,3,3,0,6,0
30,1928,1,7,7,68,3,2,2,3,1,1,6,1
35,1928,1,8,7,110,4,2,2,3,1,2,4,2
40,1928,1,9,7,103,5,2,2,3,1,3,2,3
45,1928,1,10,7,12,6,2,2,3,1,4,2,4
50,1928,1,11,7,56,6,2,3,2,0,4,1,4
55,1928,1,12,7,23,6,3,3,1,-2,2,4,4
60,1928,1,13,7,11,7,3,3,3,1,3,2,6
65,1928,1,14,7,116,7,4,3,1,-6,-3,4,5
70,1928,1,15,7,66,7,5,3,1,-1,-4,4,4
75,1928,1,16,7,68,8,5,3,3,3,-1,3,4
80,1928,1,17,7,110,8,6,3,1,-2,-3,3,2
85,1928,1,18,7,103,8,7,3,1,-4,-7,5,0
0,1928,1,1,11,66,0,0,1,2,0,0,6,0
5,1928,1,2,11,68,1,0,1,3,9,9,2,1
10,1928,1,3,11,103,2,0,1,3,4,13,2,2
15,1928,1,4,11,56,3,0,1,3,2,15,2,3
20,1928,1,5,11,7,3,1,1,1,-1,14,3,2
25,1928,1,6,11,116,3,2,1,1,-3,11,4,1
30,1928,1,7,11,23,4,2,1,3,4,15,2,2
35,1928,1,8,11,12,5,2,1,3,1,16,2,3
40,1928,1,9,11,110,5,3,1,1,-4,12,4,2
45,1928,1,10,11,66,6,3,1,3,2,14,3,3
50,1928,1,11,11,68,6,4,1,1,-3,11,5,2
56,1928,1,12,11,103,6,4,2,2,0,11,5,2
60,1928,1,13,11,7,6,5,2,1,-1,10,5,0
66,1928,1,14,11,56,6,5,3,2,0,10,5,-1
70,1928,1,15,11,116,7,5,3,3,1,11,3,-1
75,1928,1,16,11,23,7,6,3,1,-3,8,4,-1
80,1928,1,17,11,12,7,6,4,2,0,8,5,0
85,1928,1,18,11,110,8,6,4,3,2,10,3,0
1,1928,1,1,12,7,1,0,0,3,1,1,4,1
6,1928,1,2,12,66,1,1,0,1,-3,-2,7,0
11,1928,1,3,12,110,1,2,0,1,-1,-3,6,-1
16,1928,1,4,12,116,2,2,0,3,1,-2,5,0
21,1928,1,5,12,23,3,2,0,3,3,1,4,1
26,1928,1,6,12,103,4,2,0,3,4,5,3,2
31,1928,1,7,12,56,4,3,0,1,-3,2,4,1
36,1928,1,8,12,11,4,4,0,1,-1,1,6,0
41,1928,1,9,12,68,4,5,0,1,-1,0,7,-1
46,1928,1,10,12,7,4,6,0,1,-1,-1,8,-2
51,1928,1,11,12,66,4,6,1,2,0,-1,9,-2
57,1928,1,12,12,116,5,6,1,3,2,1,7,-2
61,1928,1,13,12,23,5,7,1,1,-4,-3,8,-2
65,1928,1,14,12,110,5,8,1,1,-3,-6,9,-2
71,1928,1,15,12,103,6,8,1,3,1,-5,7,-2
76,1928,1,16,12,56,7,8,1,3,1,-4,6,-2
81,1928,1,17,12,11,7,8,2,2,0,-4,7,-3
86,1928,1,18,12,68,8,8,2,3,6,2,6,-1
2,1928,1,1,23,103,1,0,0,3,2,2,2,1
7,1928,1,2,23,110,1,1,0,1,-1,1,6,0
12,1928,1,3,23,66,1,2,0,1,-3,-2,8,-1
16,1928,1,4,23,7,1,2,1,2,0,-2,6,-1
21,1928,1,5,23,12,1,3,1,1,-3,-5,9,-2
27,1928,1,6,23,56,2,3,1,3,3,-2,8,-1
32,1928,1,7,23,11,2,4,1,1,-4,-6,9,-2
37,1928,1,8,23,68,3,4,1,3,1,-5,7,-1
42,1928,1,9,23,116,4,4,1,3,1,-4,6,0
47,1928,1,10,23,103,5,4,1,3,4,0,4,1
52,1928,1,11,23,110,6,4,1,3,1,1,4,2
55,1928,1,12,23,7,7,4,1,3,2,3,2,2
61,1928,1,13,23,12,8,4,1,3,4,7,1,4
66,1928,1,14,23,66,9,4,1,3,1,8,1,6
72,1928,1,15,23,56,9,4,2,2,0,8,1,6
77,1928,1,16,23,11,10,4,2,3,3,11,1,8
82,1928,1,17,23,68,10,4,3,2,0,11,2,7
87,1928,1,18,23,116,11,4,3,3,3,14,1,9
3,1928,1,1,56,110,0,1,0,1,-5,-5,10,-1
8,1928,1,2,56,7,1,1,0,3,3,-2,4,0
13,1928,1,3,56,68,1,2,0,1,-2,-4,7,-1
17,1928,1,4,56,11,1,3,0,1,-2,-6,8,-2
22,1928,1,5,56,116,1,3,1,2,0,-6,8,-2
26,1928,1,6,56,23,1,4,1,1,-3,-9,9,-3
31,1928,1,7,56,12,2,4,1,3,3,-6,8,-2
36,1928,1,8,56,103,2,5,1,1,-1,-7,9,-3
41,1928,1,9,56,66,3,5,1,3,1,-6,8,-2
48,1928,1,10,56,110,4,5,1,3,3,-3,7,-1
53,1928,1,11,56,7,4,5,2,2,0,-3,8,-1
58,1928,1,12,56,68,4,6,2,1,-3,-6,9,-1
62,1928,1,13,56,116,5,6,2,3,1,-5,7,-1
67,1928,1,14,56,11,5,6,3,2,0,-5,7,0
71,1928,1,15,56,23,5,6,4,2,0,-5,8,1
76,1928,1,16,56,12,5,7,4,1,-1,-6,8,0
81,1928,1,17,56,103,6,7,4,3,3,-3,8,2
86,1928,1,18,56,66,6,8,4,1,-1,-4,8,0
1,1928,1,1,66,11,0,0,1,2,0,0,5,0
