,Away_team,division,matchday,result_home,season,team,GD_home,Pts_difference,home_rank
1,Arenas Club,1,1,W,1928-1929,Athletic Madrid,0.0,3.0,4
2,Real Unión,1,1,W,1928-1929,Espanyol,0.0,3.0,3
4,Catalunya,1,1,W,1928-1929,Real Madrid,0.0,3.0,1
1,Athletic,1,1,T,1928-1929,Donostia,0.0,-2.0,5
2,Racing,1,1,W,1928-1929,Barcelona,0.0,3.0,2
9,Barcelona,1,2,W,1928-1929,Real Madrid,5.0,6.0,1
7,Athletic,1,2,L,1928-1929,Espanyol,1.0,2.0,8
6,Donostia,1,2,L,1928-1929,Athletic Madrid,1.0,2.0,7
9,Racing,1,2,W,1928-1929,Real Unión,-1.0,2.0,4
8,Arenas Club,1,2,W,1928-1929,Catalunya,-5.0,2.0,6
12,Donostia,1,3,L,1928-1929,Barcelona,1.0,1.0,6
13,Espanyol,1,3,L,1928-1929,Catalunya,-2.0,1.0,8
14,Arenas Club,1,3,T,1928-1929,Real Unión,1.0,0.0,5
13,Athletic,1,3,L,1928-1929,Racing,-4.0,-3.0,10
14,Athletic Madrid,1,3,W,1928-1929,Real Madrid,6.0,9.0,1
19,Athletic Madrid,1,4,L,1928-1929,Real Unión,1.0,-1.0,6
18,Real Madrid,1,4,L,1928-1929,Donostia,6.0,3.0,4
19,Espanyol,1,4,L,1928-1929,Racing,-8.0,-4.0,10
16,Arenas Club,1,4,T,1928-1929,Barcelona,-2.0,-1.0,7
17,Athletic,1,4,L,1928-1929,Catalunya,-4.0,0.0,8
24,Catalunya,1,5,T,1928-1929,Real Unión,0.0,-3.0,6
21,Barcelona,1,5,W,1928-1929,Athletic Madrid,-2.0,7.0,4
23,Racing,1,5,W,1928-1929,Real Madrid,8.0,15.0,1
22,Donostia,1,5,T,1928-1929,Espanyol,-3.0,6.0,3
20,Arenas Club,1,5,L,1928-1929,Athletic,15.0,6.0,2
28,Real Madrid,1,6,W,1928-1929,Espanyol,-3.0,9.0,2
25,Real Unión,1,6,L,1928-1929,Athletic,14.0,5.0,4
27,Arenas Club,1,6,L,1928-1929,Donostia,5.0,0.0,6
26,Racing,1,6,W,1928-1929,Athletic Madrid,1.0,10.0,3
27,Catalunya,1,6,W,1928-1929,Barcelona,-5.0,1.0,8
33,Donostia,1,7,L,1928-1929,Racing,-17.0,-7.0,10
33,Arenas Club,1,7,L,1928-1929,Espanyol,1.0,8.0,3
31,Athletic Madrid,1,7,W,1928-1929,Catalunya,-9.0,0.0,8
32,Athletic,1,7,L,1928-1929,Barcelona,-2.0,0.0,9
34,Real Madrid,1,7,L,1928-1929,Real Unión,3.0,-1.0,7
39,Arenas Club,1,8,L,1928-1929,Real Madrid,8.0,16.0,1
35,Athletic Madrid,1,8,W,1928-1929,Athletic,15.0,11.0,2
38,Barcelona,1,8,L,1928-1929,Espanyol,0.0,7.0,5
37,Real Unión,1,8,W,1928-1929,Donostia,9.0,6.0,3
36,Racing,1,8,L,1928-1929,Catalunya,-6.0,-1.0,9
44,Arenas Club,1,9,L,1928-1929,Racing,-23.0,-5.0,10
44,Barcelona,1,9,L,1928-1929,Real Unión,0.0,-3.0,9
40,Real Madrid,1,9,L,1928-1929,Athletic,16.0,10.0,3
41,Espanyol,1,9,L,1928-1929,Athletic Madrid,1.0,7.0,7
43,Catalunya,1,9,L,1928-1929,Donostia,10.0,5.0,5
49,Espanyol,1,10,W,1928-1929,Real Unión,-1.0,0.0,9
45,Donostia,1,10,W,1928-1929,Athletic,12.0,13.0,3
47,Racing,1,10,W,1928-1929,Barcelona,-4.0,9.0,4
46,Arenas Club,1,10,L,1928-1929,Athletic Madrid,0.0,6.0,8
49,Catalunya,1,10,L,1928-1929,Real Madrid,11.0,18.0,1
52,Athletic,1,11,W,1928-1929,Espanyol,-1.0,12.0,4
53,Real Unión,1,11,L,1928-1929,Racing,-28.0,-7.0,10
53,Arenas Club,1,11,T,1928-1929,Catalunya,-3.0,3.0,8
52,Real Madrid,1,11,W,1928-1929,Barcelona,0.0,12.0,5
51,Donostia,1,11,T,1928-1929,Athletic Madrid,-1.0,4.0,9
56,Catalunya,1,12,W,1928-1929,Espanyol,2.0,15.0,1
57,Athletic,1,12,T,1928-1929,Racing,-30.0,-9.0,10
59,Athletic Madrid,1,12,L,1928-1929,Real Unión,2.0,2.0,8
